John.1.1 | Kezdetben volt az Ige, és az Ige Istennél volt, és az Ige Isten volt.
John.16.17 | "Ekkor tanítványai közül némelyek így szóltak egymásnak: Mi az, amit nekünk mond: Egy kevés idő és nem láttok engem; és ismét egy kevés idő és megláttok majd engem; és: Mert én az Atyához megyek?"
John.16.18 | Szóltak azért: Mi az a kevés idő, amiről szól? Nem tudjuk, mit mond.
John.16.19 | "Megértette tehát Jézus, hogy őt akarják megkérdezni és így szólt nekik: Arról tudakozódtok egymás között, hogy azt mondtam: Egy kevés idő és nem láttok engem; és: Ismét egy kevés idő és megláttok majd engem!?"
John.16.20 | "Bizony, bizony mondom nektek, hogy sírtok és jajgattok ti, a világ pedig örül; ti szomorkodtok, de szomorúságtok örömre fordul."
John.16.21 | "Az asszony, mikor szül, fájdalma van, mert eljött az ő órája; de mikor megszüli a gyermekét, nem emlékezik többé a gyötrelemre az öröm miatt, hogy ember született a világra."
John.16.22 | Ti is azért most szomorúságban vagytok, de ismét meglátlak majd titeket, és örülni fog a szívetek, és senki sem veszi el tőletek a ti örömeteket.
John.16.23 | És azon a napon nem kérdeztek majd engem semmiről. Bizony, bizony mondom nektek, hogy amit csak kérni fogtok az Atyától az én nevemben, megadja nektek.
John.16.24 | Mostanáig semmit sem kértetek az én nevemben. Kérjetek és megkapjátok, hogy a ti örömetek teljes legyen.
John.16.25 | "Ezeket példázatokban mondtam nektek; de eljön az idő, amikor nem példázatokban beszélek majd, hanem nyíltan beszélek nektek az Atyáról."
John.16.26 | "Azon a napon az én nevemben kértek majd; és nem mondom nektek, hogy én kérni fogom az Atyát értetek;"
John.16.27 | mert maga az Atya szeret titeket, mivel ti szereltetek engem és elhittétek, hogy én az Istentől jöttem ki.
John.16.28 | Kijöttem az Atyától és eljöttem a világba: ismét elhagyom a világot és elmegyek az Atyához.
John.16.29 | Szóltak neki a tanítványai: Íme, most nyíltan beszélsz és semmi példázatot nem mondasz.
John.16.30 | Most tudjuk, hogy te mindent tudsz és nincs szükséged arra, hogy valaki téged megkérdezzen: Ezért hisszük, hogy az Istentől jöttél ki.
John.16.31 | Felelt nekik Jézus: Most hiszitek?
John.16.32 | "íme eljön az óra és már eljött, hogy eloszoljatok, kiki az övéihez, és engem egyedül hagyjatok; de nem vagyok egyedül, mert az Atya velem van."
John.16.33 | "Azért beszéltem ezeket nektek, hogy békességetek legyen énben-nem. E világon nyomorúságot ok lesz; de bízzatok: én legyőztem a világot."

John.17.1 | "Ezeket beszélte Jézus és felemelte szemeit az égre és szólt: Atyám, eljött az óra; dicsőítsd meg a te Fiadat, hogy a te Fiad is dicsőítsen téged;"
John.17.2 | amint te hatalmat adtál neki minden emberen, hogy örök életet adjon mindazoknak, akiket neki adtál.
John.17.3 | Az pedig az örök élet, hogy megismerjenek téged, az egyedül igaz Istent és akit elküldtél, a Jézus Krisztust.
John.17.4 | "Én dicsőítettelek téged a földön; elvégeztem a munkát, amelyet rámbíztál, hogy végezzem azt."
John.17.5 | És most te dicsőíts meg engem, Atyám, te magadnál azzal a dicsőséggel, amely az enyém volt tenálad, mielőtt a világ lett volna.
John.17.6 | "Kinyilatkoztattam a te nevedet az embereknek, akiket e világból nekem adtál. Tieid voltak és nekem adtad őket; és a te beszédedet megtartották."
John.17.7 | "Most tudták meg, hogy mindaz tetőled van, amit nekem adtál;"
John.17.8 | mert ama beszédeket, amelyeket nekem adtál, őnekik adtam, és ők befogadták és valóban megismerték, hogy én tőled jöttem ki, és elhitték, hogy te küldtél engem.
John.17.9 | "Én őérettük könyörgök; nem a világért könyörgök, hanem azokért, akiket nekem adtál, mert a tieid."
John.17.10 | És az enyémek mind a tieid és a tieid az enyémek, és én megdicsőíttetem őbennük.
John.17.11 | És én nem vagyok többé a világban, de ők a világban vannak, én pedig tehozzád megyek. Szent Atyám, tartsd meg őket a te nevedben, amelyet nekem adtál, hogy egyek legyenek, mint mi!
John.17.12 | Amikor velük voltam, én megtartottam őket a te nevedben, amelyet nekem adtál, és megőriztem, és senki sem veszett el közülük, csak a veszedelem fia, hogy az Írás beteljesüljön.
John.17.13 | "Most pedig hozzád megyek; és ezeket beszélem a világon, hogy az én örömem teljes legyen őbennük."
John.17.14 | "Én a te igédet nekik adtam; és a világ gyűlölte őket, mivel nem a világból valók, mint ahogy én sem a világból való vagyok."
John.17.15 | Nem azt kérem, hogy vedd ki őket a világból, hanem hogy őrizd meg őket a gonosztól.
John.17.16 | Nem a világból valók, mint ahogy én sem a világból vagyok.
John.17.17 | "Szenteld meg őket a te igazságoddal; a te igéd igazság."
John.17.18 | Amint te küldtél engem a világba, úgy küldtem én is őket a világba.
John.17.19 | És én érettük odaszentelem magamat, hogy ők is megszenteltekké legyenek az igazsággal.
John.17.20 | "De nemcsak őérettük könyörgök, hanem azokért is, akik az ő beszédükre hisznek majd énbennem;"
John.17.21 | hogy mindnyájan egyek legyenek, mint te énbennem, Atyám és én tebenned, hogy ők is bennünk legyenek, hogy elhiggye a világ, hogy te küldtél engem.
John.17.22 | És én azt a dicsőséget, amelyet nekem adtál, őnekik adtam, hogy egyek legyenek, amint mi egy vagyunk:
John.17.23 | "Én őbennük és te énbennem; hogy tökéletesen eggyé legyenek és hogy megismerje a világ, hogy te küldtél engem, és szeretted őket, amiként engem szerettél."
John.17.24 | "Atyám, akiket nekem adtál, akarom, hogy ahol én vagyok, azok is velem legyenek, hogy megláthassák az én dicsőségemet, amelyet nekem adtál; mert szerettél engem a világ teremtése előtt."
John.17.25 | Igazságos Atyám! A világ nem ismert meg téged, de én megismertelek és ezek is megismerték, hogy te küldtél engem.
John.17.26 | És én megismertettem velük a te nevedet és ezután is megismertetem, hogy az a szeretet, amellyel engem szerettél, legyen bennük, és én is őbennük.

John.18.1 | "Mikor ezeket mondta Jézus, kiment tanítványaival együtt a Kedron-patakon túlra; itt volt egy kert, amelybe bementek ő és a tanítványai."
John.18.2 | De ismerte azt a helyet Júdás is, az áruló, mivel Jézus és a tanítványai gyakorta összegyűltek ott.
John.18.3 | Júdás tehát magához vette a katonai csapatot, meg a papi fejedelmektől és a farizeusoktól szolgákat, és odament fáklyákkal, lámpásokkal és fegyverekkel.
John.18.4 | Jézus pedig, mivel tudta mindazt, aminek el kell reá következnie, eléjük ment és így szólt: Kit kerestek?
John.18.5 | Feleltek neki: A názáreti Jézust. Jézus azt mondta nekik: Én vagyok. Ott állt velük Júdás is, az áruló.
John.18.6 | Mikor pedig azt mondta nekik: Én vagyok! visszatántorodtak és földre estek.
John.18.7 | Ismét megkérdezte azért tőlük: Kit kerestek? És azok szóltak: A názáreti Jézust.
John.18.8 | "Felelt Jézus: Mondtam nektek, hogy én vagyok. Azért, ha engem kerestek, ezeket bocsássátok el;"
John.18.9 | hogy beteljesüljön a beszéd, amelyet mondott: Azok közül, akiket nekem adtál, senkit sem vesztettem el.
John.18.10 | Ekkor Simon Péter, akinek kardja volt, kirántotta azt és a főpap szolgájára sújtott és levágta annak jobb fülét. A szolga neve pedig Málkus volt.
John.18.11 | Szólott azért Jézus Péternek: Tedd hüvelyébe kardodat! Vagy nem kell-é kiinnom a poharat, amelyet az Atya adott nekem?
John.18.12 | A csapat azért és az ezredes és a zsidók szolgái elfogták Jézust és megkötözték.
John.18.13 | És először Annáshoz vitték, mert ez ipa volt Kajafásnak, aki abban az esztendőben főpap volt.
John.18.14 | Ez a Kajafás volt az, aki azt tanácsolta a zsidóknak: jobb, hogy egy ember haljon meg a népért.
John.18.15 | Simon Péter pedig és egy másik tanítvány követte Jézust. Ez a tanítvány pedig ismerőse volt a főpapnak és bement Jézussal együtt a főpap udvarába.
John.18.16 | Péter pedig kívül állott az ajtónál. Kiment azért a másik tanítvány, aki a főpappal ismerős volt és szólt az ajtóőrző leánynak és bevitte Pétert.
John.18.17 | Akkor az ajtóőrző leány így szólt Péterhez: Nem ennek az embernek a tanítványai közül való vagy te is? Ő azt mondta: Nem vagyok.
John.18.18 | A szolgák pedig és a templom-őrök ott állottak, szítva a parazsat, mivel hűvös volt és melegedtek. Péter is ott állt velük együtt és melegedett.
John.18.19 | A főpap azért megkérdezte Jézust a tanítványai és tanítása felől.
John.18.20 | "Felelt neki Jézus: Én nyilvánosan beszéltem a világnak; mindenkor a zsinagógában és a templomban tanítottam, ahol a zsidók mind összegyűlnek, és titkon semmit sem szóltam."
John.18.21 | Mit kérdezel engem? Kérdezd azokat, akik hallották, hogy mit beszéltem nekik. Hiszen ők tudják, hogy mit mondtam.
John.18.22 | Mikor pedig ezeket mondta, az ott álló szolgák közül az egyik arcul ütötte Jézust, és azt mondta: Így felelsz te a főpapnak?
John.18.23 | "Felelt neki Jézus: Ha helytelenül szóltam, bizonyítsd be, hogy helytelen; ha pedig jól, akkor miért ütsz engem?"
John.18.24 | Elküldte őt Annás, megkötözve Kajafáshoz, a főpaphoz.
John.18.25 | Simon Péter pedig ott állt és melegedett. Szóltak azért neki: Nem az ő tanítványai közül való vagy te is? Ő tagadta és ezt mondta: Nem vagyok.
John.18.26 | Így szólt a főpap egyik szolgája, rokona annak, akinek Péter levágta a fülét: Nem téged láttalak vele együtt a kertben?
John.18.27 | Ekkor Péter újra tagadta. És a kakas azonnal megszólalt
John.18.28 | Azután Jézust Kajafástól a várba vitték. Kora reggel volt pedig, és ők nem mentek be a várba, hogy tisztátalanokká ne legyenek, hanem megehessék a húsvéti bárányt.
John.18.29 | Pilátus ment hát ki hozzájuk és szólt: Micsoda vádat emeltek ez ellen az ember ellen?
John.18.30 | ők így feleltek neki: Ha ez nem volna gonosztevő, nem adtuk volna a kezedbe.
John.18.31 | "Szólt azért nekik Pilátus: Vigyétek el őt ti és ítéljétek el a ti törvényetek szerint. A zsidók azonban azt mondták neki: Nekünk senkit sem szabad megölnünk;"
John.18.32 | hogy beteljesedjék Jézus szava, melyet mondott, amikor jelentette, milyen halállal kell majd meghalnia.
John.18.33 | Ismét bement azért Pilátus a várba, szólította Jézust és ezt mondta neki: Te vagy a zsidók királya?
John.18.34 | Felelt neki Jézus: Magadtól mondod ezt, vagy mások mondták ezt neked felőlem?
John.18.35 | Felelt Pilátus: Hát zsidó vagyok én? A te néped és a papi fejedelmek adtak téged a kezembe. Mit tettél?
John.18.36 | Felelt Jézus: Az én országom nem ebből a világból való. Ha ebből a világból való volna az én országom, a szolgáim harcolnának, hogy ne adjanak át a zsidóknak. Ámde az én országom nem innen való.
John.18.37 | Szólott azért neki Pilátus: Mégis király vagy-e hát? Felelt Jézus: Ahogy mondod: király vagyok. Én azért születtem és azért jöttem a világra, hogy bizonyságot tegyek az igazságról. Mindaz, aki az igazságból való, hallgat az én szavamra.
John.18.38 | Szólt neki Pilátus: Micsoda az igazság? És amint ezt mondta, újra kiment a zsidókhoz és így szólt nekik: Én nem találok benne semmi bűnt.
John.18.39 | Szokás pedig nálatok, hogy elbocsássak egyet nektek a húsvét ünnepén. Akarjátok tehát, hogy elbocsássam nektek a zsidók királyát?
John.18.40 | Ekkor ismét kiáltottak: Ne ezt, hanem Barabbást! Ez a Barabbás pedig rabló volt.

John.19.1 | Akkor tehát Pilátus elővezettette Jézust és megkorbácsoltatta.
John.19.2 | És a katonák tövisből koronát fonva, a fejére tették és bíbor ruhát adtak rá.
John.19.3 | Majd odajárulva hozzá, ezt mondogatták: Üdvözlégy, zsidók királya! És arcul verték őt.
John.19.4 | Majd ismét kiment Pilátus és ezt mondta nekik: íme, én kihozom őt nektek, hogy megtudjátok: én semmi bűnt sem találok benne.
John.19.5 | Kiment azért Jézus, hordozva a töviskoronát és a bíborruhát. És Pilátus így szólt hozzájuk: íme, az ember!
John.19.6 | Mikor azért látták őt a papi fejedelmek és a szolgák, így kiáltoztak: Feszítsd meg, feszítsd meg! Szólt nekik Pilátus: Vigyétek el ti és feszítsétek meg, mert én nem találok benne bűnt.
John.19.7 | Feleltek neki a zsidók: Nekünk törvényünk van és a mi törvényünk szerint meg kell halnia, mivel Isten Fiává tette magát.
John.19.8 | Mikor pedig Pilátus ezt a beszédet hallotta, még inkább megrémült,
John.19.9 | majd ismét bement a várba és így szólt Jézusnak: Honnét való vagy? Jézus azonban nem felelt neki.
John.19.10 | így szólt azért neki Pilátus: Nekem nem felelsz? Hát nem tudod, hogy nekem van hatalmam, hogy szabadon bocsássalak, és van hatalmam, hogy megfeszítselek?
John.19.11 | Felelt Jézus: Semmi hatalmad sem volna rajtam, ha felülről nem adatott volna neked. Nagyobb bűne van azért annak, aki a te kezedbe adott engem.
John.19.12 | "Ettől fogva Pilátus azon volt, hogy szabadon bocsássa őt; de a zsidók így kiáltoztak: Ha ezt szabadon bocsátod, nem vagy barátja a császárnak. Mindenki, aki királlyá teszi magát, ellensége a császárnak."
John.19.13 | Mikor Pilátus hallotta ezt a beszédet, kihozatta Jézust és a bírói székbe ült azon a helyen, amelyet Kőpadolatnak, héberül pedig Gabbatának hívnak. 1
John.19.14 | A húsvét előkészületi napja volt és mintegy hat óra. És így szólt a zsidóknak: Íme a ti királyotok!
John.19.15 | Ám azok így kiáltoztak: Vidd el, vidd el Feszítsd meg! Szólt nekik Pilátus: A ti királyotokat feszítsem meg? A papi fejedelmek így feleltek: Nekünk nincs királyunk, hanem császárunk van!
John.19.16 | Akkor tehát kezükbe adta őt, hogy megfeszítsék. Azok pedig átvették Jézust.
John.19.17 | És maga vitte keresztjét, míg kiment az úgynevezett Koponya-helyre, amelyet héberül Golgotának hívnak,
John.19.18 | ahol megfeszítették őt és vele más kettőt, egyfelől és másfelől, középen pedig Jézust.
John.19.19 | Pilátus pedig feliratot is írt és rátétette a keresztfára. Ez volt pedig a felirat: NÁZÁRETI JÉZUS, A ZSIDÓK KIRÁLYA.
John.19.20 | Sokan olvasták pedig ezt a feliratot a zsidók közül, mivel közei volt a városhoz az a hely, ahol Jézust megfeszítették. És héberül, latinul és görögül volt írva.
John.19.21 | Szóltak azért Pilátusnak a zsidók papi fejedelmei: Ne írd: A zsidók királya! hanem hogy ő mondta: A zsidók királya vagyok.
John.19.22 | Felelt Pilátus: Amit írtam, megírtam.
John.19.23 | Amikor a katonák megfeszítették Jézust, vették az ő ruháit és négy részre osztották, mindegyik katonának egy-egy részt, és külön vették a köntösét. A köntös pedig varratlan volt, felülről mindvégig egybeszőve.
John.19.24 | "így szóltak azért egymásnak: Ezt ne hasogassuk el, hanem vessünk rá sorsot, kié legyen; hogy beteljesedjék az Írás: Ruháimon megosztoztak maguk között és köntösömre sorsot vetettek. A katonák tehát ezt tették."
John.19.25 | "Jézus keresztfája mellett pedig ott állott az anyja, anyjának nőtestvére; Mária, Kleopás felesége és a magdalai Mária."
John.19.26 | Mikor Jézus látta, hogy ott áll az anyja és a tanítvány, akit szeretett, ezt mondta az anyjának: Asszony, ímhol a te fiad!
John.19.27 | Majd szólott a tanítványnak: Ímhol a te anyád. És ettől az órától fogva magához fogadta őt az a tanítvány.
John.19.28 | Ezután Jézus tudva, hogy már minden elvégeztetett, hogy beteljesedjék az írás, így szólt: Szomjúhozom.
John.19.29 | Volt pedig ott egy ecettel teli edény. Azok azért ecettel telt szivacsot tűztek izsópszárra és odatartották a szájához.
John.19.30 | Mikor pedig elvette Jézus az ecetet, így szól: Elvégeztetett! Aztán lehajtotta fejét és kilehelte lelkét.
John.19.31 | Péntek volt és hogy a testek ne maradjanak szombaton a keresztfán (mert az a szombat nagy nap volt), a zsidók arra kérték Pilátust, hogy törjék el a lábszáraikat és vegyék le őket.
John.19.32 | Elmentek azért a katonák és eltörték az elsőnek lábszárait, majd a másikét is, akit vele együtt feszítettek meg.
John.19.33 | Mikor pedig Jézushoz értek, amint látták, hogy ő már halott, az ő lábszárait nem törték el,
John.19.34 | hanem az egyik katona dárdával beleszúrt az oldalába és nyomban vér és víz jött ki abból.
John.19.35 | És aki látta, bizonyságot tett és igaz az ő tanúbizonysága, és az tudja, hogy igazat mond, hogy ti is higgyetek.
John.19.36 | Mert azért történtek ezek, hogy beteljesedjék az írás: Az ő csontja meg ne töressék.
John.19.37 | Másutt ismét így szól az írás: Néznek majd arra, akit átszögeztek.
John.19.38 | Ezek után pedig kérte Pilátust arimatiai József, aki Jézus tanítványa volt, de a zsidóktól való félelme miatt csak titokban, hogy levehesse Jézus testét. Pilátus meg is engedte. Elment azért és levette Jézus testét.
John.19.39 | Eljött pedig Nikodémus is, — aki éjtszaka ment először Jézushoz, — mirhából és áloéból való kenetet hozva, mintegy száz fontot.
John.19.40 | Vették azért Jézus testét és lepedőbe takarták az illatszerekkel együtt, amint a zsidóknál szokás temetni.
John.19.41 | Azon a helyen pedig, ahol őt megfeszítették, volt egy kert, a kertben egy új sír, amelybe még senkit sem hegyeztek.
John.19.42 | A zsidók péntekje miatt abba helyezték Jézust, mivel az a sír közel volt.

John.20.1 | A hét első napján pedig jókor reggel, mikor még szürkület volt, odament a magdalai Mária a sírhoz és látta, hogy a követ elvették a sírról.
John.20.2 | Elfutott azért és Simon Péterhez ment és a másik tanítványhoz, akit Jézus szeretett s azt mondta nekik: Elvitték az Urat a sírból, és nem tudjuk, hová tették.
John.20.3 | Kiment azért Péter és a másik tanítvány és odamentek a sírhoz.
John.20.4 | Együtt futottak mind a ketten, de a másik tanítvány előrefutott, gyorsabban, mint Péter és előbb ért a sírhoz.
John.20.5 | Amikor lehajolt, látta, hogy ott vannak a lepedők. De nem ment be.
John.20.6 | "Nyomban utána megérkezett Simon Péter is és bement a sírba; és látta, hogy a lepedők ott vannak,"
John.20.7 | de az a kendő, amely a fején volt, nincs együtt a lepedőkkel, hanem összegöngyölítve külön egy helyen.
John.20.8 | Azután bement a másik tanítvány is, aki először ért a sírhoz és látott és hitt.
John.20.9 | Mert még nem értették az Írást, hogy fel keli támadnia a halottak közül.
John.20.10 | Visszatértek azért a tanítványok övéikhez.
John.20.11 | Mária pedig kívül állott a sírnál zokogva. Amint pedig zokogott, behajolt a sírba
John.20.12 | és látta, hogy két angyal ül ott fehér ruhában, egyik fejtől, másik lábtól, ahol Jézus teste feküdt.
John.20.13 | S azok így szóltak neki: Asszony, miért sírsz? Ő azt mondta nekik: Mert elvitték az én Uramat, és nem tudom, hová tették.
John.20.14 | És mikor ezeket mondta, hátrafordult és látta, hogy Jézus ott áll, de nem tudta hogy Jézus az.
John.20.15 | Szólt neki Jézus: Asszony, miért sírsz ? Kit kereseti Ő pedig azt gondolta, hogy a kertész az, és ezt mondta neki: Uram, ha te vitted el őt, mondd meg nekem, hová tetted és én elviszem.
John.20.16 | Szólt neki Jézus: Mária! Az megfordulva azt mondta neki héberül: Rabboni! ami azt jelenti: Mester!
John.20.17 | "Szólt neki Jézus: Ne érints engem, mert még nem mentem fel az Atyámhoz; hanem menj el az én atyámfiaihoz és mondd meg nekik: Felmegyek az én Atyámhoz és a ti Atyátokhoz, és az én Istenemhez és a ti Istenetekhez."
John.20.18 | Elment a magdalai Mária, és megje1entette a tanítványoknak: láttam az Urat, és hogy ezeket mondta neki.
John.20.19 | Mikor pedig este lett, azon a napon, a hét első napján, bár az ajtók zárva voltak, ahol összegyűltek a tanítványok a zsidóktól való félelem miatt, eljött Jézus és megállott középen és így szót nekik: Békesség nektek!
John.20.20 | És ezt mondva, megmutatta nekik kezeit és oldalát. Örvendeztek azért tanítványok, amikor látták az Urat.
John.20.21 | Ismét szólt azért nekik Jézus: Békesség nektek! Amint engem elküldött az Atya, én is elküldelek titeket.
John.20.22 | És mikor ezt mondta, rájuk lehelt és szólt nekik: Vegyetek Szentlelket!
John.20.23 | "Akiknek bűneit megbocsátjátok, megbocsáttatnak azoknak; akikéit megtartjátok, azoknak megtartatnak."
John.20.24 | Tamás pedig, a tizenkettő egyike, akit Ikernek mondtak, nem volt velük, mikor eljött Jézus.
John.20.25 | Szólt azért neki a többi tanítvány: Láttuk az Urat. Ám ő azt mondta nekik: Ha nem látom az ő kezein a szögek helyét és nem teszem ujjaimat a szögek helyére, és kezemet nem teszem az ő oldalába, semmiképpen sem hiszem el.
John.20.26 | És nyolc nap múlva ismét benn voltak tanítványai, Tamás is velük. Bár az ajtó zárva volt, bement Jézus, megállott a középen és így szólt: Békesség nektek!
John.20.27 | "Azután azt mondta Tamásnak: Nyújtsd ide az ujjadat és nézd meg a kezeimet; és nyújtsd ki a kezedet és tedd az oldalamba és ne légy hitetlen, hanem hívő."
John.20.28 | Tamás így felelt neki: Én Uram és én Istenem!
John.20.29 | "Szólt neki Jézus: Mivel láttál engem, hittél; boldogok, akik nem látnak és hisznek."
John.20.30 | Sok más jelt is cselekedett Jézus a tanítványai előtt, amelyek nincsenek megírva ebben a könyvben.
John.20.31 | Ezek pedig azért vannak megírva, hogy higgyétek: Jézus a Krisztus, az Isten Fia, és hogy e hitben életetek legyen az ő neve által.

John.21.1 | Ezek után ismét megjelentette magát Jézus a tanítványoknak a Tibériás-tengerénél, még pedig így jelentette meg:
John.21.2 | együtt voltak Simon Péter és Tamás, akit Ikernek neveztek, és Nátánael, a galileai Kánából való és Zebedeus fiai, valamint más kettő is a tanítványok közül.
John.21.3 | Szólt nekik Simon Péter: Elmegyek halászni. Azok pedig azt mondták neki: Mi is elmegyünk veled. Elmentek és hajóra szálltak. És azon az éjtszakán nem fogtak semmit.
John.21.4 | Mikor pedig már hajnalodott, megállt Jézus a parton, a tanítványok azonban nem ismerték meg, hogy Jézus az.
John.21.5 | Jézus azért azt mondta nekik: Fiaim, van-e valami ennivalótok! Feleltek neki: Nincs.
John.21.6 | Ekkor így szólt hozzájuk: Vessétek ki a hálót a hajó jobb oldala felől és találtok. Oda vetették azért, de kivonni már nem bírták a tömérdek hal miatt.
John.21.7 | Szólt azért az a tanítvány, akit Jézus szeretett, Péternek: Az Úr az. Simon Péter tehát, mikor hallotta, hogy az Úr az, magára vette a ruháját, — mert mezítelen volt — és belevetette magát a tengerbe.
John.21.8 | A többi tanítvány pedig a hajón ment, — mert nem voltak messze a parttól, csak mintegy kétszáz könyöknyire — és vonták a hálót a halakkal.
John.21.9 | Mikor pedig a partra értek, látták, hogy parázs van ott és azon hal és kenyér.
John.21.10 | Szólt nekik Jézus: Hozzatok a halakból, amelyeket most fogtatok.
John.21.11 | Beszállt Simon Péter és kivonta a hálót a partra, amely tele volt nagy halakkal, százötvenhárommal, és bár ennyi volt, nem szakadozott a háló.
John.21.12 | Szólt nekik Jézus: Jertek, egyetek! A tanítványok közül pedig senki sem merte őt megkérdezni: Ki vagy? mivel tudták, hogy az Úr.
John.21.13 | Odament azért Jézus, vette a kenyeret és adta nekik, hasonlóképen a halat is.
John.21.14 | Ezzel már harmadszor jelent meg Jézus a tanítványainak, miután feltámadt a halottak közül.
John.21.15 | "Mikor azután ettek, így szólt Jézus Simon Péternek: Simon, Jóna fia, jobban szeretsz-e engem mint ezek? Azt felelte neki: Igen, Uram; te tudod, hogy szeretlek téged! Ő azt mondta neki: Legeltesd az én bárányaimat."
John.21.16 | Szólt neki másodszor is: Simon, Jóna fia, szeretsz-e engem? Ő így válaszolt neki: Igen, Uram, te tudod, hogy szeretlek téged. Ő ezt mondta neki: Őrizd az én juhaimat!
John.21.17 | Szólt neki harmadszor is: Simon, Jóna fia, szeretsz-e engem? Péter elszomorodott, hogy harmadszor is ezt mondta neki: Szeretsz-e engem? és így felelt neki: Uram, te mindent tudsz, te tudod, hogy szeretlek téged. Jézus ezt mondta neki: Legeltesd az én juhaimat.
John.21.18 | "Bizony, bizony mondom neked, mikor ifjabb voltál, felövezted magadat és odamentéi, ahova akartál; ám mikor megöregszel, kinyújtod a kezedet, és más övez fel téged és odavisz, ahova nem akarod."
John.21.19 | Ezt pedig azért mondta, hogy jelezze, milyen halállal dicsőíti majd az Istent. És miután ezt mondta, így szólt neki: Kövess engem!
John.21.20 | Péter pedig megfordult és látta, hogy követi az a tanítvány, akit Jézus szeretett, aki azon a vacsorán az e keblén pihenve, megkérdezte: Uram, ki az, aki elárul téged?
John.21.21 | Ezt a tanítványt látva, Péter így szólt Jézusnak: Uram, hát ezzel mi leszi
John.21.22 | Szólt neki Jézus: Ha azt akarom, hogy ő megmaradjon, amíg én eljövök, mit tartozik rád? Te kövess engem!
John.21.23 | Elterjedt azért ez a mondás az atyafiak között, hogy az a tanítvány nem hal meg, pedig Jézus nem azt mondta neki, hogy nem hal meg, hanem: Ha azt akarom, hogy ez megmaradjon, amíg én eljövök, mit tartozik rád?
John.21.24 | Ez az a tanítvány, aki bizonyságot tesz ezekről és mindezt megírta. És tudjuk, hogy az ő bizonyságtétele igaz.
John.21.25 | De van sok egyéb is, amiket Jézus cselekedett s amiket, ha egyenként megírnának, azt gondolom, hogy maga a világ sem foghatná be a könyveket, amelyeket írnának.
