Mark.1.1 | Jézus Krisztusról, az Isten Fiáról szóló evangéliom kezdete.
Mark.16.6 | "Az pedig így szólt hozzájuk: Ne féljetek! A názáreti Jézust keresitek, akit megfeszítettek; feltámadott, nincsen itt. Íme a hely, ahová őt helyezték."
Mark.16.7 | De menjetek el, mondjátok meg tanítványainak és Péternek, hogy előttetek megy Galileába: ott majd meglátjátok őt, amint megmondta nektek.
Mark.16.8 | És kijöttek és elfutottak a sírbolttól, mert félelem és remegés fogta el őket, úgyhogy senkinek sem szóltak semmit, mert féltek.
Mark.16.9 | Mikor pedig a hét első napján korán reggel feltámadott, megjelent először magdalai Máriának, akiből hét ördögöt űzött volt ki.
Mark.16.10 | Ez elment és hírül adta a történteket azoknak, akik vele voltak és most keseregtek és sírtak.
Mark.16.11 | Azok pedig, mikor hallották, hogy él és Mária látta, nem hitték el.
Mark.16.12 | Ezután pedig kettőnek jelent meg közülük más alakban, útközben, mikor a vidékre mentek.
Mark.16.13 | Ezek is elmentek és hírül adták a többieknek. De azoknak sem hittek.
Mark.16.14 | Későbben, mikor asztalnál ültek, megjelent magának a tizenegynek és szemükre vetette hitetlenségüket és keményszívűségüket, hogy nem hittek azoknak, akik látták őt, miután feltámadt.
Mark.16.15 | És így szólt hozzájuk: Menjetek e széles világra, hirdessétek az evangéliumot minden teremtménynek.
Mark.16.16 | "Aki hisz és megkeresztelkedik, üdvözül; aki pedig nem hisz, elkárhozik."
Mark.16.17 | Azokat pedig, akik hisznek, ilyen jelek követik: az én nevemben ördögöket űznek ki, új nyelveken szólanak,
Mark.16.18 | "kígyókat vesznek kezükbe és ha valami halálost isznak, semmiképpen sem árt nekik; ha betegekre teszik a kezüket, azok meggyógyulnak."
Mark.16.19 | Miután pedig az Úr Jézus szólott nekik, felvitetett a mennybe és az Isten jobbjára ült.
Mark.16.20 | Azok pedig elmentek, mindenütt hirdették az igét, és az Úr együtt munkálkodott velük és megerősítette az igét azokkal a jelekkel, amelyek kísérték azt
