Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.17.11 | Ezek nemesebb lelkűek voltak, mint a thessalonikabeliek, úgyhogy az igét teljes készséggel fogadták, naponként tudakozva az írásokat, hogy úgy vannak-e ezek.
Acts.17.12 | Sokan hittek tehát közülük, sőt az előkelő görög asszonyok és férfiak közül is nem kevesen.
Acts.17.13 | Mikor azonban a thessalonikai zsidók megtudták, hogy Pál Béreában is hirdeti az Isten igéjét, elmentek és a sokaságot ott is felindították és fellázították.
Acts.17.14 | De akkor az atyafiak gyorsan elküldték Pált, mintha a tenger felé menne, Szilás és Timótheus azonban ott maradt.
Acts.17.15 | Akik pedig elkísérték Pált, elvitték egészen Athénig, majd elmentek Sziláshoz és Timótheushoz azzal a paranccsal, hogy azok minél hamarabb menjenek hozzá.
Acts.17.16 | Mikor azokat Athénben várta Pál, lelke háborgott, mivel látta, hogy a város tele van bálványokkal.
Acts.17.17 | Vitázott azért a zsinagógában a zsidókkal és istenfélőkkel és a piacon minden nap azokkal, akikkel éppen találkozott.
Acts.17.18 | Néhány epikureus és stoikus filozófus is vitatkozott vele. És egyesek így szóltak: Mit akarhat ez a fecsegő mondani? Mások meg: Úgy látszik, hogy idegen istenségek hirdetője. Jézust és a feltámadást hirdette ugyanis nekik.
Acts.17.19 | Megragadták tehát őt, az Areopágusra vitték s ezt mondták: vajjon megismerhetnők-e, mi az az új tanítás, amelyet hirdetsz?
Acts.17.20 | Mert a mi fülünknek idegen dolgokat beszélsz: mi tehát meg akarjuk érteni, mik lehetnek ezek.
Acts.17.21 | Az athéniek pedig mindnyájan és az ott lakó jövevények semmi mással nem törődtek, csakhogy valami újat mondjanak vagy halljanak.
Acts.17.22 | Előállott pedig Pál az Areopágus közepén és így szólt: Athéni férfiak, úgy látom, hogy ti minden tekintetben nagyon istenfélők vagytok.
Acts.17.23 | Mert mikor bejártam és szemléltem szentélyeiteket, egy olyan oltárra is akadtam, amelyre ez volt írva: az ISMERETLEN ISTENNEK. Akit tehát ti ismeretlenül tiszteltek, azt hirdetem én nektek.
Acts.17.24 | Az Isten, aki teremtette a világot és mindazt, ami abban van, mennynek és földnek Ura és nem lakik kézzel csinált templomokban.
Acts.17.25 | Emberi kéz szolgálatára sem szorul, mintha valami nélkül szűkölködnék, mivel ő ád mindennek életet, leheletet és mindent.
Acts.17.26 | És az egész emberi nemzetséget egy vérből teremtette, hogy lakjanak az egész föld színén. Meghatározta előre rendelt idejüket és lakozásuk határait,
Acts.17.27 | hogy keressék az Istent, ha talán kitapinthatnák őt és megtalálhatnák, noha bizony nincs messze egyikünktől sem,
Acts.17.28 | mert őbenne élünk, mozgunk és vagyunk. A ti költőitek közül is ezt mondták némelyek: ,,Az ő nemzetségéből vagyunk mi is”.
Acts.17.29 | Mivel tehát az Isten nemzetsége vagyunk, nem szabad azt gondolnunk, hogy az istenség aranyhoz vagy ezüsthöz vagy kőhöz vagy az emberi művészet és elképzelés valamely alkotásához hasonló.
Acts.17.30 | A tudatlanság időszakát ugyan elnézte az Isten, de most már azt parancsolja minden embernek mindenütt, hogy térjenek meg.
Acts.17.31 | Mivel meghatározott egy napot, amelyen meg fogja ítélni a föld kerekségét igazságosan egy férfiú által, akit erre rendelt. Megbizonyította ezt mindenki előtt azzal, hogy feltámasztotta őt a halottak közül.
Acts.17.32 | Mikor azonban a halottak feltámadásáról hallottak, némelyek gúnyolódtak, mások pedig azt mondták: Majd még meghallgatunk téged e felől.
Acts.17.33 | így távozott Pál közülük.
Acts.17.34 | "Néhány férfi azonban csat lakozott hozzá, és hívővé lett; ezek között az areopágita Dienes is és egy Damaris nevű asszony és velük együtt mások."

Acts.18.1 | Ezek után Pál Athénből eltávozott és Korinthusba ment.
Acts.18.2 | Itt egy Akvila nevű pontusi származású zsidóra talált, aki nemrég jött Itáliából, és feleségére, Priszcillára — mivel Klaudius megparancsolta, hogy a zsidók mind távozzanak Rómából és hozzájuk csatlakozott.
Acts.18.3 | Mivel pedig ugyanazt a mesterséget folytatta, náluk maradt és ott dolgozott. Mesterségükre nézve ugyanis sátorcsinálók voltak.
Acts.18.4 | Vitatkozott pedig minden szombaton a zsinagógában és igyekezett meggyőzni mind a zsidókat, mind a görögöket.
Acts.18.5 | Mikor pedig megérkezett Macedóniából Szilás és Timótheus, Pál teljesen az ige hirdetésében foglalatoskodott és bizonyságot tett a zsidók előtt, hogy Jézus a Krisztus.
Acts.18.6 | De mikor ellenszegültek és káromlásokat mondtak, ruháját megrázta és ezt mondta nekik: Véretek a fejetekre! Én tiszta vagyok: mostantól fogva a pogányokhoz megyek.
Acts.18.7 | És elköltözött onnét, egy Titius Jusztus nevű istenfélő ember házába, amely szomszédos volt a zsinagógával.
Acts.18.8 | "Kriszpus pedig, a zsinagógai elöljáró, hitt az Úrban egész házanépével együtt; a korinthusiak közül is sokan, miután hallották, hittek és megkeresztelkedtek."
Acts.18.9 | Szólt pedig az Úr éjjel látomás által Pálnak: Ne félj, hanem prédikálj és ne hallgass,
Acts.18.10 | "Mert én veled vagyok és senki sem támad rád, hogy neked ártson; mert nekem sok népem van ebben a városban."
Acts.18.11 | És ott lakott egy esztendeig és hat hónapig és tanította köztük az Isten igéjét.
Acts.18.12 | Mikor pedig Gallió lett Ahája helytartója, a zsidók egy akarattal rátámadtak Pálra s a törvényszék elé vitték,
Acts.18.13 | és ezt mondták: Ez az embereket arra csábítja, hogy törvényellenes módon tiszteljék az Istent.
Acts.18.14 | Mikor pedig Pál meg akarta nyitni száját, Gallió azt mondta a zsidóknak: Ha valóban valami erőszakról vagy gonosz cselekedetről volna szó, zsidók, megokolt volna, hogy meghallgassalak titeket.
Acts.18.15 | De mivel tanításról, nevekről és a ti törvényetekről folyik a vita, azt intézzétek el ti magatok, mert én ezekben nem akarok bíró lenni.
Acts.18.16 | És elűzte őket a törvényszék elől.
Acts.18.17 | Ekkor valamennyien megragadták Szósztenest, a zsinagógai elöljárót és ütlegelték a törvényszék előtt. Gallió azonban nem törődött vele.
Acts.18.18 | "Pál pedig még egy jó ideig ott maradt, azután elbúcsúzott az atyafiaktól, Szíriába hajózott és vele együtt Priszcilla és Akvila, miután ő a fejét Kenkreában megnyíratta; mert ez volt a fogadása."
Acts.18.19 | így jutott Efezusba és azokat otthagyta, ő maga pedig bement a zsinagógába és vitatkozott a zsidókkal.
Acts.18.20 | Ám mikor arra kérték, hogy hosszabb ideig maradjon náluk, nem volt hajlandó,
Acts.18.21 | hanem búcsút vett tőlük és azt mondta: Ismét visszajövök hozzátok, ha az Isten akarja. És elhajózott Efezusból.
Acts.18.22 | És miután Cézáreába ért, felment Jeruzsálembe, köszöntötte a gyülekezetet, és lement Antiókhiába.
Acts.18.23 | És miután egy darabig ott időzött, elment, rendre bejárta Galácia tartományát és Frigiát, és erősítette a tanítványokat mind.
Acts.18.24 | Eközben Efezusba érkezett egy Apollós nevű zsidó, alexandriai származású, ékesen szóló férfiú, járatos az írásokban.
Acts.18.25 | Ez már oktatást nyert az Úr útjáról és miután lélekben buzgó volt, pontosan hirdette és tanította a Jézusra vonatkozó dolgokat, bár csak János keresztségét ismerte.
Acts.18.26 | És kezdett nagy bátorsággal szólani a zsinagógában. Mikor pedig meghallgatta őt Akvila és Priszcilla, magukhoz vették és még pontosabban kifejtették előtte az Isten útját.
Acts.18.27 | Majd mikor Ahájába akart átmenni, az atyafiak buzdították és írtak a tanítványoknak, hogy fogadják be. Mikor odaérkezett, nagy segítségükre volt azoknak, akik hívőkké lettek a kegyelem által,
Acts.18.28 | mert nyilvánosan nagy erővel cáfolta a zsidókat, bizonyítva az írásokból, hogy Jézus a Krisztus

Acts.19.1 | Történt pedig közben, míg Apollós Korinthusban volt, hogy Pál bejárta a felső tartományokat, Efezusba érkezett és mikor néhány tanítványra talált,
Acts.19.2 | ezt kérdezte tőlük: vajjon vettetek-e Szentlelket, miután hívőkké lettetek? Azok pedig így feleltek neki: Sőt inkább azt sem hallottuk, hogy van-e Szentlélek.
Acts.19.3 | És szólt nekik: Hát mire keresztelkedtetek meg? Azok pedig azt válaszolták: János keresztségére.
Acts.19.4 | Szólt pedig Pál: János megtérés keresztségével keresztelt, és azt mondta a népnek, hogy aki utána jön, abban higgyenek, tudniillik a Jézus Krisztusban,
Acts.19.5 | Mikor pedig ezt hallották, megkeresztelkedtek az Úr Jézus nevére.
Acts.19.6 | És miután Pál rájuk tette a kezét, Szentlélek szállt rájuk, úgyhogy nyelveken beszéltek és prófétáltak.
Acts.19.7 | Ezek a férfiak pedig összesen mintegy tizenketten voltak.
Acts.19.8 | Amikor bement a zsinagógába, bátran beszélt, és három hónapon át vitatkozva igyekezett meggyőzni őket az Isten országára tartozó dolgokról.
Acts.19.9 | Mikor azonban némelyek megkeményítették magukat, engedetlenek voltak és szidalmazták az Úr útját az egybegyűltek előtt, elvált tőlük és magával vitte a tanítványokat. Ettől fogva mindennap egy bizonyos Tirannus iskolájában prédikált.
Acts.19.10 | így volt ez két esztendeig, úgyannyira, hogy mindazok, akik Ázsiában laktak, mind zsidók, mind görögök hallgatták az Úr igéjét.
Acts.19.11 | Isten pedig rendkívüli csodákat cselekedett Pál keze által,
Acts.19.12 | úgyhogy a betegekhez is elvitték testéről a kendőket vagy kötényeket és azok meggyógyultak a betegségeikből és a gonosz lelkek kimentek belőlük.
Acts.19.13 | Egyes kóbor zsidó ördögűzők pedig kuruzsolni kezdtek az Úr Jézus nevével olyanokat, akikben gonosz lelkek voltak, és ezt mondták: Kényszerítünk titeket Jézusra. akit Pál prédikál!
Acts.19.14 | És ezt egy bizonyos Skéva nevű zsidó főpap hét fia művelte.
Acts.19.15 | De a gonosz lélek így válaszolt: Jézust ismerem, Pálról is tudok, de ti kik vagytok?
Acts.19.16 | Erre az az ember, akiben a gonosz lélek volt, nekik ugrott, legyűrte őket s annyira hatalmat vett rajtuk, hogy mezítelenül és sebesülten futottak ki abból a házból.
Acts.19.17 | Ez pedig tudomására jutott mindenkinek, zsidóknak és görögöknek, akik Efezusban laktak, úgyhogy félelem szállott mindnyájukra és magasztalták az Úr Jézus nevét.
Acts.19.18 | És sokan a hivők közül eljöttek, megvallottak és elbeszélték ördögi mesterkedésüket.
Acts.19.19 | Sokan pedig azok közül, akik varázslással foglalkoztak, könyveiket összehordtak és mindenki láttára megégették azokat. Amikor a könyvek árát összeszámolták, úgy találták, hogy az ötvenezer ezüstpénz.
Acts.19.20 | Így az Úr igéje hatalmasan terjedt és megerősödött.
Acts.19.21 | Ezek után Pál elhatározta a Lélek által, hogy Macedóniát és Aháját bejárva Jeruzsálembe megy és ezt mondta: Miután ott voltam, Rómát is meg kell látnom.
Acts.19.22 | Elküldött pedig Macedóniába kettőt azok közül, akik neki szolgáltak: Timótheust és Erásztust, ő maga egy ideig Ázsiában maradt
Acts.19.23 | Támadt azonban abban az időben nem csekély háborúság az Úr útja miatt.
Acts.19.24 | Mert egy Demeter nevű ötvös, aki ezüstből Diána templomokat készített, s ezáltal a kézműveseknek nem csekély nyereséget adott,
Acts.19.25 | gyűlésre hívta őket a rokon mesterséget folytatókkal együtt és ezt mondta: Férfiak, tudjátok, hogy a mi jólétünk ebből a mesterségből van.
Acts.19.26 | De látjátok és halljátok, hogy ez a Pál nemcsak Efezusnak, hanem úgyszólva egész Ázsiának sok népét eláltatta és megtévesztette, mivel azt mondja, hogy nem istenek azok, amelyeket kézzel csinálnak.
Acts.19.27 | De nemcsak minket fenyeget ez a veszedelem, hogy ez a mesterség hitelét veszti, hanem hogy a nagy istennőnek, Diánának templomát is semmibe veszik, úgyhogy odavész az ő nagysága, pedig egész Ázsia és az egész földkerekség tiszteli.
Acts.19.28 | Amikor ezeket hallották, elteltek haraggal és így kiáltoztak: Nagy az efezusi Diána!
Acts.19.29 | És megtelt az egész város izgalommal. És egy akarattal a színházba rohantak, megragadták Gájust és Arisztarkust, Pál útitársait, akik Macedóniából valók voltak.
Acts.19.30 | Pált azonban, mikor a nép közé akart menni, nem eresztették a tanítványok.
Acts.19.31 | Néhányan a tartomány főtisztviselői közül is, akik neki barátai voltak, elküldtek hozzá, és kérték őt, hogy ne menjen a színházba.
Acts.19.32 | Ott ki egyet, ki mást kiáltozott, mert a népgyűlés összezavarodott és a többség azt sem tudta, miért gyűltek össze.
Acts.19.33 | A tömegből pedig előállították Sándort, minthogy a zsidók őt tuszkolták előre. Sándor pedig kezével intve, védekezni akart a nép előtt.
Acts.19.34 | Mikor azonban megismerték, hogy zsidó, egyetlen kiáltás tört ki mindnyájukból, amely mintegy két óra hosszáig tartott: Nagy az efezusi Diána!
Acts.19.35 | Miután pedig a városi jegyző lecsendesítette a sokaságot, így szólt: Efezusi férfiak, ugyan ki az az ember, aki ne tudná, hogy Efezus városa a nagy istennő, Diána templomának és az égből lehullott képének őrizője?
Acts.19.36 | Mivel tehát ezeknek senki sem mondhat ellent, szükséges, hogy lecsendesedjetek és semmiféle meggondolatlanságot ne cselekedjetek.
Acts.19.37 | Mert idehoztátok ezeket az embereket, akik sem nem templomrablók, sem a mi istennőnk ellen káromlást nem mondtak.
Acts.19.38 | Ha tehát Demeternek és kézműves társainak valaki ellen panaszuk van, vannak erre törvényszékek és helytartók: pereljenek azok előtt egymással.
Acts.19.39 | Ha pedig egyéb dologra nézve van valami panaszotok, a törvényes népgyűlésen majd elintézhetitek.
Acts.19.40 | Mert félő, hogy lázadással vádolnak minket a mai napért, mivel semmi ok sincs, amivel számot tudnánk adni ezért a csődületért. Ezeket mondva, feloszlatta a gyűlést.
Acts.19.41 | Összevont szöveg

Acts.20.1 | Miután pedig a zavargás megszűnt, Pál magához hívatta a tanítványokat, intette őket, búcsút vett tőlük és elindult, hogy Macedóniába menjen.
Acts.20.2 | Amikor pedig bejárta azokat a tartományokat, még sok beszéddel intette őket és Görögországba ment.
Acts.20.3 | És ott töltött három hónapot. De mivel a zsidók cselt szőttek ellene, mikor Szíriába készült hajózni, úgy döntött, hogy Macedónián át tér vissza.
Acts.20.4 | "Kísérte pedig őt Ázsiáig a béreai Szopater, Pirrus fia, a thessalonikaiak közül pedig Arisztarkus és Szekundus, a derbéi Gájus és Timótheus; továbbá az ázsiai Tikhikus és Trofimus."
Acts.20.5 | Ezek előremenve megvártak minket Tróásban.
Acts.20.6 | Mi pedig a kovásztalan kenyerek napjai után kihajóztunk Filippiből és öt nap múlva hozzájuk érkeztünk Tróásba, ahol hét napot töltöttünk.
Acts.20.7 | A hét első napján pedig, mikor összegyűltünk a kenyér megtörésére, Pál prédikált nekik és mivel másnap el akart utazni, a tanítást éjfélig nyújtotta.
Acts.20.8 | Sok lámpás volt pedig abban az emeleti szobában, ahol összegyűltünk.
Acts.20.9 | Egy Eutihus nevű ifjú mivel Pál sok ideig prédikált, mély álomba merült és az álom úgy elnyomta, hogy leesett a harmadik emeletről és holtan szedték fel.
Acts.20.10 | Ekkor Pál lement, ráborult és magához ölelve őt, ezt mondta: Ne üssetek zajt, mert a lelke még benne van.
Acts.20.11 | Azután felment, megtörte a kenyeret, evett és sokáig, egész virradatig beszélgetve, útnak indult.
Acts.20.12 | Az ifjút pedig élve hozták fel és igen megvigasztalódtak.
Acts.20.13 | Mi pedig előre mentünk a hajóra, Asszusba eveztünk s ott akartuk felvenni Pált, mivel így rendelkezett és maga gyalog akart jönni,
Acts.20.14 | Amikor pedig Asszusban összetalálkozott velünk, felvettük őt és Mitilénébe mentünk.
Acts.20.15 | És onnét elhajóztunk, és másnap Kius magasságába jutottunk. A következő napon pedig áthajóztunk Számusba, — Trogilliumban megszálltunk — és másnap Milétusba mentünk. (A 15. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)
Acts.20.16 | Mert Pál elhatározta, hogy Efezus mellett elhajózik, hogy ne kelljen időt töltenie Ázsiában, mivel sietett, hogy lehetőleg pünkösd napjára Jeruzsálemben legyen.
Acts.20.17 | Milétusból azonban elküldött Efezusba, és magához hívatta a gyülekezet véneit.
Acts.20.18 | Mikor azután ezek odajöttek hozzá, így szólt hozzájuk: Ti tudjátok, hogy az első naptól fogva, amelyen Ázsiába jöttem, hogyan viselkedtem közöttetek az egész idő alatt,
Acts.20.19 | hogyan szolgáltam az Úrnak teljes alázatossággal, sok könnyhullatás és kísértés között, amelyek rajtam a zsidók cselvetései miatt estek.
Acts.20.20 | Semmit abból, ami hasznos, el nem hallgattam, hanem inkább nyilvánosan és házanként hirdettem és tanítottam nektek,
Acts.20.21 | miközben mind zsidók, mind görögök előtt bizonyságot tettem az Istenhez való megtérés és a mi Urunk Jézus Krisztusban való hit felől.
Acts.20.22 | És most íme, én a Lélektől kényszerítve megyek Jeruzsálembe és nem tudom, hogy mik következnek ott rám,
Acts.20.23 | csak azt, hogy a Szentlélek városonként arról tesz bizonyságot nekem, hogy fogság és nyomorúság következik rám.
Acts.20.24 | De semmivel sem gondolok, sőt még az életem sem drága nekem, csakhogy elvégezhessem futásomat örömmel és azt a szolgálatot, amelyet az Úr Jézustól vettem, hogy bizonyságot tegyek Isten kegyelmének evangéliumáról.
Acts.20.25 | És most íme, tudom, hogy nem látjátok többé arcomat, ti mindnyájan, akik között az Isten országát prédikálva jártam.
Acts.20.26 | Azért bizonyságot teszek előttetek a mai napon, hogy én mindenkinek a vérétől tiszta vagyok.
Acts.20.27 | Mert nem vonakodtam, hogy hirdessem nektek az Isten teljes akaratát.
Acts.20.28 | Vigyázzatok azért magatokra és az egész nyájra, amelyben a Szentlélek titeket vigyázókká tett az Isten egyházának legeltetésére, amelyet tulajdon vérével szerzett.
Acts.20.29 | Mert tudom, hogy távozásom után gonosz farkasok jönnek közétek, akik nem kímélik a nyájat.
Acts.20.30 | Sőt ti magatok közül is támadnak férfiak, akik fonák dolgokat beszéljek, hogy a tanítványokat maguk után vonják.
Acts.20.31 | Azért legyetek éberek, emlékezzetek meg arról, hogy három esztendeig éjjel-nappal meg nem szűntem könnyhullatással inteni mindenkit.
Acts.20.32 | És most, atyámfiai, ajánllak titeket az Úrnak és az ő kegyelme igéjének, aki felépíthet és adhatja nektek minden szentekkel egyben az örökséget.
Acts.20.33 | Senkinek ezüstjét vagy aranyát vagy ruháját nem kívántam,
Acts.20.34 | sőt magatok tudjátok, hogy mind saját szükségleteimről, mind a velem levőkről ezek a kezek gondoskodtak.
Acts.20.35 | Mindezekben példát adtam nektek, hogy ily módon munkálkodva kell az erőtlenekről gondoskodni és megemlékezni az Úr Jézus szavairól, mert ő mondta: Jobb adni, mint venni.
Acts.20.36 | És mikor ezeket elmondta, térdre esve imádkozott mindnyájukkal együtt.
Acts.20.37 | Ekkor mindnyájan nagy sírásra fakadtak és Pálnak nyakába borulva, csókolgatták őt.
Acts.20.38 | Különösen azon a mondásán szomorodtak el, hogy többé az ő arcát nem fogják látni. Azután elkísérték a hajóra.

Acts.21.1 | Amint elváltunk tőlük, elindultunk és egyenesen haladva, Kóusba érkeztünk, másnap pedig Ródusba és onnét Patarába.
Acts.21.2 | Ott találtunk egy Feníciába induló hajót: ebbe beszállva, elhajóztunk.
Acts.21.3 | És miután megláttuk Ciprust és elhagytuk balkéz felé, Szíriába eveztünk és Tírusban kötöttünk ki, mert a hajó ott rakta ki terhét.
Acts.21.4 | És amikor megtaláltuk a tanítványokat, ott maradtunk hét napig. Ezek Pálnak a Lélek által azt mondták, hogy ne menjen fel Jeruzsálembe.
Acts.21.5 | Mikor pedig eltöltöttük azokat a napokat, elindulva folytattuk utunkat és mindenki elkísért bennünket az asszonyokkal és gyermekekkel együtt még a városon is túl. És a tenger partján térdre esve imádkoztunk.
Acts.21.6 | Azután elbúcsúztunk egymástól, hajóra szálltunk, ők pedig visszatértek övéikhez.
Acts.21.7 | Amikor a tengeri út végére értünk, Tírusból eljutottunk Ptolemaisba, köszöntöttük az atyafiakat, és náluk maradtunk egy napig.
Acts.21.8 | Másnap pedig elutaztunk és megérkeztünk Cézáreába, bementünk Fülöp evangélista házába, aki ama hét közül való volt, és nála szálltunk meg.
Acts.21.9 | Ennek pedig volt négy hajadon leánya, akik prófétáltak.
Acts.21.10 | Mialatt pedig több napig ott tartózkodtunk, lejött egy Júdeából való próféta, név szerint Agabus.
Acts.21.11 | Mikor ez hozzánk érkezett, vette a Pál övét, megkötözte vele saját kezét és lábát, és ezt mondta: Így szól a Szentlélek: így kötözik meg a zsidók Jeruzsálemben azt a férfiút, akié ez az öv, és a pogányok kezére adják.
Acts.21.12 | Mikor pedig ezeket hallottuk, mind mi, mind az odavalók kértük, hogy ne menjen fel Jeruzsálembe,
Acts.21.13 | de Pál így feledt: Miért teszitek ezt, sírva és szívemet keserítve? Mert én nemcsak megkötöztetni, hanem meghalni is kész vagyok Jeruzsálemben az Úr Jézus nevéért.
Acts.21.14 | Mikor tehát nem engedett, megnyugodtunk és ezt mondtuk: Legyen meg az Úr akarata!
Acts.21.15 | E napok után pedig felkészültünk és felmentünk Jeruzsálembe.
Acts.21.16 | Velünk jött néhány cézáreai tanítvány is, akik elvezettek bizonyos ciprusi Mnázonhoz, egy régi tanítványhoz, hogy ott legyen szállásunk.
Acts.21.17 | Mikor Jeruzsálembe értünk, örömmel fogadtak minket az atyafiak.
Acts.21.18 | Másnap pedig Pál velünk együtt bement Jakabhoz és a vének mindnyájan ott voltak.
Acts.21.19 | Köszöntötte őket és részletesen előadta, amit Isten a pogányok között az ő szolgálata által cselekedett.
Acts.21.20 | Azok pedig ennek hallatára dicsőítették az Istent és ezt mondták neki: Látod, atyánkfia, mily sok ezer zsidó van, akik hivőkké lettek és mindnyájan buzgólkodnak a törvények megtartásában.
Acts.21.21 | Felőled pedig azt hallották, hogy te mindazokat a zsidókat, akik a pogányok között vannak, Mózestől való elszakadásra tanítod és azt mondod, hogy ne metéljék körül fiaikat, se a zsidó szokások szerint ne járjanak.
Acts.21.22 | Mit tegyünk tehát? Mindenesetre meg fogják hallani, hogy ideérkeztél.
Acts.21.23 | Tedd hát azt, amit neked mondunk. Van közöttünk négy férfi, akik fogadalmat tettek.
Acts.21.24 | Ezeket vedd magad mellé, menj fel velük tisztulásra és fizess helyettük, hogy megnyírhassák fejüket. így majd mindenki megtudja, hogy semmi sem igaz abból, amit felőled hallott, hanem te magad is úgy élsz, hogy a törvényt megtartod.
Acts.21.25 | A pogányokból lett hívőknek pedig megírtuk azt a határozatunkat, hogy tartózkodjanak mind a bálványáldozatoktól, mind a vértől, mind a fulladt állattól, mind a paráznaságtól.
Acts.21.26 | Akkor Pál maga mellé vette azokat a férfiakat és másnap velük együtt megtisztulva, bement a templomba, és bejelentette, hogy mikor telnek le a tisztulás napjai, és mikor mutatják be mindegyikükért az áldozatot.
Acts.21.27 | Mikor azonban a hét nap már eltelőben volt, az ázsiai zsidók meglátták őt a templomban, ellene ingerelték az egész sokaságot, rávetették a kezüket,
Acts.21.28 | "és ezt kiáltották: Izraelita férfiak, segítsetek! Ez az ember az, aki mindenkit mindenütt a nép ellen, a törvény ellen és e hely ellen tanít; ezenfelül még görögöket is hozott a templomba, amivel beszennyezte ezt a szent helyet."
Acts.21.29 | Előbb ugyanis látták vele az efezusi Trofimust a városban, s azt gondolták, hogy Pál bevitte a templomba.
Acts.21.30 | Felzúdult tehát az egész város, a nép összecsődült, megragadták Pált, kivonszolták a templomból és az ajtókat azonnal bezárták.
Acts.21.31 | Mikor pedig meg akarták őt ölni, eljutott a híre a katonai csapat ezredeséhez, hogy az egész Jeruzsálem fellázadt.
Acts.21.32 | Ez azonnal katonákat és századosokat vett maga mellé, és lerohant hozzájuk. Mikor ezek meglátták az ezredest és a katonákat, abbahagyták Pál ütlegelését.
Acts.21.33 | Ekkor az ezredes odaért, elfogatta őt és megparancsolta, hogy kötözzék meg két lánccal, majd tudakolta, hogy kicsoda és mit cselekedett.
Acts.21.34 | De ki egyet, ki mást kiáltott a tömeg között és mivel a zajongás miatt nem tudhatott meg semmi bizonyosat, megparancsolta, hogy vigyék a várba.
Acts.21.35 | Mikor azonban a lépcsőkhöz ért, a katonáknak vinniük kellett a tömeg erőszakoskodása miatt.
Acts.21.36 | Mert nagy néptömeg követte, kiáltozva: Öld meg őt!
Acts.21.37 | És mikor már éppen be akarták vinni Pált a várba, így szólt az ezredeshez: Vájjon szabad-e nekem valamit szólnom hozzád? Az pedig szólt: Hát te tudsz görögül?
Acts.21.38 | Hát nem te vagy az az egyiptomi, aki néhány nappal ezelőtt fellázította és a pusztába vitte ki a négyezer összeesküvőt?
Acts.21.39 | Pál pedig szólt: Én ugyan tárzusi zsidó vagyok, Cilicia nem ismeretlen városának polgára, de kérlek, engedd meg nekem, hogy szóljak a néphez.
Acts.21.40 | Mikor aztán megadta az engedélyt, Pál a lépcsőkön állva, intett kezével a népnek és mikor nagy csend lett, megszólalt héber nyelven és ezt mondta:

Acts.22.1 | Atyámfiai, férfiak és atyák, hallgassátok meg beszédemet, amellyel előttetek védekezem.
Acts.22.2 | Mikor pedig hallották, hogy héber nyelven szól hozzájuk, még jobban elcsendesedtek. És szólt:
Acts.22.3 | Én zsidó vagyok, a ciliciai Tárzusban születtem, de ebben a városban növekedtem fel Gamáliel lábainál. Az ősi törvény szigorúsága szerint tanítottak, és én is oly buzgón ragaszkodtam az Istenhez, mint ma ti mindnyájan.
Acts.22.4 | "Ennek a tanításnak a híveit halálra üldöztem, megkötöztem és tömlöcbe vetettem férfiakat is, nőket is;"
Acts.22.5 | tanúja ennek a főpap is és a vének egész tanácsa, akiktől leveleket is kaptam az atyafiakhoz és elmentem Damaskusba, hogy az odavalókat is fogva hozzam Jeruzsálembe, hogy bűnhődjenek.
Acts.22.6 | Történt pedig, hogy amint mentem és közeledtem Damaskushoz, déltájban hirtelen nagy mennyei világosság sugárzott körül engem,
Acts.22.7 | és a földre estem és szót hallottam, amely ezt mondta nekem: Saul, Saul, miért üldözöl engem?
Acts.22.8 | Én pedig azt feleltem: Kicsoda vagy, uram? És ő így szólt: Én vagyok a názáreti Jézus, akit te üldözöl.
Acts.22.9 | Akik pedig velem voltak, a világosságot ugyan látták — és megrémültek — de nem hallották annak szavát, aki velem beszélt.
Acts.22.10 | "Én pedig szóltam: Mit cselekedjem, Uram? Az Ú erre azt mondta nekem: Kelj fel és menj Damaskusba; majd ott megmondják neked mindazt, amit Isten felőled elrendelt, hogy véghez vidd."
Acts.22.11 | Mivel azonban ama világosság ragyogása miatt nem láttam, a velem levők kézen fogva vezettek és úgy mentem be Damaskusba.
Acts.22.12 | Egy bizonyos Anániás pedig, aki a törvény szerint kegyes férfiú, kiről az összes ott lakó zsidók jó bizonyságot tesznek,
Acts.22.13 | eljött hozzám, mellém állott és így szólt: Atyámfia, Saul, láss újból! És én abban a pillanatban megláttam őt.
Acts.22.14 | Ő pedig szólt: A mi atyáink istene választott ki téged, hogy megismerd az ő akaratát és meglásd amaz Igazat és szót hallj az ő szájából.
Acts.22.15 | Mert az ő tanúja leszel minden embernél, ama dolgok felől, amiket láttál és hallottál.
Acts.22.16 | Most tehát miért késel? Kelj fel, keresztelkedjél meg, mosd le a bűneidet, és hívd segítségül az Ú nevét.
Acts.22.17 | Történt pedig, hogy mikor Jeruzsálembe visszatértem és imádkoztam a templomban, lelkemben elragadtattam
Acts.22.18 | és láttam őt, aki ezt mondta nekem: Siess és menj ki hamar Jeruzsálemből mert nem fogadják be a felőlem való bizonyságtételedet.
Acts.22.19 | Ekkor így szóltam: Uram, ők maguk tudják, hogy tömlöcbe vetettem és vertem minden zsinagógában azokat, akik benned hittek.
Acts.22.20 | És mikor a te mártírodnak, Istvánnak vérét ontották, én is ott álltam, és helyeseltem az ő megölését és őriztem azoknak a ruháját, akik őt megölték.
Acts.22.21 | És azt mondta nekem: Eredj el, mert messze küldelek téged, a pogányok közé.
