Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségkönyve.
Matt.19.24 | Ismét mondom pedig nektek: könnyebb a tevének a tű fokán átmenni, mint a gazdagnak az Isten országába bejutni.
Matt.19.25 | Mikor a tanítványok ezeket hallották, nagyon megdöbbentek és ezt mondták: kicsoda üdvözülhet tehát?
Matt.19.26 | Jézus pedig rájuk tekintett és azt mondta nekik: Embereknél ez lehetetlen, de Istennél minden lehetséges.
Matt.19.27 | Ekkor megszólalt Péter és ezt mondta: Látod, mi otthagytunk mindent és követtünk téged. Mi lesz velünk?
Matt.19.28 | Jézus pedig azt mondta nekik: Bizony mondom nektek, hogy ti, akik követtetek engem, a világ megújulásakor, mikor az Ember Fia az ő dicsőségének királyi székébe ül, szintén odaültök tizenkét királyi székbe és ítélitek Izrael tizenkét nemzetségét.
Matt.19.29 | És mindenki, aki elhagyta a házait, fiútestvéreit vagy nőtestvéreit vagy atyját vagy anyját vagy feleségét vagy gyermekeit vagy szántóföldjeit az én nevemért, százannyit kap és örök életet nyer majd örökségül.
Matt.19.30 | Sok utolsó lesz elsővé és sok első utolsóvá.

Matt.20.1 | Mert hasonló a mennyek országa a gazdához, aki jókor reggel kiment, hogy munkásokat fogadjon az ő szőlejébe.
Matt.20.2 | Miután pedig a munkásokkal egy dénár napszámban megegyezett, elküldte őket szőlejébe.
Matt.20.3 | Mikor három óra tájban kiment, látott másokat, akik a piacon tétlenül álltak,
Matt.20.4 | és így szólt nekik: Menjetek ki ti is a szőlőbe és ami igazságos, megadom nektek.
Matt.20.5 | Azok pedig kimentek. Hat és kilenc óra tájban ismét kiment és ugyanígy cselekedett.
Matt.20.6 | Tizenegy óra tájban is kiment és talált másokat, akik ott álltak és azt mondta nekik: Miért álltok itt egész nap tétlenül?
Matt.20.7 | Azok így feleltek neki: Mert senki sem fogadott meg minket. Ő azt mondta nekik: Menjetek el ti is a szőlőbe.
Matt.20.8 | Mikor pedig beesteledett, így szólt a szőlő ura az ő vincellérjének: Hívd elő a munkásokat és fizesd ki a bérüket, az utolsóktól kezdve az elsőkig.
Matt.20.9 | Ekkor előjöttek a tizenegy órások, és fejenként egy-egy dénárt kaptak.
Matt.20.10 | Mikor aztán az elsők jöttek, azt gondolták, hogy ők többet kapnak, ám ők is egy-egy dénárt kaptak fejenként.
Matt.20.11 | Amint pedig felvették, zúgolódtak a gazda ellen,
Matt.20.12 | és azt mondták: Ezek az utolsók csak egy órát dolgoztak és te egyenlővé tetted őket velünk, akik a nap terhét és hőségét szenvedtük.
Matt.20.13 | Ő pedig egyiküknek így felelt: Barátom, nem bánok veled igazságtalanul. Hát nem egy dénárban egyeztél meg velem?
Matt.20.14 | Vedd, ami a tiéd és menj el. Én pedig ennek az utolsónak is annyit akarok adni, mint neked.
Matt.20.15 | Vájjon nem szabad nekem a magaméval azt tennem, amit akarok? Vagy a te szemed azért gonosz, mert én jó vagyok?
Matt.20.16 | Így lesznek az utolsók elsőkké és az elsők utolsókká. (A 16. vers végén egyes kéziratokban ott van a 22. rész 14. verse is.)
Matt.20.17 | És mikor Jézus Jeruzsálembe készült felmenni, csupán a tizenkét tanítványt vette magához, és útközben ezt mondta nekik:
Matt.20.18 | "íme, felmegyünk Jeruzsálembe és az Ember Fiát a papi fejedelmek és írástudók kezébe adják és halálra ítélik;"
Matt.20.19 | és kiszolgáltatják őt a pogányoknak, hogy megcsúfolják, megkorbácsolják és keresztre feszítsék, de harmadnapon feltámad.
Matt.20.20 | Ekkor odament hozzá Zebedeus fiainak anyja fiaival együtt és leborulva, kért tőle valamit.
Matt.20.21 | Ő pedig így szólt neki: Mit akarsz? Az így felelt neki: Mondd, hogy az én két fiam közül az egyik jobb, a másik bal kezed felől üljön a te országodban.
Matt.20.22 | Jézus pedig így felelt: Nem tudjátok, mit kértek. Megihatjátok-e azt a poharat, amelyet nekem meg kell innom? És megkeresztelkedhettek-é azzal a keresztséggel, amellyel én megkeresztelkedem? Azt mondták neki: Meg.
Matt.20.23 | Erre ő így szólt hozzájuk: Az én poharamat megisszátok ugyan, de az én jobb és bal kezem felől való ülést nem az én dolgom megadni, hanem azoké lesz az, akiknek az én Atyám elkészítette.
Matt.20.24 | Mikor ezt a többi tíz meghallotta, bosszankodtak a két testvérre.
Matt.20.25 | Jézus pedig előszólította őket, és ezt mondta: Tudjátok, hogy a fejedelmek uralkodnak népeiken és a nagyok hatalmaskodnak rajtuk.
Matt.20.26 | "De ne így legyen köztetek; hanem aki köztetek nagy akar lenni, szolgáljon nektek,"
Matt.20.27 | és aki köztetek első akar lenni, legyen a szolgátok.
Matt.20.28 | Aminthogy az Ember Fia sem azért jött, hogy neki szolgáljanak, hanem, hogy ő szolgáljon és adja az ő életét váltságul sokakért.
Matt.20.29 | És mikor Jerikóból távoztak, nagy sokaság követte őt.
Matt.20.30 | És íme két vak ült az út mellett. Mikor ezek hallották, hogy Jézus arra megy, így kiáltottak: Uram, Dávid fia, könyörülj rajtunk!
Matt.20.31 | A sokaság pedig rájuk támadt, hogy hallgassanak. De ők annál jobban kiáltották: Uram, Dávid fia, könyörülj rajtunk!
Matt.20.32 | És Jézus megállott, szólította őket és ezt mondta: Mit akartok, hogy cselekedjem veletek?
Matt.20.33 | Szóltak neki: Azt, Uram, hogy megnyíljék a szemünk.
Matt.20.34 | Jézus pedig megszánta őket, megérintette a szemüket, és nyomban visszanyerték látásukat és követték őt.

Matt.21.1 | És mikor közeledtek Jeruzsálemhez és Betfagéba, az Olajfák hegyéhez értek, akkor Jézus elküldött két tanítványt,
Matt.21.2 | és így szólt nekik: Menjetek be ebbe a faluba, amely előttetek van és mindjárt találtok egy megkötött szamarat és vele együtt a csikaját: oldjátok el és vezessétek ide hozzám.
Matt.21.3 | És ha valaki valamit szól nektek, mondjátok: Az Úrnak van szüksége rájuk és azonnal el fogja bocsátani őket.
Matt.21.4 | Mindez pedig azért történt, hogy beteljesedjék a próféta mondása, aki így szólt:
Matt.21.5 | Mondjátok meg Sión leányának: íme, a te királyod jön hozzád, alázatosan és szamáron ülve, és teherhordó szamár csikaján.
Matt.21.6 | "Ekkor a tanítványok elmentek és úgy cselekedtek, amint Jézus parancsolta nekik;"
Matt.21.7 | odavezették a szamarat és csikaját, majd rájuk terítették felsőruháikat és ő ráült azokra.
Matt.21.8 | A sokaság legnagyobb része pedig felsőruháit az útra terítette, mások meg a fákról gallyakat vagdaltak és az útra hintették.
Matt.21.9 | Az előtte és utána menő sokaság pedig ezt kiáltotta: Hozsánna a Dávid fiának! Áldott, aki jön az Úrnak nevében! Hozsánna a magasságban!
Matt.21.10 | És mikor bement Jeruzsálembe, az egész város megmozdult és ezt mondta: Kicsoda ez?
Matt.21.11 | A sokaság pedig így szólt: Ez Jézus, a galileai Názáretből való próféta.
Matt.21.12 | Mikor Jézus bement az Isten templomába, kiűzte mindazokat, akik a templomban adtak-vettek és a pénzváltók asztalait és a galambárusok székeit felforgatta.
Matt.21.13 | És szólt nekik: Meg van írva: Az én házamat imádság házának nevezik, ti pedig rablók barlangjává teszitek.
Matt.21.14 | Azután vakok és sánták mentek hozzá a templomban és ő meggyógyította őket.
Matt.21.15 | Mikor pedig a papi fejedelmek és írástudók látták a csodákat, amelyeket cselekedett, és a gyermekeket, akik a templomban így kiáltottak: Hozsánna a Dávid fiának! haragra gerjedtek.
Matt.21.16 | És így szóltak neki: Hallod, mit mondanak ezek? Jézus pedig így felelt nekik: Hallom. Sohasem olvastátok: Kis gyermekek és csecsemők szája által szereztél dicsőítést?
Matt.21.17 | És otthagyta őket, kiment a városból Betániába és ott töltötte az éjtszakát.
Matt.21.18 | Korán reggel pedig a városba visszatérve, megéhezett.
Matt.21.19 | És mikor meglátott egy fügefát az út mellett, odament hozzá, de nem talált rajta semmit, csak levelet, ós így szólt annak: Gyümölcs rajtad ezután soha többé ne teremjen! És a fügefa azonnal elszáradt.
Matt.21.20 | Mikor ezt a tanítványok látták, elcsodálkoztak és ezt mondták: Hogyan száradt el a fügefa oly hirtelen?
Matt.21.21 | Jézus pedig így felelt nekik: Bizony mondom nektek: ha van hitetek és nem kételkedtek, nemcsak azt cselekszitek, ami a fügefán esett, hanem ha azt mondjátok ennek a hegynek: Kelj fel és vesd magadat a tengerbe, meglesz.
Matt.21.22 | És mindazt, amit imádságban kértek, meg is kapjátok, ha hisztek.
Matt.21.23 | És mikor bement a templomba és tanított, odamentek hozzá a papi fejedelmek és a nép vénei, és ezt mondták: Milyen hatalommal cselekszed ezeket! És ki adta neked ezt a hatalmat?
Matt.21.24 | Jézus pedig így felelt nekik: Én is kérdezek egy szót tőletek. Ha megfeleltek rá nekem, én is megmondom nektek, micsoda hatalommal cselekszem ezeket.
Matt.21.25 | János keresztsége honnan való volt? Mennyből-e, vagy emberektől' Azok pedig: tanakodtak magukban: Ha azt mondjuk: Mennyből, azt mondja nekünk: Miért nem hittetek hát neki?
Matt.21.26 | Ha pedig azt mondjuk: Emberektől, félünk a sokaságtól, mert Jánost mindnyájan prófétának tartják.
Matt.21.27 | És ezt feletek Jézusnak: Nem tudjuk. Szólt nekik ő is: Én sem mondom meg nektek, micsoda hatalommal cselekszem ezeket. Isten akaratának teljesítése. Példázat a két fiúról
Matt.21.28 | De mit szóltok ehhez? Egy embernek volt két fia. És odament az elsőhöz, és ezt mondta: Eredj, fiam, munkálkodjál ma a szőlőmben.
Matt.21.29 | Az pedig így felelt: Kern megyek. Be azután megbánta és elment.
Matt.21.30 | A másikhoz is odament és hasonlóképen szólott. Az pedig így felelt: Én elmegyek, uram. De nem ment el.
Matt.21.31 | E kettő közül melyik teljesítette az atya akaratát? így feleltek neki: Az első. Jézus azt mondta nekik: Bizony mondom néktek: a vámszedők és parázna nők megelőznek titeket az Isten országában.
Matt.21.32 | Mert eljött hozzátok János az igazság útján és nem hittetek neki, a vámszedők és parázna nők pedig hittek neki. Ti azonban, akik ezt láttátok, utóbb sem szálltatok magatokba, hogy hittetek volna neki.
Matt.21.33 | Halljatok másik példázatot! Volt egy gazda, aki szőlőt ültetett, kerítést húzott köréje, borsajtót ásott benne és őrtornyot épített. Azután bérbe adta a munkásoknak és elutazóit.
Matt.21.34 | Mikor pedig a szüret ideje elérkezett, elküldte szolgáit a munkásokhoz, hogy vegyék át az ő termését.
Matt.21.35 | De a munkások megragadták az ő szolgáit, az egyiket megverték, a másikat megölték, a harmadikat pedig megkövezték.
Matt.21.36 | Ekkor más szolgákat küldött, többet, mint először, de azokkal is úgy bántak.
Matt.21.37 | Utoljára pedig az édesfiát küldte el hozzájuk és ezt mondta: A fiamat meg fogják becsülni.
Matt.21.38 | Mikor azonban a munkások meglátták a fiút, így szóltak egymás között: Ez az örökös! Jertek, öljük meg hogy mienk legyen az ő öröksége -
Matt.21.39 | És megragadták őt, kivetették a szőlőből és megölték.
Matt.21.40 | Mikor tehát majd megjön a szőlő ura, mit cselekszik azokkal a munkásokkal1!
Matt.21.41 | Erre így válaszoltak neki: Azokat a gonoszokat gonoszul elveszti, a szőlőt pedig más munkásoknak adja bérbe, akik majd beszolgáltatják a termést a maga idején.
Matt.21.42 | Ekkor Jézus így szólt hozzájuk: Sohasem olvastátok az írásokban: A kő, amelyet az építők megvetettek, az lett a szegelet fejévé! Az Úrtól lett ez és csodálatos a mi szemünk előtt!
Matt.21.43 | Azért azt mondom nektek, hogy elvétetik tőletek az Isten országa és olyan népnek adatik, amely megtermi annak gyümölcsét.
Matt.21.44 | "És aki e kőre esik, szétzúzódik; akire pedig ez esik rá, összetöri azt."
Matt.21.45 | És mikor a papi fejedelmek és farizeusok hallották az ő példázatait, megértették, hogy róluk beszél.
Matt.21.46 | És bár szerették volna őt elfogni, féltek a sokaságtól, mert prófétának tartották őt.

Matt.22.1 | És Jézus ismét példázatokban beszélt nekik:
Matt.22.2 | Hasonló a mennyek országa a királyhoz, aki az ő fiának menyegzőt tartott.
Matt.22.3 | És elküldte szolgáit, hogy meghívják a menyegzőre a hivatalosakat, de azok nem akartak eljönni.
Matt.22.4 | Ismét küldött más szolgákat e szavakkal: Mondjátok meg a meghívottaknak: Íme, ebédemet elkészítettem, ökreimet és hízott állataimat levágattam és minden készen van. Jöjjetek a menyegzőre!
Matt.22.5 | De ők ezzel mit sem törődve, eltávoztak, az egyik a szántóföldjére, a másik a kereskedésébe.
Matt.22.6 | A többiek pedig megragadták a szolgákat, bántalmazták és megölték őket.
Matt.22.7 | Mikor a király ezt meghallotta, haragra gerjedt, elküldte hadait és kiirttatta azokat a gyilkosokat és városukat felégettette
Matt.22.8 | Akkor így szólt az ő szolgáinak: A menyegző ugyan kész, de a meghívottak nem voltak rá méltók.
Matt.22.9 | Menjetek hát ki a keresztutakra és akivel csak találkoztok, hívjátok be a menyegzőre.
Matt.22.10 | Ekkor a szolgák kimentek az utakra és akivel csak találkoztak, gonoszokat és jókat egyaránt begyűjtöttek, úgyhogy a lakodalmas ház megtelt vendégekkel.
Matt.22.11 | Mikor azután a király bement, hogy megtekintse a vendégeket, látott ott egy embert, akinek nem volt menyegzői ruhája.
Matt.22.12 | És így szólt neki: Barátom, hogyan kerültél ide, hiszen nincs menyegzői ruhád? Az pedig hallgatott.
Matt.22.13 | Akkor a király így szólt az ő szolgáihoz: Kötözzétek meg kezét-lábát és vessétek a külső sötétségre: ott lesz sírás és fogcsikorgatás.
Matt.22.14 | Mert sokan vannak a hivatalosak, de kevesen a választottak.
Matt.22.15 | Ekkor a farizeusok eltávoztak és tanácsot tartottak, hogy megfogják beszédében.
Matt.22.16 | És elküldték hozzá tanítványaikat a Heródes-pártiakkal együtt, akik ezt mondták: Mester, tudjuk, hogy igaz vagy és az Isten útját igazán tanítod és nem törődöl senkivel, mert nem nézed az emberek személyét.
Matt.22.17 | Mondd meg tehát nekünk, mit gondolsz: Szabad-e a császárnak adót fizetni, vagy nem?
Matt.22.18 | Jézus pedig ismerte az ő gonoszságukat, és azt mondta: Miért kísértetek engem, ti képmutatók?
Matt.22.19 | Mutassátok meg nekem az adópénzt. Azok pedig átnyújtottak neki egy dénárt.
Matt.22.20 | S ő megkérdezte: Kinek a képe ez és kié a felírás?
Matt.22.21 | Azok azt mondták neki: A császáré. Ekkor azt mondta nekik: Adjátok meg tehát, ami a császáré, a császárnak és ami az Istené, az Istennek.
Matt.22.22 | Mikor ezt hallották, elcsodálkoztak, otthagyták őt, és eltávoztak.
Matt.22.23 | Aznap odamentek hozzá a szadduceusok, akik a feltámadást tagadják, és megkérdezték tőle:
Matt.22.24 | Mester, Mózes azt mondta: Ha valaki utódok nélkül hal meg, akkor a testvére vegye el az özvegyet és támasszon utódot az ő testvérének.
Matt.22.25 | "Volt pedig nálunk hét testvér; és az első, miután feleséget vett, meghalt és mivel nem volt gyermeke, feleségét a testvérére hagyta."
Matt.22.26 | Hasonlóképen a második is, a harmadik is, egészen a hetedikig.
Matt.22.27 | Valamennyiök után az asszony is meghalt.
Matt.22.28 | A feltámadáskor tehát a hét közül melyiké lesz az asszony, mert mindegyiké volt?
Matt.22.29 | Jézus pedig így felelt nekik: Tévelyegtek, mivel nem ismeritek sem az Írásokat, sem az Isten hatalmát.
Matt.22.30 | Mert a feltámadáskor sem nem házasodnak, sem férjhez nem mennek, hanem olyanok lesznek, mint az Isten angyalai a mennyben.
Matt.22.31 | A halottak feltámadása felől pedig nem olvastátok-e, amit az Isten mondott nektek, amikor így szólt:
Matt.22.32 | Én vagyok Ábrahám Istene, Izsák Istene és Jákob Istene? Az Isten nem a holtaknak, hanem az élőknek Istene.
Matt.22.33 | Mikor a sokaság hallotta ezt, csodálkozott az ő tanításán.
Matt.22.34 | Mikor pedig a farizeusok hallották, hogy a szaddueeusokat elnémította, összegyűltek ugyanoda.
Matt.22.35 | S közülük egy törvénytudó kísértve őt, megkérdezte tőle:
Matt.22.36 | Mester, melyik a nagy parancsolat a törvényben?
Matt.22.37 | Ő pedig így válaszolt: Szeresd a te Uradat, Istenedet teljes szívedből, teljes lelkedből és teljes elmédből.
Matt.22.38 | Ez az első és nagy parancsolat.
Matt.22.39 | A második pedig hasonló ehhez: Szeresd felebarátodat mint tenmagadat.
Matt.22.40 | E két parancsolattól függ az egész törvény és a próféták.
Matt.22.41 | Mikor pedig a farizeusok összegyűltek, megkérdezte tőlük Jézus:
Matt.22.42 | Mit gondoltok a Krisztus felől? Kinek a fia? így válaszoltak neki: Dávidé.
Matt.22.43 | ő azt mondta: Hogyan hívja hát őt Dávid a Lélek által Urának, mikor ezt mondja:
Matt.22.44 | Szólott az Úr az én Uramnak: Ülj az én jobbom felől, míg ellenségeidet lábad alá vetem?
Matt.22.45 | Ha tehát Dávid Úrnak hívja őt, mi módon fia neki?
Matt.22.46 | És senki sem tudott neki felelni egy szót sem. Nem is mert kérdezni tőle attól a naptól fogva senki semmit.

Matt.23.1 | Akkor így szólt Jézus a sokaságnak és az ő tanítványainak:
Matt.23.2 | Az írástudók és farizeusok Mózes székébe ültek.
Matt.23.3 | Azért amit parancsolnak nektek, mind azt megtartsátok és meg cselekedjétek, de az ő tetteik szerint ne cselekedjetek! Mert ők beszélnek, de nem cselekesznek.
Matt.23.4 | Nehéz és elhordozhatatlan terheket kötöznek egybe és raknak az emberek vállára, de ők maguk az ujjukkal sem akarják azokat megmozdítani.
Matt.23.5 | Minden dolgukat csak azért cselekszik, hogy lássák őket az emberek. Mert megszélesítik ima szíjaikat, ruháikon a bojtot megnagyobbítják,
Matt.23.6 | és szeretik lakomákon a főhelyet és a zsinagógákban az első üléseket,
Matt.23.7 | és a piacokon a köszöntéseket és ha az emberek így hívják őket: Mester!
Matt.23.8 | Ti azonban ne hívassátok magatokat mesternek, mert egy a ti Mesteretek, a Krisztus, ti pedig mindnyájan testvérek vagytok.
Matt.23.9 | Atyátoknak se hívjatok senkit a földön, mert egy a ti Atyátok: aki a mennyben van.
Matt.23.10 | Vezetőknek se hívassátok magatokat, mert egy a ti vezetőtök: a Krisztus.
Matt.23.11 | Hanem aki legnagyobb köz tétek, az legyen a ti szolgátok.
Matt.23.12 | Mert aki felmagasztalja magát, megaláztatik és aki megalázza magát, felmagasztaltatik.
Matt.23.13 | Jaj nektek, képmutató írástudók és farizeusok, mert bezárjátok a mennyek országát az emberek előtt. Mivel ti magatok nem mentek be, azokat sem bocsátjátok be, akik be akarnának menni.
Matt.23.14 | Jaj nektek, képmutató írástudók és farizeusok, mert felemésztitek az Özvegyek házát és színből hosszan imádkoztok: ezért annál súlyosabb lesz a ti büntetéstek.
Matt.23.15 | Jaj nektek, képmutató írástudók és farizeusok, mert bejárjátok a tengert és a szárazföldet, csakhogy egyetlen pogányt áttérítsetek és ha ez megtörtént, a gyehenna fiává teszitek őt kétszerte inkább magatoknál.
Matt.23.16 | Jaj nektek, vak vezérek, akik ezt mondjátok: Ha valaki a templomra esküszik, semmi az, de ha valaki a templom aranyára esküszik, azt köti az eskü.
Matt.23.17 | Bolondok és vakok, hát melyik nagyobb: az arany-e vagy a templom, amely az aranyat szentté teszi?
Matt.23.18 | És: ha valaki az oltárra esküszik, semmi az, de ha valaki a rajta levő ajándékra esküszik, azt köti az eskü.
Matt.23.19 | Bolondok és vakok, hát melyik nagyobb: az ajándék-e vagy az oltár, amely az ajándékot szentté teszi?
Matt.23.20 | Aki azért az oltárra esküszik, nemcsak arra esküszik, hanem mindarra is, ami rajta van.
Matt.23.21 | És aki a templomra esküszik, nemcsak arra esküszik, hanem arra is, aki benne lakik.
Matt.23.22 | És aki az égre esküszik, nemcsak az Isten királyi székére esküszik, hanem arra is, aki abban ül.
Matt.23.23 | Jaj nektek, képmutató írástudók és farizeusok, mert tizedet szedtek a mentából, a kaporból és a köményből, de mellőzitek azt, ami a törvényben a legfontosabb: az ítéletet, az irgalmasságot és a hűséget, pedig ezeket kellene cselekedni s azokat sem mellőzni.
Matt.23.24 | Vak vezetők, akik megszűritek a szúnyogot, de a tevét elnyelitek.
Matt.23.25 | Jaj nektek, képmutató írástudók és farizeusok, mert megtisztítjátok a pohár és a tál külsejét, belül pedig ínég vannak rakva rablott holmival és mértéktelenséggel.
Matt.23.26 | Vak farizeus, tisztítsd meg előbb a pohár és a tál belsejét, hogy azután tisztává legyen annak külseje is!
Matt.23.27 | Jaj nektek képmutató írástudók és farizeusok, mert hasonlók vagytok a meszelt sírokhoz, amelyek kívülről szépnek látszanak, de belül telve vannak halottak csontjaival és mindenféle tisztátalansággal.
Matt.23.28 | Éppen így ti is kívülről igazaknak látszotok az emberek előtt, de belül rakva vagytok képmutatással és törvénytelenséggel.
Matt.23.29 | Jaj nektek, képmutató írástudók és farizeusok, mivel a prófétáknak síremlékeket építetek és az igazak sírköveit feldíszítitek,
Matt.23.30 | és ezt mondjátok: Ha mi atyáink korában éltünk volna, nem lettünk volna velük részesek a próféták vérének kiontásában.
Matt.23.31 | így magatok ellen tesztek bizonyságot, hogy fiai vagytok a próféták gyilkosainak.
Matt.23.32 | Töltsétek be ti is atyáitok mértékét!
Matt.23.33 | Kígyók, mérgeskígyók fajzata, hogyan kerülitek ki a gyehenna büntetését?
Matt.23.34 | Azért íme én küldök hozzátok prófétákat, bölcseket és írástudókat és azok közül némelyeket megöltök és megfeszítetek, másokat megkorbácsoltok a zsinagógáitokban és városról-városra üldöztök,
Matt.23.35 | hogy rátok szálljon minden igaz vér, amelyet a földön kiontottak, az igaz Ábel vérétől Zakariásnak, Barakiás fiának véréig, akit a templom és az oltár között öltetek meg.
Matt.23.36 | Bizony mondom nektek, hogy mindez elkövetkezik erre a nemzedékre.
Matt.23.37 | Jeruzsálem, Jeruzsálem, ki megölöd a prófétákat és megkövezed azokat, akik hozzád küldettek, hányszor akartam összegyűjteni fiaidat, mint a tyúk szárnya alá gyűjti fiókáit és ti nem akartátok!
Matt.23.38 | íme pusztán hagyatik nektek a ti házatok.
Matt.23.39 | Mert mondom nektek: mostantól fogva nem láttok engem mindaddig, amíg így nem szóltok: Áldott, aki jön az Úrnak nevében!

Matt.24.1 | Akkor Jézus a templomból kijött és továbbment. És odamentek hozzá tanítványai, hogy megmutassák neki a templom épületeit.
Matt.24.2 | Jézus pedig így szólt nekik: Nem látjátok-e mindezt? Bizony mondom nektek: nem marad itt kőkövön, amelyet szét ne hánynának.
Matt.24.3 | Mikor pedig az Olajfák hegyén ült, odamentek hozzá a tanítványai külön és ezt mondták: Mondd meg nekünk, mikor lesz meg mindez és mi a jele a te eljövetelednek és a világ végének?
Matt.24.4 | Jézus pedig ezt felelte nekik: Vigyázzatok, hogy senki meg ne tévesszen titeket!
Matt.24.5 | Mert sokan jönnek majd az én nevemben, akik ezt mondják: Én vagyok a Krisztus! és sokakat elhitetnek.
Matt.24.6 | Hal lótok majd háborúkról és háborúk híreiről. Vigyázzatok, hogy meg ne rémüljetek, mert mind ennek meg kell lennie. De ez még nem a vég.
Matt.24.7 | "Mert nemzet támad nemzet ellen és ország ország ellen; és lesz éhség, döghalál és földrengés helyenként. (A 7. versben gondolatjel közé tett szó a legrégibb kézira tokban nincs meg.)"
Matt.24.8 | De mindez a kínoknak csak kezdete.
Matt.24.9 | Akkor majd nyomorgatásra adnak titeket és megölnek titeket és gyűlöletesek lesztek minden nép előtt az én nevemért.
Matt.24.10 | És akkor sokan megbotránkoznak és elárulják és meggyűlölik egymást.
Matt.24.11 | És sok hamis próféta támad, akik sokakat megtévesztenek.
Matt.24.12 | És mivel a gonoszság megsokasodik, a szeretet sokakban meghidegül.
Matt.24.13 | De aki mindvégig állhatatos, az megtartatik.
Matt.24.14 | Ezt az Isten országáról szóló evangéliomot pedig hirdetni fogják az egész világon, bizonyságul minden népnek. És akkor jön el a vég.
Matt.24.15 | Mikor azért látjátok majd, hogy a pusztító utálatosság, amelyről Dániel próféta szólott, ott áll a szenthelyen, aki olvassa, értse meg!
Matt.24.16 | akkor, akik Júdeában vannak, meneküljenek a hegyekbe.
Matt.24.17 | Aki a háztetőn van, ne szálljon le, hogy a házból valamit kivigyen,
Matt.24.18 | és aki a mezőn van, ne térjen vissza, hogy ruháját elvigye.
Matt.24.19 | Jaj pedig a terhes és szoptatós asszonyoknak azokban a napokban!
Matt.24.20 | Imádkozzatok pedig, hogy menekülésiek ne télen legyen, se szombatnapon.
Matt.24.21 | Mert akkor nagy nyomorúság lesz, amilyen nem volt a világ kezdete óta mindez ideig és nem is lesz soha.
Matt.24.22 | "És ha azok a napok meg nem rövidíttetnének, senki sem menekülne meg; de a választottakért megrövidíttetnek majd azok a napok."
Matt.24.23 | Ha valaki akkor azt mondja nektek: Íme itt a Krisztus! vagy: Amott! ne higgyétek.
Matt.24.24 | Mert hamis krisztusok és hamis próféták támadnak és nagy jeleket és csodákat tesznek úgy, hogy ha lehet, még a választottakat is elhitessék.
Matt.24.25 | Íme előre megmondtam nektek!
Matt.24.26 | "Ha azért majd azt mondják nektek: Íme a pusztában van, ne menjetek ki; íme a belső szobákban, ne higgyétek!"
Matt.24.27 | Mert amint a villámlás keletről támad és ellátszik egészen nyugatig, úgy lesz az Ember Fiának eljövetele is.
Matt.24.28 | Ahol a dög van, odagyűlnek a saskeselyűk.
Matt.24.29 | "Mindjárt pedig ama napok nyomorúságai után a nap elsötétedik és a hold nem fénylik; a csillagok az égről lehullanak és az egek erősségei megrendülnek."
Matt.24.30 | És akkor megjelenik az Ember Fiának jele az égen. Akkor majd jajgat a föld minden nemzetsége és meglátják az Ember Fiát eljönni az ég felhőiben hatalommal és nagy dicsőséggel.
Matt.24.31 | És kiküldi az ő angyalait nagy trombitaszóval, ezek pedig összegyűjtik az ő választottait a négy világtáj felől, az ég egyik sarkától az ég másik sarkáig.
Matt.24.32 | A fügefáról vegyétek a példát. Mikor az ága zsendül és levelet hajt, tudjátok, hogy közel van a nyár.
Matt.24.33 | így ti is, mikor mindezt látjátok, vegyétek tudomásul, hogy közel van ő: az ajtó előtt.
Matt.24.34 | Bizony mondom nektek: nem múlik el ez a nemzedék addig, amíg mindez meg nem történik.
Matt.24.35 | Az ég és föld elmúlnak, de az én beszédeim semmi képen el nem múlnak.
Matt.24.36 | Arról a napról és óráról pedig senki sem tud, az ég angyalai sem, hanem csak az én Atyám egyedül.
Matt.24.37 | És amint Nóé napjaiban volt, úgy lesz az Ember Fiának eljövetele is.
Matt.24.38 | Mert mint az özönvíz előtt való napokban ettek, ittak, házasodtak és férjhez mentek egészen ama napig, amelyen Nóé bement a bárkába,
Matt.24.39 | és semmit sem sejtettek, míg el nem jött az Özönvíz és mindnyájukat el nem ragadta, úgy lesz az Ember Fiának eljövetele is.
Matt.24.40 | Akkor, ha ketten lesznek a mezőn, az egyik felvétetik, a másik otthagyatik.
Matt.24.41 | Két asszony őröl a malomban: az egyik felvétetik, a másik otthagyatik.
Matt.24.42 | Vigyázzatok azért, inert nem tudjátok, mely órában jön el a ti Uratok.
Matt.24.43 | Azt pedig jegyezzétek meg: ha tudná a ház ura, hogy a tolvaj az éjtszakának melyik szakaszában jön el, vigyázna és nem engedné, hogy házába törjön.
Matt.24.44 | Azért legyetek készen ti is: mert amely órában nem gondoljátok, akkor jön el az Ember Fia.
Matt.24.45 | Ki tehát a hű és bölcs szolga, akit az ő ura az ő házanépe fölé állít, hogy idejében eledelt adjon azoknak?
Matt.24.46 | Boldog az a szolga, akit az ő ura, mikor hazajön, ilyen munkában talál!
Matt.24.47 | Bizony mondom nektek, hogy minden vagyona fölé gondviselővé rendeli.
Matt.24.48 | De ha az a hitvány szolga így szólna az ő szívében: Halogatja az ón uram a hazajövetelt,
Matt.24.49 | és verni kezdené szolgatársait, a részegesekkel pedig együtt ennék és innék:
Matt.24.50 | megjön annak a szolgának ura, amely napon nem várja és amely órában nem is sejti,
Matt.24.51 | és kettévágatja és a képmutatók sorsára juttatja: ott lesz sírás és fogcsikorgatás.

