Acts.1.1 | Az első könyvemet irtam Theófile, mind azokról a mellyeket Jézus kezdett cselekedni és tanitani,
Acts.16.6 | Eljárván pedig Frigyiának és Galatziának tartományát, megtiltatának a Szent Lélektől, hogy az Istennek igéjét ne hirdetnék Ázsiában.
Acts.16.7 | Mikor azért mentek volna Misiába, igyekeznek vala menni Bithiniába; de az Isten Lelke nem bocsátá őket oda.
Acts.16.8 | Elhagyván pedig Misiát, menének Troás tartományába.
Acts.16.9 | És éjszaka valami látás jelenék Pálnak: Egy Maczedóniabeli férjfiú álla meg ő előtte, s néki könyörögvén ezt mondja vala: Jere által Maczedóniába, és légy segitségül nékünk.
Acts.16.10 | Mihelyt pedig e látást látta volna: azonnal igyekezénk Maczedóniába menni; mivelhogy bizonyosképen értenénk, hogy az Úr hivna minket, hogy azoknak prédikálnák az Evangyéliomot.
Acts.16.11 | Elmenvén azért Troásból egyenesen Sámothrácziára tartánk és másodnapon Néápolisba.
Acts.16.12 | És onnét Filippibe, melly Maczedónia tartományának első és fő városa, mellynek lakosai jövevények valának: lakánk pedig abban a városban egynéhány napig.
Acts.16.13 | És Szombatnapon, kimenénk a városból a folyóviz mellé, hol szoktak vala imádkozások lenni, hol mikor leültünk volna, szólánk az asszonyoknak, a kik oda gyültek vala.
Acts.16.14 | Egy asszony pedig, kinek Lidia vala neve, ki Thiatirának városában bársonyáros vala, istenfélő, a mi tanitásunkat hallgatá, kinek az Úr megnyitá szivét, hogy figyelmezne azokra, a mellyeket Pál mond vala.
Acts.16.15 | Mikor pedig megkeresztelkedett volna mind háznépével egybe, kére minket, mondván: Ha engem itéltetek az Úr hivei közzűl valónak lenni, jertek az én házamhoz, maradjatok ott. És kénszerite minket.
Acts.16.16 | Lőn pedig hogy mikor mennénk az imádkozásnak helyére, egy szolgálóleányka előnkbe jőne, mellyben vala jövendőmondásnak gonosz lelke, melly az ő Urainak nagy hasznot ád vala jövendőmondásával.
Acts.16.17 | Ez Pált követvén és minket, kiált vala, mondván: Ez emberek ama nagy Istennek szolgái, kik néktek az idvességnek útát hirdetik.
Acts.16.18 | Ezt pedig sok napon mivelte, de Pál mivelhogy azt bánja vala, hátra fordulván, monda a léleknek: A Jézus Krisztusnak neve által parancsolom néked, hogy menj ki e leányzóból. Kiméne azért azon szempillantásban.
Acts.16.19 | Látván pedig a leányzónak Urai, hogy az előbbi kereskedésnek reménysége elveszett volna tőlök, megfogván Pált és Silást, vonák őket a piaczra, a Fejedelmek eleikbe.
Acts.16.20 | És bémutatván őket a Biráknak, mondának: Ez emberek Zsidók lévén, háborúságot szereznek a mi városunkban.
Acts.16.21 | És olly czeremóniákat hirdetnek, mellyeket nem szabad nékünk bévennünk, sem azokkal élnünk, mivelhogy Rómaiak vagyunk.
Acts.16.22 | Egyetemben pedig feltámada a sokaság ő ellenek, és a Birák az ő ruháikat megszaggatván, parancsolák, hogy azok vesszővel veretnének meg.
Acts.16.23 | És mikor sok ütéseket tettek volnla rajtok, a tömlöczbe vették őket, parancsolván a tömlöcztartónak, hogy szorgalmatosan megőrizné őket.
Acts.16.24 | Ki mikor a parancsolatot hallotta volna, veté őket a belső tömlöczbe, és az ő lábaikat kalodába veré.
Acts.16.25 | Éfjélkor pedig imádkozván Pál és Silás, énekelnek vala isteni dicséreteket; és a kik ott foglyok valának, hallgatják vala őket.
Acts.16.26 | Nagy hirtelenséggel pedig nagy földindulás lőn, ugyannyira, hogy a tömlöcznek fundamentomai megrendülének, és azonnal megnyilatozának minden ajtók és minden foglyoknak kötözéseik eloldatának.
Acts.16.27 | És felserkenvéna tömlöcztartó, mikor látná, hogy a tömlöcznek ajtai nyitva vagynak, fegyverét kivonván, akarja vala magát megölni, azt állitván, hogy a foglyok elszaladtak volna.
Acts.16.28 | Kiálta azért Pál felszóval, mondván: Ne veszesd el magadat, mert mindnyájan itt vagyunk.
Acts.16.29 | Az pedig világot kérvén, béméne, és rettegve esék Pálhoz és Siláshoz.
Acts.16.30 | És kihozván őket monda: Édes Uraim! mit kell nékem cselekednem hogy idvezüljek?
Acts.16.31 | Azok pedig mondának: Hidj az Úr Jézus Krisztusba, és idvezülsz mind te, mind pedig házadnépe.
Acts.16.32 | És hirdeték néki az Úrnak beszédét, és mind azoknak, a kik az ő házánál valának.
Acts.16.33 | Ő pedig az éjszakának azon órájában, vévén azokat, megmosá az ő sebeiket; és azonnal megkeresztelkedék ő minden háznépével egybe.
Acts.16.34 | És mikor házához vitte volna őtet, asztalt terite nékik és igen örvendeze, hogy minden háznépével egybe hitt volna az Istennek.
Acts.16.35 | És mikor megviradott volna, a Birák elküldék a szolgákat, kik ezt mondanák: Bocsásd el azokat az embereket.
Acts.16.36 | Tudtára adá pedig a dolgot a tömlöcztartó Pálnak: A Tiszttartók küldöttek ide, hogy elbocsássalak titeket, azért kimenvén menjetek el békességgel.
Acts.16.37 | Pál pedig monda nékik: Minket megvesszőzvén közönséges helyen minden ok nélkűl, holott mi Rómaiak legyünk, a tömlöczbe vetettek, és most immár titkon akarnak kiküldeni? azt bizony nem miveljük, hanem jöjjenek ide, és ők vigyenek ki minket.
Acts.16.38 | Megmondák a Biráknak a szolgák e beszédeket és megfélemlének, mikor hallották volna hogy Rómaiak volnának.
Acts.16.39 | És oda menvén, kérék őket, hogy kijőnének a tömlöczből, és kihozván őket, kérék hogy kimennének a városból.
Acts.16.40 | Kimenvén azért a tömlöczből, bémenének Lidiához; és mikor látták volna az Atyafiakat, vigasztalák őket, és kimenének a városból.

Acts.17.1 | Mikor pedig általmentek volna Amfipólisón és Apollónián, mennének Thessalónikába, hol a Zsidóknak zsinagógájok vala.
Acts.17.2 | Pál pedig, a mint néki szokása vala, béméne ő hozzájok, és három Szombaton vetekedék velek az Irásokból.
Acts.17.3 | Megmagyarázván és mutatván, hogy a Krisztusnak szükség volna szenvedni és feltámadni a halálból, és hogy e Jézus volna ama Krisztus, a kit ugymond, én hirdetek néktek.
Acts.17.4 | Némellyek azért azok közzűl engedének, és adák magokat Pálhoz és Siláshoz, és egyetembe istenfélő Görögöknek nagy sokaságok, és sok főasszonyok.
Acts.17.5 | De irigységtől felindittatván a Zsidók, kik nem hittek vala, és valami piaczon henyélő latrokat melléjek vévén, és sokan megseregelvén, felháboriták a várost, és a Jáson házát megostromolván, akarják vala őket kihozni a község közzé.
Acts.17.6 | És mikor őket nem találták volna, vonák Jásont és valami atyafiakat a városnak Fejedelmei eleikbe, ezt kiáltván: Ezek azok, kik a világnak állapotját felforditották, és most imhol vagynak!
Acts.17.7 | Kiket Jáson házába béfogadott, kik mindnyájan a Császár parancsolati ellen cselekesznek, mivelhogy más Királyt mondának lenni, a Jézust.
Acts.17.8 | Felinditák pedig a sokaságot, és a város Fejedelmit azok, a kik ezekeet hallák.
Acts.17.9 | Kik mindahzáltal, mikor hallották volna Jásonnak és a többinek magok mentését, elbocsáták őket.
Acts.17.10 | Az Atyafiak pedig azonnal éjszakán kibocsáták Pál Silással egyetembe Bérea városba; kik mikor oda mentek volna, bémenének a Zsidóknak zsinagógájokba.
Acts.17.11 | Ezek pedig nemesb elméjüek valának a Thessalónikabeli Zsidóknál, ugymint kik nagy serénységgel bévevék az Isten beszédét, minden napon az Irásokból tudakozván, ha ezek ugy volnának-é?
Acts.17.12 | Sokan hivének azért ő közzűlök, annakfellette tisztességbeli Görök asszonyok is, és férjfiak sokan.
Acts.17.13 | Mikor tudtokra esett volna azért Thessalónikabeli Zsidóknak, hogy Béréában is prédikálta volna Pál az Istennek beszédét, oda is elmenének és a községet felháboriták.
Acts.17.14 | De akkor mindjárt kibocsáták az Atyafiak Pált ugy, mintha a tengerre menne, Silás pedig és Timótheus ott maradának.
Acts.17.15 | A kik pedig Pálnak gondját felvették vala, hogy bátorságos helyre vinnék, elvivék őtet szinte Athenébe, és mikor parancsolt volna Silásnak és Timótheusnak, hogy minél hamarább lehetne ő hozzá mennének, elmenének.
Acts.17.16 | Pál pedig mikor Ahtenében azokat várná, az ő lelke háborog vala ő benne, mivelhogy látná, hogy a város a bálványokhoz ragaszkodott volna.
Acts.17.17 | Vetekedik vala azért a zsinagógában a Zsidókkal, és az istenfélő emberekkel, és a piaczon is minden napon mindenekkel, a kiket elő talált.
Acts.17.18 | Némellyek pedig az Epikureus és Stóikus Filozófusok közzűl vetekednek vala ő vele; és azok közzűl némellyek ezt mondják vala: Mit akar mondani e csácsogó ember? Némellyek pedig mondának: Idegen Istennek hirdetőjének láttatik lenni: mivelhogy a Jézust és a feltámadást hirdeti vala nékik.
Acts.17.19 | És megragadván őtet, vivék az Áreopágusra, ezt mondván: Valjon megérthetjük-é micsoda legyen az uj tudomány, mellyet te hirdetsz?
Acts.17.20 | Mert idegen dolgokat beszélesz a mi füleinknek: meg akarjuk azért érteni, micsoda tudomány ez?
Acts.17.21 | (Az Athénébeliek pedig mindnyájan és a jövevények, kik ott laknak vala, egyéb dologban nem valának foglalatosok, hanem csak ujságnak beszélésében és hallgatásában.)
Acts.17.22 | Előállván pedig Pál az Áreopágusnak közepette, monda: Athénébeli férjfiak, bizonnyal látom, hogy ti egyebeknél mintegy szorgalmatosabbak vagytok az isteni tiszteletekben;
Acts.17.23 | Mert mikor elkerülném, és szemlélném a ti isteni tiszteleteteket, találkozám egy oltárra is, mellyre ezt irták vala: Az esméretlen Istennek. A kit azért ti nem tudván tiszteltek, azt hirdetem én néktek.
Acts.17.24 | Az Isten, a ki teremtette e világot és mindeneket, a mellyek e világban vagynak, mivelhogy mennynek földnek Ura, kézzel csinált templomokban nem lakik.
Acts.17.25 | Embereknek kezeiktől is nem tiszteltetik, mintha valami nélkűl szükölködnék, holott ő ád mindeneknek életet, lehelletet, és mindeneket.
Acts.17.26 | És az egész emberi nemztséget egy vérből teremtette, hogy lakoznának e földnek egész szinén, elrendelvén az időknek alkalmatosságit, és az ő lakásokat meghatározván.
Acts.17.27 | Hogy az Istent megkeresnék, ha valami módon megtapasztalván őtet megtalálhatnák: jóllehet bizony nem messze vagyon mindenikünktől;
Acts.17.28 | Mert ő általa élünk, mozgunk és vagyunk; miképen a ti bölcs Poétáitok közzűl is mondották némellyek: mert az Istennek nemzetei is vagyunk.
Acts.17.29 | Mivelhogy azért Istennek nemzetei vagyunk, nem kell azt állitanunk, hogy aranyhoz, ezüsthöz, vagy kőhöz, mesterséges faragáshoz, vagy emberi találmányhoz az Isten hasonlatos volna.
Acts.17.30 | E tudatlanságnak idejét azét elhallgatván az Isten, mostan minden embereknek mindenütt hirdeti hogy megtérjenek.
Acts.17.31 | Mivelhogy rendelt egy napot, mellyen igazán megitli e földnek kerekségét a Férjfiu által, kit arra rendelt, melly dologra nyilvánvaló bizonyságot tett mindeneknek, annak halálból való feltámasztásával.
Acts.17.32 | Mikor pedig hallották volna a halottaknak feltámadásokat, némellyek patvarkodnak vala, némellyek pedig ezt mondják vala: Ezután ismét akarunk e felől tőled érteni.
Acts.17.33 | És illyen módon Pál azok közzűl kiméne.
Acts.17.34 | Némellyek pedig mellé adván magokat, hivének, kik között vala Áreopágita Dienes, és egy Damaris nevü asshzony, és egyebek ő velek.

Acts.18.1 | Ezekután Pál Athénéből kimenvén, méne Korinthusba.
Acts.18.2 | És mikor egy Akvila nevü Zsidóra, és annak feleségére Priszczillára találkozott volna, melly Akvila Pontusból való nemzet vala, és nem régen jött vala Olaszországból, (mivelhogy Klaudius megparancsolta vala, hogy a Zsidók mind kimennének Rómából) méne ahzokhoz.
Acts.18.3 | És mivelhogy azonféle mives vala, azoknál marada és munkálódik vala, azoknak pedig mesterségek vala sátorcsinálás.
Acts.18.4 | Vetekedék vala pedig minden Szombatokon a zsinagógában, és mind a Zsidókat, mind a Görögöket hatható beszédekkel inti vala.
Acts.18.5 | Mikor pedig elérkeztek volna Maczedóniából Silás és Timótheus, gerjedez vala Pál lélekben, bizonyságot tévén a Zsidóknak a Krisztus Jézusról.
Acts.18.6 | Azok pedig mikor ezeknek ellene mondának és káromlásokat szólnának, az ő ruháit megrázván, monda nékik: A ti véretek legyen a ti fejeteken; én tiszta vagyok, és a naptól fogva a pogányok közzé megyek.
Acts.18.7 | És elmenvén onnét, béméne egy embernek házába, kinek neve Justus vala, ki istenfélő vala, kinek háza a zsinagóga mellett vala.
Acts.18.8 | Krispus pedig a zsinagógának Fejedelme az Úrban hive egész háznépével egybe, a Korinthusbeliek közzűl is sokan hallván hisznek vala, és megkeresztelkednek vala.
Acts.18.9 | Monda pedig az Úr éjszakai látásban Péternek: Ne félj, hanem szólj, és ne hallgass:
Acts.18.10 | Mert én veled vagyok, és senki nem támad reád, hogy néked ártson: mert nékem sok népem vagyon e városban.
Acts.18.11 | Lakék azért ott esztendig és hat hónapig, tanitván őket az Isten beszédére.
Acts.18.12 | Mikor pedig Akhája tartományának Tiszttartója volna Gallió, támadának a Zsidók egyenlő akaratból Pálra, és vivék őtet a törvényszék eleibe.
Acts.18.13 | Mondván: Ez a törvény ellen való istenitiszteletekre tanitja az embereket.
Acts.18.14 | Pál pedig mikor szinte szólani akarna, monda Gallió a Zsidóknak; Ha valami bosszutételről vagy valami gonoszságról volna a panasz, Zsidók, az igazság szerint meghallgatnálak.
Acts.18.15 | Ha pedig a kérdés vagyon valami beszédről, nevekről, vagy a ti törvénytekről, ti lássátok meg; mert én az ollyan dolgokban biró nem akarok lenni.
Acts.18.16 | És elüzé őket a törvényszék elől.
Acts.18.17 | A Görögök pedig mindnyájan Sosthénest a zsinagógának Fejedelmét megragadván, verik vala a törvényszék előtt! de Gallió azzal semmit nem gondol vala.
Acts.18.18 | Pál pedig mikor még azután is sok napig ott lett volna, az Atyafiaktól elbucsuzván, Siriába eveze, Akvilával és Prisczillával egybe, minekutánna fejét megnyirte volna Kenkhris városban; mivelhogy fogadása vala.
Acts.18.19 | Juta pedig Efézusba és azokat ott hagyá; ő pedig bémenvén a zsinagógába, a Zsidókkal vetekedék.
Acts.18.20 | És mikor kérnék hogy több ideig maradna nálok, nem akara maradni.
Acts.18.21 | Hanem bucsut vőn tőlök, mondván: Mindenestől fogva Jérusálemben kell nékem lennem az Innepen, melly előttünk vagyon; de ismét megjövök hozzátok, ha Isten akarja. És elméne Efézusból.
Acts.18.22 | És mikor Czézáreába ment volna, és Jérusálembe felment volna s köszöntötte volna a Gyülekezetet, méne Antiókhiába.
Acts.18.23 | És mikor ott valami kevés időt elmulatott volna, elméne és eljára Galatziának és Frigyiának tartományát, minden tanitványokat erősitvén.
Acts.18.24 | Egy Zsidó pedig, kinek neve Apollós vala, Alexandriai nemzet, ékesen szóló férjfiú, jöve Efézusba, ki az Irásokban tudós vala.
Acts.18.25 | És az Úrnak útára tanittatott vala, és az ő lelkében buzgó lévén, szólja, és tanitja vala nagy szorgalmatosan az Úrnak tudományát, ki csak a János Keresztségét utdja vala.
Acts.18.26 | És kezde nagy bátorsággal szólni a zsinagógában, kinek tanitását mikor hallotta volna Akvilla és Prisczilla, melléjek vevék őtet és nyilvábban megtaniták őtet az Istennek útára.
Acts.18.27 | És mikor Akhájába akarna menni, intvén őtet az Atyafiak, irának a tanitványoknak hogy őtet béfogadnák; ki mikor oda jutott volna, sokat használa azoknak, kik hittek vala az Isten kegyelméből.
Acts.18.28 | Mert nagy buzgósággal jobban-jobban meggyőzi vala a Zsidókat közönséges helyen, megbizonyitván az Irásokból, hogy a Jézus volna ama Krisztus.

Acts.19.1 | Lőn pedig azonközbe mikor Apollós Korinthusban volna, hogy Pál a felső tartományokat eljárván érkeznék Efézusba, hol mikor valami tanitványokra találkozott volna.
Acts.19.2 | Monda nékik: Vettetek-é Szent Lelket, minekutánna hittetek? Azok pedig mondának néki: Sőt inkább azt sem hallottuk hogyha vagyon-é Szent Lélek?
Acts.19.3 | Akkor monda nékik: Mire keresztelkedtetek tehát? És azok mondának: A János keresztségére.
Acts.19.4 | Monda pedig Pál: János keresztelt megtérésnek keresztségével, az embereket intvén arra, hogy abban hinnének, a ki ő utánna jövendő vala, tudniillik a Krisztus Jézusban.
Acts.19.5 | És a kik őtet hallák, megkeresztelkedének az Úr Jézusnak nevére.
Acts.19.6 | És mikor Pál reájok vetette volna kezeit, szálla a Szent Lélek ő reájok, és szólnak vala idegen nyelveken és prófétálnak vala.
Acts.19.7 | Valának pedig mindnyájan ezek a férjfiak mintegy tizenketten.
Acts.19.8 | Ő pedig bémenvén a zsinagógába, bátorsággal szól vala három hónapig prédikálván, és intvén azokat az Isten országára való dolgokra.
Acts.19.9 | Mikor pedig némellyek megkeményitenék magokat, és engedni nem akarnának, gonoszul szólván az Úrnak útáról a község előtt, azoktól eltávozván, a tanitványokat is elszakasztá azoktól, minden napon prédikálván egy Tirannusnak oskolájában.
Acts.19.10 | Ez pedig lőn két esztendeig: ugynannyira, hogy mindenek kik lakoznak vala Ázsiában, mind Zsidók, mind Görögök hallgatnák az Úr Jézusnak beszédét.
Acts.19.11 | Nagy dolgokat cselekeszik vala peig az Isten Pálnak kezei által.
Acts.19.12 | Annyira, hogy betegekhez is vinnék az ő testétől néki csak keszkenőjét, és korszovátját, és azok meggyólának az ő betegségekből, és a gonosz lelkek kimennének belőlök.
Acts.19.13 | Kezdették vala pedig a Zsidók közzűl valami lézengő ördögüzők az Úr Jézusnak neve által a gonosz lelkeket kiüzni azokból, a kikben volnának, ezt mondván: Kénszeritünk titeket a Jézus által, kit Pál prédikál.
Acts.19.14 | Valának pedig egy Skéva nevü Zsidónak, ki Papoknak Fejedelme vala, hét fijai, a kik ezt mivelik vala.
Acts.19.15 | Felelvén pedig a gonosz lélek, ezt mondja vala: A Jézust esmérem, Pált is tudom, ti pedig kicsodák vagytok?
Acts.19.16 | És reájok támada az ember, a kiben a gonosz lélek vala és azokat meggyőzvén, hatalmat vőn rajtok, annyira, hogy mezitelenen és sebben szaladnának ki a házból.
Acts.19.17 | És tudtokra lőn e dolog mindenknek, mind a Zsidóknak, mind a Görögöknek, kik Efézusban laknak vala és mindnyájan megfélemlének, és az Úr Jézusnak neve magasztaltatik vala.
Acts.19.18 | És sokan azok közzűl, a kik hittek vala, eljőnek vala és az ő cselekedeteikről vallást tésznek vala, megjelentvén azokat.
Acts.19.19 | Sokan pedig azok közzűl, a kik ördögi mesterséget gyakorlottak vala, az ő könyveiket előhozván, mindeneknek láttokra megégetik vala: melly könyveknek árokat megszámlálván, találák ötvenezer pénznek.
Acts.19.20 | E képen az Úrnak beszéde erősen nevekedik vala, és hatalmat vészen vala.
Acts.19.21 | Ezek után elvégezé Pál a Szent Lélek által, hogy Maczedóniát és Akháját eljárván, Jérusálembe menne, ezt mondván: Minekutánna Jérusálemben lejéndek, Rómát is meg kell nékem látnom.
Acts.19.22 | Elküldvén pedig Maczedóniába kettőt azok közzűl, kik néki szolgálnak vala, tudniillik Timótheust és Erástust, ő egy ideig marada Ázsiában.
Acts.19.23 | Támada pedig akkor az időben nagy háboruság az Úrnak útáért;
Acts.19.24 | Mert egy Demeter nevü ötvös, ki csinálván ezüstből a Diána temploma formájára kápolnácskákat, a mesterembereknek nagy nyereséget ád vala.
Acts.19.25 | Kiket egybegyüjtvén, hasonló mesteremberekkel egybe, monda nékik: Férjfiak, tudjátok hogy nékünk minden gazdagságunk e mesterségből vagyon!
Acts.19.26 | Látjátok pedig és halljátok, hogy ama Pál nem csak az Efézusbeli községet, hanem közel egész Azsiának sok népét eláltatván elforditotta, mivelhogy azt mondja, hogy nem Istenek azok, a mellyek kézzel csináltatnak.
Acts.19.27 | Félő dolog pedig, hogy nem csak ez a mi mesterségünk vesszen el, ha Páltól meghamisittatik, hanem a nagy istenasszonynak, Diánának temploma is semminek itéltessék, és az ő méltósága mindenestől elvesszen, kit az egész Ázsia és világ tisztel.
Acts.19.28 | Ezeket mikor hallották volna, haraggal megtelvén kiáltnak vala, mondván: Nagy az Efézusbeli Diána!
Acts.19.29 | És bételék az egész város háborusággal, és egyenlő akaratból a piaczra rohanának, és megfogák Gájust, és Aristákhust, kik Maczedóniából valók valának, és Pálnak útitársai.
Acts.19.30 | Pál pdig mikor a község közzé ki akarna menni, nem bocsáták őtet ki a tanitványok.
Acts.19.31 | Sőt az Ázsiabeli Főemberek közzűl is némellyek, kik Pálnak barátai valának, követeket küldvén ő hozzá, kérék hogy a piaczra ne menne.
Acts.19.32 | Azért ki egyet, ki mást mond vala: mert eszeveszett sokaság vala, és sokan nem tudják vala miért gyültek volna öszve.
Acts.19.33 | A sokaság közzűl pedig előállaták Alexándert, kit a Zsidók kénszeritnek vala előállani: Alexándert azért mikor kezével intett volna, hogy hallgatnának, akara szólani a községnek.
Acts.19.34 | Kit mikor megesmértek volna Zsidónak lenni, mindnyájan egyenő szóval mintegy két óráig kiálták: Nagy az Efézusbeli Diána!
Acts.19.35 | Akkor a város Iródeákja, mikor megcsendesitette volna a községet, monda: Efézusbeli férjfiak, kicsoda az emberek közzűl, a ki nem tudná, hogy Efézus város, a nagy Diána istenasszonynak, és a Jupitertől szállott képnek oltalmazója?
Acts.19.36 | Mivelhogy azért ezeknek senki ellene nem szólhat, szükség hogy megcsendesedjetek, és semmit ne cselekedjetek vakmerőképen.
Acts.19.37 | Mert az embereket ide hoztátok, kik nem szentségrontók, sem a ti istenasszonyotok ellen bosszubeszédet nem szóltak.
Acts.19.38 | Ha Demeternek és az ő hozzá tartozó mesterembereknek valakivel valami perek vagyon, törvény vagyon, és Birák vagynak, azok egymással pereljenek.
Acts.19.39 | Ha pedig egyéb dolgok felől való panasztok vagyon: a közönséges gyülésben láttassék meg.
Acts.19.40 | Mert félő hogy pártolkodásban ne vádoltassunk a mai napon való cselekedetekért, mivelhogy semmi dolog nincsen, a melly oka lehetne e mai támadásnak. És ezeket mikor mondotta volna, elbocsátá a sokaságot.

Acts.20.1 | Minekutánna pedig megszünt volna a háboruság, mikor előhivta volna Pál a tanitványokat, azokat megölelgetvén elindula, hogy menne Maczedóniába.
Acts.20.2 | Mikor pedig azokt a tartományokat eljárta volna, és azokat bő beszéddel intette volna, méne Görögországba.
Acts.20.3 | És ott mikor három hónapot mulatott volnla, mivelhogy Siriába való menésének a Zsidók lest hánytak volna, ugy végezé hogy Maczedónián térne vissza.
Acts.20.4 | Követi vala pedig őtet mind Ázsiáig a Bérea városbeli Sopáter: a Thessalónikabeliek közzűl pedig Aristárkhus, Sekundus, Derbe városbeli Gájus és Timótheus: Ázsiabeliek pedig, Tikhikus és Trófimus.
Acts.20.5 | Kik mikor elől elmentek volna, megvárásnak minket Tróásban.
Acts.20.6 | Mi pedig a Husvét innepe után Filippiből kievezénk: és menénk hozzájok Troásba öt nap alatt: hol hét napig lakánk.
Acts.20.7 | A hétnek pedig első napján a tanitványokat egybegyüjtvén a kenyérnek megszegésére Pál prédikál vala, mivelhogy másodnapon el akar vala, menni, és a tanitást megnyujtá szinte éjfélkorig.
Acts.20.8 | Valának pedig sok szövétnekek ott a felházban, a hol egybegyültek vala.
Acts.20.9 | És egy ifjú, kinek neve Eutikhus vala, ül vala az ablakban, kit mikor az álom igen megnyomott volna, mivelhogy Pál sok ideig prédikálna, az álom miatt eltántorodván, a harmadik rend házból aláesék, és halva vevék fel.
Acts.20.10 | Mikor pedig Pál aláment volna, reá borula, és azt hozzá ölelvén, monda: Ne háborogjatok, mert az ő lelke benne vagyon.
Acts.20.11 | Mikor annakokáért felment volna és a kenyeret megszegvén evett volna, sok ideig mind viradtáig szóla velek, és azután ugy indula el.
Acts.20.12 | Felhozák pedig az ifjat elevenen, és felette igen megörvendezének.
Acts.20.13 | Mi pedig a hajóra menvén menénk Assonba, hogy ott vennénk bé Pált; mert ugy végezte vala, hogy addig gyalog jőne.
Acts.20.14 | Mikor pedig Assonba hozzánk jött volna, őtet a hajóba bévévén menénk Mitiléne városába.
Acts.20.15 | És mikor onnét eleveztünk volna, másodnapon jutánk Khius szigete ellenébe, másnap peig jutánk Sámus szigetbe, és mikor Trogiliumban mulattunk volna, másodnap menénk Milétumba.
Acts.20.16 | Mert elvégezte vala Pál magában, hogy Efézus mellől elmenne, hogy ne kellenék néki időt mulatni Ázsiában: mert siet vala, hogy ha lehetne Pünköst napjára Jérusálemben lenne.
Acts.20.17 | Követeket külvén azért Milétumból Efézusba, a Gyülekezetnek Véneit oda hivatá.
Acts.20.18 | Kik mikor hozzá mentek volna, monda nékik: Ti tudjátok, az első naptól fogva, mellyben Ázsiába jöttem, mint viseltem magamat ti köztetek abban az egész időben.
Acts.20.19 | Mert szolgáltam az Úrnak nagy alázatossággal, sok könyhullatással és kisértetekkel, mellyek én rajtam estek a Zsidóknak utánnam való leselkedések miatt.
Acts.20.20 | És semmi előtt nem vonogattam magamat, a mi néktek hasznotokra való volt, hogy azokat néktek ne hirdetném, és hogy ne tanitanálak titeket közönséges helyen és házanként.
Acts.20.21 | Sőt inkább mind a Zsidóknak, mind a Görögöknek hirdettem az Istenhez való megtérést, és a mi Urunk Jézus Krisztusban való hitet.
Acts.20.22 | És most imé én az Isten Lalkétől kénszerittetvén, Jérusálembe megyek, és nem tudom, mi következik ott én reám.
Acts.20.23 | Hanem hogy a Szent Lélek minden városonként bizonyságot tészen arról; ezt mondván: hogy én reám fogság és nyomorsugá következik.
Acts.20.24 | De semmivel nem gondolok, az én életem is nékem nem drága, csak elvégezhessem örömmel az én futásomat, és a szolgálatot, mellyet &amp; vettem az Úr Jézustól, hogy bizonyságot tégyek az Isten kegyelmének Evangyéliomáról.
Acts.20.25 | És most imé én tudom, hogy az én orczámat többé nem látja egy is mindnyájatok közzűl, kik között által mentem prédikálván az Istennek országát.
Acts.20.26 | Azért tudományt tészek néktek e mai napon, hogy én mindeneknek vérektől tiszta vagyok.
Acts.20.27 | Mert nem vonogattam magamat, hogy az Istennek minden akaratját néktek nem hirdettem volna.
Acts.20.28 | Viseljetek gondot azért magatokról, és az egész nyájról, mellyben a Szent Lélek titeket vigyázókká tett, az Isten Anyaszentegyházának legeltetésére, mellyet tulajdon &amp; vérével keresett.
Acts.20.29 | Mert én tudom azt, hogy az én eltávozásom után jőnek ti közitekbe gonosz farkasok, kik nem kedveznek a nyájnak.
Acts.20.30 | Ti közzűletek is támadnak olyak, kik ellenkező dolgokat szólnak, hogy a tanitványokat eláltassák.
Acts.20.31 | Azért vigyázzatok, megemlékezvén arról, hogy én három esztendeig éjjel és nappal meg nem szüntem könyhullatással inteni mindent.
Acts.20.32 | Most is Atyáfiai ajánlak titeket az Istennek, és az ő kegyelmessége beszédének, ki felépithet és megadhatja néktek, a mit örökség szerint birjatok minden szentekkel egybe.
Acts.20.33 | Senkinek ezüstét vagy aranyát, vagy ruháját nem kivántam.
Acts.20.34 | Sőt inkább ti tudjátok hogy én magamnak és velem valóknak táplálására az én kezeimmel munkálódtam.
Acts.20.35 | És mindenestől megmutattam néktek, hogy shzükség volna illyen módon munkálódván az erőtlenekről gondot viselni, és megemlékezni az Úr Jézus beszédéről, hogy tudniillik ő mondotta: Jobb adni másnk, hogynem venni.
Acts.20.36 | És mikor ezeket mondotta volna, térdre esvén imádkozék mind azokkal egybe.
Acts.20.37 | És mindnyájan felette igen kezdének sirni, és Pálnak nyakára esvén, csókolgatják vala őtet.
Acts.20.38 | Kik megkeseredtek vala, kiváltképen e beszéden, a mellyet mondott vala, hogy ők többé az ő orczáját nem látnák. És kisérék őtet a hajóra.

Acts.21.1 | Minekutánna pedig elindultunk volna, ő tőlök elszakadván, egyenesen menénk Kóus szigetbe, és másodnap Rhódusba, és onnét Patarába.
Acts.21.2 | És mikor találtunk volna hajót, melly általmenne Fénitzére, abba béülvén elindulának.
Acts.21.3 | És mikor kezdettük volna látni Cziprust, azt balkézre hagyván, evezén Siria felé, és jutánk Tírusba: mert ott akarják vala a hajóból a terhet kirakni.
