Gen.1.1 | Kezdetben teremté Isten a mennyet és a földet.
Gen.41.7 | És elnyelék a hét vékony gabonafejek a hét kövér és teljes gabonafejeket: és felserkene Faraó, és ímé az álom elméjében vala.
Gen.41.8 | Reggelre kelvén pedig megháborodék magában, és elküldvén, egybehívatá Égyiptomnak minden jövedőmondóit, és minden bölcseit: és megbeshzélé nékik Faraó az ő álmát, de nem vala senki, ki megmagyarázná azokat Faraónak.
Gen.41.9 | Szóla annakokáért a pohárnokmester Faraónak illyen módn: Az én bűneimről emlékezuem én e mai napon.
Gen.41.10 | Faraó megharagudt vala az ő szolgáira, és engemet és a sütőmestert vettetett vala a vitézek hadnagyjoknak tömlöczébe.
Gen.41.11 | Látánk pedig álmot mind egy éjjel, én és az: mindenkikünk a szerint, a mint következett. látánk áltmo.
Gen.41.12 | És vala velünk ott egy Zsidó ijfú a vitézek hadnagyjoknak szolgája, kinek mikor megbeszélettük volna, megmagyarázá nékünk a mi álmainkat, mindenikünknek az ő álma szerint magyarázá meg.
Gen.41.13 | És a miképen megmagyarázá nékünk, szinte azonképen történék dolgunk, engedelmet helyemre állata Faraó, amazt pedig felakasztatá.
Gen.41.14 | Elkülde azért Faraó és hívatá Józsefet, és nagy hamarsággal kihozák őtet a tömlöczből, és meegberetválkozván elváltoztatá ruháit, és méne Faraóhoz.
Gen.41.15 | És monda Faraó Józsefnek: Álmot láttam és nincsen ki megmagyarázná azt: Én pedig hallottam te felőled a ki azt mondaná, hogy te az álmot megérted, és meg tudod magyarázni.
Gen.41.16 | És felele József Faraónak, mondván: Nincsen erőmben az álom-magyarázás: hanem az Isten jelent a Faraónak megmaradására való dolgokat.
Gen.41.17 | Monda azért Faraó Józsefnek: Álomban látám, hogy állok valal egy folyóvíz partján.
Gen.41.18 | És ímé a folyóvízből kijőnek vala hét kövér és szép tehenek, mellyek esznek vala a mocsáros helyen.
Gen.41.19 | Ímé ismét azok után más hét tehenek jőnek vala ki, vékonyak, felette igen rútak és ösztövérek, kikhez hasonló rútakat én nem láttam egész Égyiptomnak földén.
Gen.41.20 | És elnyelék ez ösztövér rút tehenek, az elébbi hét kövér teheneket.
Gen.41.21 | És jóllehet a kövér tehenek amazoknak gyomrokban volnának, mindazáltal ingyen sem tetszik vala meg hogy gyomrokban volnának, mert ugyan rútak valának azok mind szinte az előtt. És felserkenék.
Gen.41.22 | Azután ismét láttam álmomban, és ímé hét gabonafejek nevekednek vala egy száron, teljesek és szépek.
Gen.41.23 | Ímé ismét ahzok után nevekednek vala hét kis gabonafejek, vékopnyak, mellyeket a napkeleti szél megszáraztott vala.
Gen.41.24 | És elnyelék a vékony gabonafejek a hét szép gabonafejeket. Megbezélém ezekeet a jövendőmondóknak és nem lőn senki ő közzűlök ki megmagyarázhatná.
Gen.41.25 | És monda József Faraónak: A Faraó álma mind egy: a mit Isten akar cselekedni, azt jelentette meg Faraónak.
Gen.41.26 | A hét szép tehenek, hét esztendők, hasonlóképen a hét szép gabonafejek, hét esztendők: az álom mind egy.
Gen.41.27 | A hét ösztövér és rút tehenek pedig, mellyek azok után jöttek ki, azok is hét esztendők, és a hét vékony gabonafejek mellyeket megszáraztott volt a napkeleti szél, hasonlóképen lészen az éhségnek hét esztendeje.
Gen.41.28 | És a mit mondék Faraónak, hogy a mit Isten akar cselekdni, megjelentette azt Faraónak.
Gen.41.29 | Ime hét esztendők jőnek mellyekben egész Égyiptomban nagy bőség lészen.
Gen.41.30 | Azok után következnek hét esztendők mellyekben lészen éhség, annyira, hogy elfelejtkeznek a nagy bőségről, melly volt Égyiptomnak földén, és megemészti az éhség a földet.
Gen.41.31 | És nem tetszik meg az elébbi bőség e földön az éhség miatt, melly azután lészen, mert nagy lészen.
Gen.41.32 | Hogy pedig kétszer látta Faraó az álmot, azt jelenti, hogy Istennél elvégezett dolgo ez, és siet az Isten azt véghez vinni.
Gen.41.33 | Most annakokáért rendeljen Faraó bölcs és eszes férjfiat, kit Égyiptomnak földén gondviselővé tégyen.
Gen.41.34 | Rendeljen Faraó tiszttartókat az országon, és Égyiptomnak lakosaitól vegye a gabonának ötödét a hét bő esztendőkben.
Gen.41.35 | És a kövtkező bő esztendőknek minden termését takarják bé, és a gabonát takarják a Faraó birodalma alá, és az élést tartsák meg Faraónak minden városaiban.
Gen.41.36 | És legyen az élés e tartománynak táplálására a hét esztendei éhségnek idején, mellyek következnek Égyiptom földén, hogy el ne vesszen a föld az éhség miatt.
Gen.41.37 | És tetészék e beszéd Faraónak és minden ő szolgáinak.
Gen.41.38 | Monda azért Faraó az ő szolgáinak: Avagy találhatnánk-é ehez hasonló férjfiat, kiben az Istennek lelke volna?
Gen.41.39 | És monda Faraó Józsefnek: Mivelhogy mind ezeket az Isten néked jelentette meg, nincsen hozzád hasonló eszes és bölcs.
Gen.41.40 | Te légy az én házamon főgondviselő, és minden én népem a te beszéded szerint járjon, csak az egy királyiszékkel haladlak meg téged.
Gen.41.41 | Monda annakutána Faraó Józsefnek: Ímé mind az egész Égyiptomnak földén Fejedelemmé tettelek.
Gen.41.42 | És kivévén Faraó a maga gyűrűjét a maga ujjából, adá azt Józsefnek ujjába; és felöltözteté őtet bibor ruhákba, és aranylánczot vete az ő nyakába.
Gen.41.43 | És ülteté őtet az ő második szekerébe. Ezt kiáltják vala pedig ő előtte: Abrekh; azaz, ijfú avagy gyenge atya. És Fejedelemmé tevé őtet mind az egész Égyiptomnak földén.
Gen.41.44 | És monda Faraó Józsefnek: Én vagyok Faraó, mindazáltal a te akaratod nélkül senki sem kezét, sem lábát fel nem emeli az egész Égyiptomnak földén.
Gen.41.45 | És nevezé Faraó Józsefet Tzafenát Pahneákhnak, és adá néki feleségűl Asenáthot, Potiferának On nevű város Fejedelmének leányát. És kiméne József Égyiptomnak földére.
Gen.41.46 | (József pedig harmincz esztendős vala, mikor állana az Égyiptombeli Faraó Király előtt.) Kiméne azért József Faraó elől, és általméne egész Égyiptomnak földén.
Gen.41.47 | És termett a föld hét bő esztendőkben gabonát nagy bővéséggel.
Gen.41.48 | És meggyűjté a hét esztendőnek minden élését, melly vala Égyiptom földén, és helyhezteté az élést a városokba, minden mezőnek termését takará a városba, melly körűl a mező vala.
Gen.41.49 | És takara József felette sok gabonát, mint a tengernek fövenye, annyira hogy meg nem számláltathatnék: mivelhogy száma nem vala.
Gen.41.50 | Józsefnek pedig lőnek két fijai minekelőtte eljőne az éhségnek esztendeje, kiket szüle néki Asenáth az On nevű város Fejedelmének Pótiferának leánya.
Gen.41.51 | És nevezé József az ő elsőszülöttét Manassénak: mert úgymond, elfelejtette én velem Isten minden nyomorúságomat, és az én atyám házát.
Gen.41.52 | A másodikat pedik nevezé Efraimnak: mivelhogy, ugymond, megszaporîtott isten engemet az én nyomoruságomnak földébe.
Gen.41.53 | Eltelének annakokáért a bőségnek hét esztendei, melly bőség vala Égyiptomnak földén.
Gen.41.54 | És elkezdének közelgetni ez éhségnek hét esztendei, mint megmondotta vala József: és vala éhség minden tartományokban: de gész Égyipto földében elég kenyér vala.
Gen.41.55 | Végezetre megéhezék egész Égyiptom földe is, és kiált vala a nép Faraóra a kenyérért. - monda pedig Faraó mind az Égyiptombelieknek: Menjetek Józsefhez, és a mi tmond, azt míveljétek.
Gen.41.56 | És nagy éhség vala mind az egész földön. Megnyitá azért József mind a gabonásházakat, mellyekben a gabona vala, és árulja vala az Égyiptombelieknek: mert meegnevekedett vala az éhség Égyiptom földében.
Gen.41.57 | És a földnek minden lakosai mennek vala Égyiptomba hogy gabonát vennének Józseftől; mert mind az egész földön nagy éhség vala.

Gen.42.1 | Látván pedig Jákob hogy Egyiptomban gabona volna, monda Jákob az ő fijainak: Mit néztek egymásra.
Gen.42.2 | És monda: Ímé hallom hogy Egyiptomban gabona vagyon: menjetek le oda, és vegyetek nékünk gabonát, hogy éljünk és ne haljunk meg.
Gen.42.3 | Lemenének annakoáért Józsefnek tiz báttyai hogy vennének gabonát Egyiptomban.
Gen.42.4 | De Benjámint a József öccsét nem bocsátá el Jákob az ő báttyaival: mert ezt mondá: Netán meghal az úton.
Gen.42.5 | Elmenének azért az Izrael fijai, hogy vennének gabonát azokkal egybe akik oda mennek vala, mert a Kanaán földén azon éhség vala.
Gen.42.6 | József vala pedig annak a tartománynak ura, és ő adja vala a gabonát a tartomány minden népének.Eljutának azért Józsefnek báttyai, és arcczal ő előtte a földre leborulának.
Gen.42.7 | És látá József az ő báttyait, és megisméré őket, de idegennek mutatván magát nékik, és monda: Honnét jöttetek? Felelének: Kanaán földjéről jöttünk gabonát venni.
Gen.42.8 | Megesméré pedig József az ő báttyait, de amazok nem esmérék meg őtet.
Gen.42.9 | Azért megemlékezék József az ő álmairól, mellyeket azok felől álmodottvala. És mondá nékik: Kémek vagytok ti, kik azért jöttetek hogy e tartománynak erőtlen részeit meglássátok.
Gen.42.10 | Kik felelének néki: Nem vagyunk uram kémek, hanem a te szolgáid jöttek gabonát venni.
Gen.42.11 | Mi mindnyájan egy ember gyermekei vagyunk: igaz emberek vagyunk. Soha nem voltak kémek a te szolgáid.
Gen.42.12 | Kiknek ismét monda: Nem úgy vagyon, hanem azért jöttetek hogy e földnek erőtlenségét meglássátok.
Gen.42.13 | Amazok mondának: Mi te szolgáid tizenketten mind atyafiak vagyunk, egy embernek fijai, Kanaánnak földében; és ímé a kissebbikünk az atyával vagyon most, egyikünk pedig ugyan nincsen.
Gen.42.14 | József pedig monda nékik: Ez az mit mondék nektek, hogy kémek vagytok.
Gen.42.15 | Ez legyen a bizonyság: Úgy éljen Faraó, hogy ki nem mentek addig, míg ide nem hozzátok a ti kissebbik atyátokfiát.
Gen.42.16 | Küldjetek el közületek egyet hogy hozza ide a ti atyátokfiát: ti addig legyetek fogva, és láttassék meg a ti beszédeteknek igazsága: hogyha pedig nemm úgy éljen Faraó hogy ti kémek vagytok.
Gen.42.17 | Annakokáért fogságba veté őket harmadnapig.
Gen.42.18 | Monda pesig ő nékik József harmadnap: Ezt míveljétek hogy éljetek : az Istent én is félem.
Gen.42.19 | Ha igazak vagytok egyik atyátokfia maradjon a ti fogságtokban házában, ti pedig menjetek el, vigyetek gabonát a ti házatok népének éhségének eltávoztatására.
Gen.42.20 | A ti kissebbik atyátokfiát pedig hozzátok én hozzám, és igaz lészen a ti beszédetek: és nem haltok meg: aképen cselekedének azért ők
Gen.42.21 | És mondának vala egymásnak.: Bizony vétkeztünk a mi atyánkfia ellen, mert látánk az ő lelkének keserűségét mikor nékünk könyörgene, és nem hallgatánk meg őtet; azért következett mi reánk e nyavalya.
Gen.42.22 | Felele pedig Rúben nékik, mondván: Avagy nem mondám vala- é néktek, hogy ne vétkezzetek a gyermek ellen: és nem fogadtátok? azért ímé az ő vérét is most keresik rajtunk.
Gen.42.23 | De azok nem tudják vala hogy értené József, mert tolmács által szólnak vala.
Gen.42.24 | És elfordúlván őtölük síra: Azután ismét hozzájuk fordulván szóla nékik, és megtartóztatá közülük Simeont, és megkötözteté az ő előttök
Gen.42.25 | Megparancsolá pedig József, hogy megtöltenék azoknak edényeiket gabonával, és megadnák azoknak pénzeket mindenkinek az ő zsákjába, és adnának nékik élést az útra: így cselekdeék azért ő velek.
Gen.42.26 | És felvetnék gabonáikat az ő szamaraikra, eklmenének onnét.
Gen.42.27 | És megoldá egy az ő zsákját hogy szamarának adna abrakot a szálláson, és meglátá az ő pénzét, melly vala zsákjának szájában.
Gen.42.28 | És monda az ő attyafiainak: Megadták nékem az én pénzemet, és ímé az én zsákomban vagyon. Megrémülének annakokáért, és elálmékodván mondának egymásnak:Micsoda ez a mit Isten cselekedett velünk?
Gen.42.29 | Azután mikor jutottak volna az ő attyokhoz Jákobhoz Kanaánnak földére, megbeszélének mindeneket néki a minémű dolgok ő rajtok estek volna, ezt mondván:
Gen.42.30 | Az a férjfiú annak a tartománynak ura, nagy kemény beszédekkel szóla nékünk és minket fogságba vetett vala, mint annak a földnek kémeit.
Gen.42.31 | És mondánk néki: Igaz emberek vagyunk, soha nem voltunk mi kémek.
Gen.42.32 | Tizenketten vagyunk attyafiak, a mi atyánknak fijai, az egyikünk ugyan nincsen, a kissebbikünk pedig most a mi attyánkkal vagyon Kanaán földében
Gen.42.33 | És monda nékünk az a férjfiú a földnek ura: Ezen esmérem meg hogy igazak vagytok; egyik atyátokfiát hagyjátok itt és a ti házatok népének éhségének eltávoztatására vigyetek gabonát, és menjetek el.
Gen.42.34 | És hozzátok hozzám a ti kissebbik atyátokfiát, hogy megtudhassam hogy nem vagytok kémek, hanem igaz emberek: azután a ti atyátokfiát megadom néktek, és ez országban kereskedhettek.
Gen.42.35 | És mikor az ő zsákjokat megüresítenék, ímé mindeniknek csomó pénze zsákjában vala. Látván pedig ők és az ő attyok pénzeknek csomóját megfélemlének.
Gen.42.36 | És monda nekik az ő attyok Jákob: Engemet megfosztottatok az én magzatimtól; József nincsen, Simeon is nincsen, Benjémint is elviszitek ? mind ezek megemésztenek engemet.
Gen.42.37 | Monda azért Rúben az ő attyának illyen szókkal: Az én két fiaimat megöljed, ha őtet meg nem hozom néked, add kezembe őtet nékem, és én meghozom őtet tenéked.
Gen.42.38 | És monda: Nem megyen le oda az én fiam ti veletek, mert az ő báttya megholt és ő maga maradt, ha történnék néki halála az úton a mellyen elmentek, az én vénségemet nagy keserűséggel bocsátanátok a koporsóba.

Gen.43.1 | Az éhség pedig elhatalmazott vala abban a tartományban.
Gen.43.2 | Mikor azért megették volna a gabonát, mellyet hoztak vala Egyiptomból: monda nékik az ő attyok: Menjetek el ismét, szerezzetek nékünk egy kevés élést.
Gen.43.3 | És monda néki Júda illyen szókkal: Nagy erős esküvéssel megmondá nékünk az a férjfiú: Nem látjátok, úgymond az én orczámat, hanemha a ti atyátokfia veletek lészen.
Gen.43.4 | Ha azért elbocsátod a mi atyánkfiát velünk, elmegyünk, és veszünk néked élést.
Gen.43.5 | Hogyha el nem bocsátod, nem megyünk, mert az a férjfiú megmondá nékünk, nem látjátok az én orczámat, hanemha a ti atyátokfia veletek lészen.
Gen.43.6 | És mondá az Izráel: Miért cselekedtetek illyen gonoszul énvelem, hogy megmondottátok annak a férjfiúnak, hogy néktek még atyátokfia volna?
Gen.43.7 | Felelének azok: Nagy szorgalmatossággal tudakozódott az a férjfiú mi felőlünk, és nemzetségünk felől, ezt mondván: Él e még a ti atyátok? vagyon-é több atyátokfia? És e beszédek szerint feleltünk néki. Mimódon tudhattuk volna meg hogy azt mondja nékünk: Hozzátok ide a ti atyátokfiát?
Gen.43.8 | És monda Júda Izráelnek, az ő attyának: Bocsásd el azt a gyermeket én velem, azután felkelünk és elmegyünk és ne haljunk meg mind mi, mind te, és a mi gyermekeink.
Gen.43.9 | Én kezes leszek érette, az én kezemtől kérd elő: Ha meg nem hozom őtet te hozzád, és őtet elődbe nem állatom, mind éltig bűnös legyek előtted.
Gen.43.10 | Bizony ha nem késtünk volna, ez ideig kétszer is megjöhettünk volna.
Gen.43.11 | És monda nékik Izráel az ő attyuk: Ha úgy kell lenni, ambátor legyen úgy: Vegyetek e földnek válogatott gyümölcsében a ti edényeitekbe, és vigyetek ajándékot annak a férjfiúnak, egy kevés balzsamot, egy kevés mézet, fűszerszámokat, mirhát, diót, mondolát.
Gen.43.12 | Más pénzt is vigyetek veletek, a melly pénzt meghoztatok a ti zsákjaitoknak szájokban, azt is vigyétek meg; talán valami vétekből esett, hogy azt meghoztátok
Gen.43.13 | A ti atyátokfiát is vegyétek fel, és felkelvén menjetek el ismét ahhoz a férjfiúhoz.
Gen.43.14 | Az erős mindenható Isten pedig engedje, hogy kedvet találjatok annál a férjfiúnál, és bocsássa vissza ti veletek a másik atyátokfiát, ezt is Benjámint: Én pedig ha megfosztatom az én gyermekeimtől, legyek megfosztatott.
Gen.43.15 | Annakokáért minekutánna azok az emberek vették volna az ajándékot, és kétannyi pénzt az ő kezekbe és Benjámint felkelvén elmenének Egyiptomba, és állának József eleibe.
Gen.43.16 | Minekutánna pedig látta volna József ő velek Benjámint, monda az ő háza gondviselőjének; Vidd bé amaz embereket a házba, és öless ételre való állatokat, és készits lakodalmat, mert velem ebédelnek ez emberek ma délben.
Gen.43.17 | É aképen cselekdeék az a férjfiú, a mint József parancsolta vala, és bévivé azokat az embereket a József házába.
Gen.43.18 | És megfélemlének azok az emberek, minekutánna bévitték volna őket a József házába, és mondának: A pénzért hozattunk ide bé, melly először a mi zsákjainkba tétetett volt, hogy ez okkal patvart találjon hozzánk, reánk támadjon, és minket rabokká tégyen, és a mi szamarainkat.
Gen.43.19 | És menének a József házának a gondviselőjéhez, és szólának néki a háznak ajtaja előtt.
Gen.43.20 | És mondának: Kérünk szerető uram, hallgasd meg a mi beszédünket: Ennekelőtte is eljöttünk gabonát venni.
Gen.43.21 | Mikor pedig a szállásra jutottunk volna, és a mi zsákjainkat megoldoztuk volna, ímé mindenikünknek pénze az ő zsákjának szájában vala épen, meghoztuk azért azt ismét mi velünk.
Gen.43.22 | Annakfelette más pénzt is hoztunk velünk hogy gabonát vegyünk, nem tudjuk kicsoda tette a mi pénzünket zsákjainkba.
Gen.43.23 | s felele: Nem lészen semmi nyavalyátok, ne féljetek: a ti Istentek és a ti atyátoknak Istene adta néktek a pénzt zsákjaitokba, a ti pénzetek az én kezemhez jött. És kihozá ő hozzájiok Simeont.
Gen.43.24 | Bévivé azért az a férjfiú azokat az embereket a József házába, és ada nékik vizet, és megmossák az ő lábaikat, abrakot is ada az ő szamaraiknak.
Gen.43.25 | És elkészíték az ő ajándékjokat addig míg József béjönne délben; mert megértették vala hogy ő vele ennének ebédet.
Gen.43.26 | Haza jőve azért Józsefm és bévivék ő hozzája az ő házába ajándékjokat, és meghajlának előtte szinte a földig.
Gen.43.27 | És megkérdvén őket egésségek felől, monda: Egésségben vagyon-é a ti vén atyétok, a ki felől énnékem szóltatok, és él-é még?
Gen.43.28 | Kik felelének: Egésségben vagyon a te szolgád a mi atyánk, és még él. És meghajolván ő előtte, tisztelik vala őtet.
Gen.43.29 | És felemelvén az ő szemeit látá Benjámint az ő attyafiát, az ő annyának fiját., és monda: Ez-é a ti kissebbik atyátokfia a ki felől nékem szólottatok vala? És ezt is mondá: Az Isten legyen kegyelmes néked szerető fiam!
Gen.43.30 | Akkor siete József, (mert megindúlt vala szíve az ő öccséhez) és keres vala helyet hol sírna; béméne azért ágyasházába és ott síra.
Gen.43.31 | Azután megmosván az ő orczáját, ismét kiméne; és megtartóztatá magát, s monda: Hozzátok el az étket.
Gen.43.32 | És elhozák néki külön, azoknak is külön, és az Égyiptombelieknek is, kik vele szoktak vala enni, külön: Mert nem esznek az Égyiptombeliek együtt a Zsidókkal, mert az utálatos az Égyiptombeliek előtt.
Gen.43.33 | Leülének azért ő előtte, az elsőszülött az ő elsőszületése szerint, és a kissebb az őideje szerint; és azok az emberek magokban ezen álmélkodnak vala.
Gen.43.34 | És ő maga elől József az ő étkéből ád vala azoknak részt; de Benjáminnak a többi részénél ötszörte többet ád vala, és jól lakván ő vele, megrészegedének.

Gen.44.1 | Azután parancsola József az ő háza gondviselőjének, mondván: Töltsd meg az embereknek zsákjaikat gabonával a mennyit elvihetnek: és mindenkinek pénzét tegyed zsákja szájába.
Gen.44.2 | Amaz én ezüst poháromat pedig tegyek a kissebbik zsákjába gabonájának árával egybe. És cselekedék a Józsefnek parancsolatja szerint.
Gen.44.3 | És reggel mihelyt megvirada, elbocsáttatának azok az emberek, szamaraikkal egybe.
Gen.44.4 | Mikor pedig kimentek volna a városból és még nem messze volnának, monda József az ő háza gonviselőjének: Kelj fel, menj utánnok amaz embereknek: mikor pedig elérénded őket, ezt mondja néki: Miért hogy a jó helyébe gonosszal fizettetek?
Gen.44.5 | Avagy nem az-é a pohár, mellyből az én uram iszik? Ebből megesmérheti ő minémű emberek legyetek: gonoszúl cselekedtétek, a mit cselekdtetek.
Gen.44.6 | Mikor azért elérte volna őket, a képen szóla nékik.
Gen.44.7 | Kik felelének néki: Miért szól az én uram illy dolgokat? Távol legyen a te szolgáidtól, hogy illy dolgot cselekednének.
Gen.44.8 | Ímé a pénzt mellyet találtunk a mi zsákjainknak szájokban, meghoztuk néked Kanaán földéből: mimódon loptunk volna azért a te urad házából ezüstöt vagy aranyat?
Gen.44.9 | Valakinél megtaláltatik a te szolgáid közzűl, meghaljon az: annak felette mi is szolgái lészünk az én uramnak.
Gen.44.10 | És monda: A miképen mondottátok bátor úgy legyen. Valakinél megtaláltatik, legyen az nékem szolgám, ti pedig legyetek ártatlanok.
Gen.44.11 | Sietvén annakokáért lerakák az ő zsákjaikat a földre, és mindnyájan egyenként megoldák zsákjaikat.
Gen.44.12 | És megkeresé a nagyobbiktól fogva mind a kissebbikig, és megtalálák a pohárt a Benjámin zsákjában.
Gen.44.13 | Azok pedig ruhájokat meghasogatván, megterhelék mindnyájan szamaraikat, és megtérének a városba.
Gen.44.14 | Juta azért Júda és az ő attyafiai a József házához, (ki még a helyről el nem ment vala) és ő előtte arcczal a földre leborúltak.
Gen.44.15 | És monda nékik József: Mi dolog ez a mit cselekedtetek? Avagy nem tudjátok é hogy ez illyen ember mint én vagyok, bizonyosképen megtudhatja a mit meg kell tudni?
Gen.44.16 | És monda Júda: Mit mondhatunk az én uramnak? Mit szóljunk és mivel igazítsuk magunkat? Az Isten módot talált a te szolgáidnak bűnöknek büntetésében. Ímé mi az én uram szolgái vagyunk, mind mi, mind az, a kinek kezében a pohár találtatott.
Gen.44.17 | Ki felele: Távol legyen én tőlem hogy azt cselekedjem: hanem a kinek kezében találtatott a pohár, az legyen én szolgám, ti pedig békességgel menjetek el a ti atyátokhoz.
Gen.44.18 | És Júda ő hozzá járula, és monda: Szerető uram, legyen szabad nékem te szolgádnak, hogy szóljak az én uramnak: Ne gerjedjen fel haragod a te szolgád ellen; mert te hasonló vagy Faraóhoz méltósággal.
Gen.44.19 | Az én uram kérdette vala az ő szolgáit, illyen módon: Vagyon é néktek atyátok, vagy atyátokfia?
Gen.44.20 | Akkor mi azt felelénk az én uramnak: Vagyon nékünk egy vén atyánk, és egy gyermek, ki az ő vénségében lett, kinek báttya megholt, és csak az egy maradt az ő annyától, kit attya felette igen szeret.
Gen.44.21 | És azt mondád a te szolgáidnak: Hozzátok én hozzám azt, hogy lássam az én szemeimmel.
Gen.44.22 | Mi pedig azt mondánk az én uramnak: Nem távozhatik el az a gyermek attyától; mert ha eltávozik attyától, meghal az attya.
Gen.44.23 | És ezt mondád a te szolgáidnak: Ha a ti kissebbik atyátokfia el nem jő veletek, ne lássátok az orczámat.
Gen.44.24 | Mikor azért a te szolgádhoz, az én atyámhoz felmentünk volna, és az én uramnak beszédeit megbeszélettük volna.
Gen.44.25 | Monda akkor a mi atyánk: Menjetek el viszontag, és vegyetek nékünk egy kevés gabonát.
Gen.44.26 | Mi azt felelénk: Nem mehetünk el ha pedig a mi kissebbik atyánkfia velünk lészen, elmegyünk; mert ama férjfiú orczáját nem láthatnánk, ha a mi kissebbik atyánkfia velünk nem lenne.
Gen.44.27 | És monda a te szolgád, az én atyám, nékünk: Ti tudjátok hogy az én feleségem nékem csak két fiat szült.
Gen.44.28 | Az első minekutánna tőlem kiméne, a ki felől azt mondom vala hogy bizony a vadak szaggatták el, azt nem láttam attól fogva.
Gen.44.29 | Hogyha ezt is elviszitek én előlem, és valamimódon meghalánd, az én vénségemet nagy keserűséggel juttatjátok a koporsóba.
Gen.44.30 | Ha annakokáért menéndek a te szolgádhoz az én atyámhoz, és e gyermek nem lejénd velünk (mivel felette igen szereti őtet.)
Gen.44.31 | Minekutánna meglátja hogy e gyermek nincsen velünk, meghal, és a te szolgáid, a te szolgádnak a mi atyánknak vénségét nagy keserűséggel juttatják a koporsóba.
Gen.44.32 | Hane, mivelhogy a te szolgád e gyermekért az ő attyánál kezes lett, illyenképen: Ha őtet meg nem hozom te hozzád, az én atyám előtt bűnös legyenk teljes életemben.
Gen.44.33 | Maradjon itt azért e gyermek helyébe a te szolgád, hogy legyen szolgája az én uramnak, és e gyermek menjen el az ő báttyaival.
Gen.44.34 | Mert mimódon mennék fel az én atyámhoz, ha e gyermek velem nem lenne? Hanem az én atyámnak nyomorúságát akarnám látni, a melly reá következnék.

Gen.45.1 | Nem tartóztathatá József tovább magát: mikor ezért sokan állanának előtte, kiálta hogy minden ember kimenne, és nem marada senki vel ottheon, mikor magát megismerteté József az ő attyafiaival.
Gen.45.2 | Annakutánna felszóval síra, annyira hogy hallanák az Egyiptombeliek, és meghallaná a Faraó háznépe is.
Gen.45.3 | És monda József az ő attyafiainak: Én vagyok József, él-é még az éna atyám? És nem felelhetének az ő attyafiai néki, mert elrettentek vala előtte.
Gen.45.4 | Monda azért József az ő attyafiainak: Jöjjetek ide közelebb én hozzám kérlek; kik közelebb menének. És monda: Én vagyok a ti atyátokfia József, kit eladtatok vala pénzen Egyiptomba.
Gen.45.5 | Most annakokáért ne bánkódjatok, és azon ne szomorkodjatok, hogy engemet ide adtatok; mert a ti megmaradástokért küldött el Isten engemet ti előttetek.
Gen.45.6 | Mert immár az éhségnek e földön két esztendeje múlt el; de még öt esztendő vagyon, mellyben sem szántás, sem aratás nem lészen.
Gen.45.7 | Az Isten küldött el engemet ti előttetek, hogy én általam megmaradhatnátok a földön, és megtartaná életeteket csudálatos szabadítással.
Gen.45.8 | Annakokáért nem ti küldöttetek engemet ide, hanem az Isten, ki engemet Faraónak attyává tett, és minden háznépének urává, és egész Egyiptomnak országán Úrrá.
Gen.45.9 | Sietvén menjetek fel az én atyámhoz, és ezt mondjátok néki: Ezt mondja a te fijad József; Az Isten engemet egész Egyiptom urává tett, jöjj le én hozzám, ne késsél.
Gen.45.10 | És a Gósen földén lakozol, és én hozzám közel léssz, mind te, mind fijaid, és a te fijaidnak fijai, a te juhaid, barmaid, és valami jószágod vagyon.
Gen.45.11 | És táplállak ott tégedet, (mert a drágaságnak öt esztendeje vagyon még hátra) hogy meg ne halj éhhel te, a te háznéped, és valamid vagyon.
Gen.45.12 | És ímé a ti szemeitek látják, és az én atyámfiának Benjáminnak szemei, hogy az én szájam szól néktek.
Gen.45.13 | Beszéljétek meg azért az én atyámnak minden én dicsőségemet, melly vagyon Egyiptomban, és valamit láttatok, . Siessetek azért és hozzátok ide az én atyámat.
Gen.45.14 | És az ő öccsének Benjáminnak nyakára esék és síra, Benjámin is síra a József nyakán.
Gen.45.15 | És megcsókolá mind az ő attyafiait és síra ő rajtok: azután bátorsággal szólának és beszélének az ő attyafiai ő vele.
Gen.45.16 | És elméne e dolognak híre a Faraó házába, hogy eljöttek volna a József attyafiai; és tetszék e dolog mind Faraónak, mind az ő szolgáinak.
Gen.45.17 | És monda Faraó Józsefnek: Mond meg a te atyádfiainak: Eképen cselekedjetek: A ti barmaitokat terheljétek meg, menjetek el haza Kanaán földébe.
Gen.45.18 | És vegyétek fel a ti atyátokat és minden cselédeteket, és jöjjetek énhozzám; és néktek adom Egyiptom fökldenek választott részét, és e földnek zsírját eszitek.
Gen.45.19 | Ímé megparancsoltam nékedm hogy meghagyjad nékik: Ezt míveljétek, vigyetek veletek Egyiptom földéből szekereket a ti gyermekeiteknek és feleségeiteknek és vegyétek fel a ti atyátokat, s jöjjetek el.
Gen.45.20 | És ne gondoljatok a ti házi eszköz marhátokkal: mert az egész Egyiptom földe javának része tiétek leszen.
Gen.45.21 | A képen cselekedének azért az Izráel fijai; és ada nékik szekereket József a Faraó parancsolatja szerint; élést is ada nékik az útra.
Gen.45.22 | Mindeniket megajándékozá egy-egy öltöző ruhával: Benjáminnak pedig ada háromszáz ezüstpénzt és öt öltöző ruhát.
Gen.45.23 | Az ő attyának is ezeket küldé: tíz szamárt megterhelve Egyiptombeli szépséggel, és tíz nőstényszamárt, kik visznek vala gabonát, kenyeret és egyéb élést az ő attyának az útra.
