John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.15.11 | Ezeket szóltam néktek, hogy amaz én örömem ti bennetek maradjon, és a ti örömetek bételjék.
John.15.12 | Ez az én parancsolatom, hogy szeressétek egymást, mint én szerettelek titeket.
John.15.13 | Nincsen senkiben nagyobb szeretet annál, mintha valaki az ő életét adja az ő barátiért.
John.15.14 | Ti én barátim lésztek, ha azokat cselekedénditek, melyeket én parancsolok néktek.
John.15.15 | Nem mondalak többé titeket szolgáknak; mert a szolga nem tudja mit mivel az ő Ura; titeket pedig mondalak barátimnak: mert mindeneket, a mellyeket hallottam az én Atyámtól, megjelentettem néktek.
John.15.16 | Nem ti választottatok engem, hanem én választottalak titeket, és rendeltelek titeket, hogy elmenvén gyümölcsöt teremjetek, és a ti gyümölcsötök megmaradjon: hogy valamit kéréndetek az Atyától az én nevemben, megadja néktek.
John.15.17 | Ezeket parancsolom néktek, hogy ti egymást szeressétek.
John.15.18 | Ha e világ titeket gyülöl, tudjátok hogy engemet gyülölt elébb ti nálatoknál.
John.15.19 | Ha e világból valók volnátok, e világ a mi övé szeretné azt, de mivelhogy nem e világból valók vagytok, hanem én választottalak titeket e világ közzűl, azért gyülöl titeket e világ.
John.15.20 | Emlékezzetek meg ama beszédről, melyet én mondottam néktek: A szolga nem nagyobb az ő Uránál. Ha engemet háborgattak, titeket is háborgatnak; ha az én beszédemet megtartották, a tiéteket is megtartják.
John.15.21 | De mind ezeket mivelik ti veletek az én nevemért, mert nem esmérik azt, a ki engemet elbocsátott.
John.15.22 | Ha én nem jöttem volna és nem szóltam volna nékik, nem volna bünök; de nincsen most mivel menteniek az ő bünöket.
John.15.23 | A ki engemet gyülöl, az gyülöli az én Atyámat is.
John.15.24 | Ha oly cselekedeteket nem cselekedtem volna ő közöttök, melyeket senki nem cselekedeett, nem volna bűnök: de most látták, és gyülöltek, mind engem, mind az én Atyámat.
John.15.25 | De szükség hogy bételjék a mondás, mely az ő törvényekben megiratott: Gyülöltek engem ok nélkül.
John.15.26 | Mikor pedig eljövénd ama Vigasztaló, kit én bocsátok néktek az Atyától, az igazságnak Lelke, ki az Atyától származik, az bizonyságot tészen én rólam.
John.15.27 | De ti is bizonyságot tésztek: mert eleitől fogva én velem vagyok.

John.16.1 | Ezeket szóltam néktek, hogy meg ne botránkozzatok.
John.16.2 | A gyülekezetekből kivetnek titeket: sőt eljő az idő, mikor valaki titeket megölénd, állitja hogy isteni tiszteletet cselekeszik.
John.16.3 | És ezeket cselekeszik veletek: mert nem esmérték sem az Atyát sem engemet.
John.16.4 | De ezeket szólottam néktek, hogy mikor eljövénd az idő, megemlékezzetek róla, hogy én ezeket megmondottam néktek: Ezeket pedig előitől fogva nem mondottam néktek: mert veletek valék.
John.16.5 | Most pedig elmegyek ahoz, a ki engem elbocsátott, és senki közzűletek nem kérd meg engemet, mondván: Hová mégy?
John.16.6 | Hanem mivelhogy ezeket mondám néktek, a szomorúság elfoglalta sziveteket.
John.16.7 | De én igazságot szólok néktek: Jobb néktek, hogy elmenjek: mert ha el nem menéndek, ama Vigasztaló nem jő ti hozzátok; de ha elmenéndek, elküdöm azt ti hozzátok.
John.16.8 | És mikor az eljövénd, megfeddi e világot a bünről, az igazságról és az itéletről.
John.16.9 | A bünről megfeddi, mivelhogy nem hisznek énbennem.
John.16.10 | Az igazságról: mert éns az -Atyához megyek, és többé nem láttok engemet.
John.16.11 | Az itéletről pedig, mivelhogy a világnak Fejedeleme megitéltetett.
John.16.12 | Még sok dolgok vagynak, melyeket néktek kellene mondanom, de most el nem hordozhatjátok.
John.16.13 | Mikor pedig eljő amaz, az igazságnak Lelke, minden igazságra vezérel titeket. Mert nem szól ő magától, hanem amelyeket hallánd, azokat szólja: és a melyek következendők, azokat jelenti mg néktek.
John.16.14 | Az engemet dicsőiteni fog: mert az enyimből vészi, a mit néktek jelent.
John.16.15 | Mindenek, valamelyek az Atyáéi, enyimek; azért mondám hogy az enyimből vészi, a mit néktek megjelent.
John.16.16 | Egy kevés ideig nem láttok engemet; és ismét egy kevés idő mulva megláttok engemet; mert én az Atyához megyek.
John.16.17 | Mondának azért némelyek az ő tanitványai közzűl egymásnak: Micsoda ez, a mit nékünk mond: Egy kevés ideig nem láttok engemet, és ismét egy kevés idő mulva megláttok engemet: mert és az Atyához megyek:
John.16.18 | Mondának vala azért : Micsoda a mit mond: Egy kevés ideig? Nem tudjuk mit mond.
John.16.19 | Megérté azért Jézus, hogy azok meg akarnák őtet kérdeni, és monda nékik Erről tudakoztok-é ti köztetek, hogy én mondanám: Egy kevés ideig nem láttok engemet: és ismét egy kevés idő mulva megláttok engemet
John.16.20 | Bizony bizony mondom néktek: Sirtok ti és jajgattok, e világ pedig örül; ti pedig szomorkodtok, de a ti keserűségtek örömre fordul.
John.16.21 | Az aszzonynak, mikor szül, fájdalma vagyon: mert eljött az ő órája; de mikor szüli az ő gyermekét, azután nem emlékezik meg a fájdalomról: mert örül, hogy ember született e világra.
John.16.22 | Néktek is azért most keserűségtek vagyon; de ismét meglátlak titeket, és örülni fog a szivetek, és a ti örömeteket senki el nem vészi tőletek.
John.16.23 | És azon a napon nem kérdetek meg engemet semmiről. Bizony bizony mondom néktek: Valamit kérendetek az Atyától az én nevemben megadja néktek.
John.16.24 | Ez ideig semmit nem kértetek az én nevemben; kérjetek és elvészitek, hogy a ti örömetek teljes legyen.
John.16.25 | Ezeket mondottam néktek példabeszédek által, de eljő az idő, mikor nem szólok többé példabeszédek által, hanem nyilván szólok néktek az én Atyám felől.
John.16.26 | Azon a napon az én nevemben kértek; és nem mondom néktek, hogy én kérem az Atyát ti érettetek:
John.16.27 | Mert az Atya szeret titeket; mert ti is szerettetek engemet, és hittétek, hogy én az Istentől jöttem ki.
John.16.28 | Kijöttem az Atyától, és jöttem e világra; ismét elhagyom e világot, és elmegyek az Atyához.
John.16.29 | Mondának néki az ő tanitványai: Ímé most nyilván szólasz, és semmi példabeszédet nem mondasz.
John.16.30 | Most tudjuk, hogy te mindeneket tudsz, és nem szükség neéked, hogy valaki tégedet megkérdjen: erről hisszük hogy te az Istentől jöttél ki
John.16.31 | Felele nékik Jézus: Most hiszitek é azt?
John.16.32 | Ímé eljő az idő, és immár eljött, melyben eloszoltok kiki az övéihez, és engemet egyedül hagytok; de nem vagyok egyedül: mert az Atya velem vagyon.
John.16.33 | Ezeket szóltam néktek, hogy én bennem békességtek legyen; e világon nyomoruságtok lészen, de bizzatok; én meggyőztem e világot.

John.17.1 | Ezeket szólá Jézus, és felemelé szemeit az égbe és monda: Atyám! eljött amaz óra: dicsőitsd meg a te Fiadat, hogy a te Fiad is dicsőitsen tégedet.
John.17.2 | Miképen adtál néki hatalmat minden testen, hogy valakiket néki adtál, adjon azoknak örök életet.
John.17.3 | Ez pedig az örök élet, hogy tégedet egyedül esmérjenek lenni igaz Istennek, és a kit elbocsátottál a Jézus Krisztust.
John.17.4 | Én dicsőitettelek tégedet e földön: elvégeztem a dolgot, melyet reám biztál volt, hogy elvégezzem.
John.17.5 | Mos annakokáért dicsőits meg engemet Atyám, te magadnál, azzal a dicsőséggel, mely dicsőségem volt te nálad minekelőtte e világ lenne!
John.17.6 | Megjelentettem a te nevedet az embereknek, a kiket adtál nékem e világ közzül! tiéid valának, és nékem adtad azokat; és a te beszédedet megtartották.
John.17.7 | Most tudták meg, hogy mindenek, a melyeket nékem adtál, te tőled vagynak;
John.17.8 | Mert a mely beszédeket reám biztál, nékik adtam: és ők elvették, és bizonnyal megtudták, hogy én tőled jöttem ki, és elhitték hogy én tőled bocsáttattam.
John.17.9 | Én ő érettek könyörgök; nem e világért könyörgök, hanem azokért, a kiket nékem adtál: mert tiéid.
John.17.10 | És nékem mindenim tiéid, és a tiéid enyimek; és én megdicsőitettem ő bennek.
John.17.11 | És nem vagyok többé e világon, de ezek a világon vagynak, és én hozzád megyek, szent Atyám! tartsd meg a te neved által azokat, a kiket adtál nékem, hogy eggyek legyenek mint mi.
John.17.12 | Mikor ő velek volnék e világon, én megtartom vala őket a te nevedben. A kiket nékem adtál én megőriztem, és egy is azok közzűl el nem veszett, hahem a veszedelemnek ama fija, hogy az Irás bételnék.
John.17.13 | Most pedig te hozzád megyek, és ezeket szólom e világon, hogy az én örömem teljes legyen ő nálok.
John.17.14 | Én a te beszédedet nékik adtam, és e világ őket gyűlölte: mert nem e világból valók, miképen hogy én is nem e világból való vagyok.
John.17.15 | Nem kérlek azon, hogy e világból kivegyed őket, hanem hogy megőrizd őkeet a gonosztól.
John.17.16 | Nem e világból valók, miképen én is nem e világból való vagyok.
John.17.17 | Szenteld meg őket a te igazságoddal; a te beszéded igazság.
John.17.18 | Miképen engemet elküldöttél e világra, azonképen én is elküldöttem őket e világra.
John.17.19 | És én érettek szentelem meg magamat, hogy ők is szenteltettek legyenek valóban.
John.17.20 | Nem csak ő érettek könyörgös pedig, hanem azokért is, kik az ő beszédek által hiendők lésznek én bennem.
John.17.21 | Hogy mindnyájan eggyek legyenek, miképen te Atyám én bennem és én te benned, hogy ők is mi bennünk eggyek legyenek; hogy elhidje e világ, hogy én te tőled bocsáttattam.
John.17.22 | És én a dicsőséget, melyet adtál nékem, nékik adtam, hogy eggyek legyenek, miképen mi egy vagyunk.
John.17.23 | Én ő bennek, és te én bennem, hogy legyenek tökéletesek mind egyetembe, és hogy megtudja e világ, hogy én tőled bocsáttattam, és hogy te őket szereted, miképen engemet szerettél.
John.17.24 | Atyám! a kiket nékem adtál, akarom, hogy a hol én vagyok, azok is én velem legyenek; hogy lássák amaz én dicsőségemet, melyet nékem adtál: mert szerettél engemet e világ fundamentomának felvettetése előtt.
John.17.25 | Igaz Atyám; e világ téged nem esmért; én pedig esmértelek téged, ezek is tudják, hogy én tőled bocsáttattam.
John.17.26 | És a te nevedet megjelentettem nékd, és megjelentem, hogy a te szerelmed, a mellyel engemet szerettél, legyen ő bennek, és én is ő bennek.

John.18.1 | Ezeket mikor mondotta volna Jézus, kiméne az ő tanitványival a Kedron patakán túl, hol egy kert vala, melybe béméne ő és az ő tanitványai.
John.18.2 | Tudja vala pedig azt a helyet Júdás is, ki őtet elárulja vala: mert gyakorta oda gyül vala Jézus az ő tanitványival.
John.18.3 | Júdás azért mikor sereget vett volna maga mellé, és a Papifejedelmektől és Farizeusoktól szolgákat, méne oda lámplásokkal és fákláyákkal, és fegyverekkel.
John.18.4 | Jézus azért tudván mind azokat, a melyek reá következnek vala, előállván, monda nékik: Kit kerestek?
John.18.5 | Felelének néki: A Názáretbeli Jézust. Monda nékik Jézus: Én vagyok az. Áll vala pedig ő velek Júdás is, ki őtet elárulja vala.
John.18.6 | Mihelyt azért ezt mondá nékik: Én vagyok az; hátra állának és leesének a földre.
John.18.7 | Másoszor is azért megkérdé őket: Kit kerestek? És azok mondának: A Názáretbeli Jézust.
John.18.8 | Felele Jézus: Mondám néktek, hogy én vagyok az. Azért ha engem kerestek, ezeket bocsássátok el.
John.18.9 | Hogy bételnék az ő beszéde, mellyet mondott vala: Azok közzűl, a kiket nékem adtál, egyet is el nem vesztettem.
John.18.10 | Simon Péter pedig, kinek vala szablyája, kivoná azt, és a Főpapnak szolgáját megcsapdosá, és elvágá annak jobbfülét. Annak a szolgának pedig neve vala Málkus.
John.18.11 | Monda azért Jézus Péternek: Tedd hüvelyébe a te szablyádat; avagy nem kell-é meginnom a pohárt, mellyet az Atya adott nékem?
John.18.12 | A sereg azért és a Hadnagy, és a Zsidóknak szolgáik megfogák Jézust, és megkötözék őtet.
John.18.13 | És vivék először Annáshoz, (mert vala a Kajafásnak ipa, ki abban az esztendőben Főpap vala), és Annás küldé őtet kötözve Kajafásnak a Főpaphoz.
John.18.14 | Kajafás pedig az vala, a ki azt adta vala a Zsidóknak tanácsúl, hogy jobb volna egy embernek meghalni a községért.
John.18.15 | Követi vala pedig Jézust Simon Péter, és más tanitvány, az a tanitvány pedig esméretiben vala a Főpapnak, és együtt Jézussal béméne a Főpapnak házába.
John.18.16 | Péter pedig áll vala kivűl az ajtónál. Kiméne azért ama másik tanitvány, a ki a Főpapnak esméretiben vala, és szóla az ajtó őrző leánynak, és bévivé Pétert.
John.18.17 | Szóla azért Péternek az ajtó őrző leány: Nemde te is ez ember tanitványai közzűl való vagy-é? Monda ő: Nem vagyok.
John.18.18 | Állanak vala pedig ott a szolgák és a poroszlók, kik szenet raktak vala: mert hideg vala, és melegítik vala magokat; Péter is pedig ott áll vala velek, és melegiti vala magát.
John.18.19 | A Főpap azért megkérdé Jézust az ő tanitványai felől, és az ő tudománya felől.
John.18.20 | Felele néki Jézus: Én nyilván szóltam e világnak; és mindenkor tanitottam a zsinagógában és a templomban, a hová gyülnek mindenfelől a Zsidók, és titkon semmit nem szóltam.
John.18.21 | Mit kérdesz engemet? kérd meg azokat, a kik hallották a mit nékik szóltam: Ímé, ezek tudják mit szóltam én?
John.18.22 | Ezeket pedig mikor ő mondotta volna, egy a szolgák közzűl, a ki ott áll vala, Jézust arczul csapá, mondván: Úgy felelsz-é a Főpapnak?
John.18.23 | Felele néki Jézus: Ha gonoszúl szóltam, tégy tudományt a gonoszról: ha jó szóltam, miért versz engemet?
John.18.24 | Küldötte vala azért őtet Annás Kajafáshoz a Főpaphoz kötözve.
John.18.25 | Áll vala pedig ott Simon Péter is, és melegiti vala magát; mondának azért néki: Nemde te is az ő tanitványai közzűl való vagy-é? Megtagadá ő és monda: Nem vagyok.
John.18.26 | Monda néki egy a Főpapnak szolgái közzűl, annak rokona, a kinek Péter a fülét elvágta vala: Avagy nem láttalak-é én tégedet ő vele a kertben?
John.18.27 | Ismét azért megtagadá Péter, és a kakas azonnal megszólala.
John.18.28 | Elvivék azért Jézust Kajafástól a törvényházba, valap edig reggel; és ők nem menének bé a törvényházba, hogy meg ne fertéztetnének, hanem hogy megennék a Husvétibárányt.
John.18.29 | Kiméne azért Pilátus ő hozzájok, és monda: Miben vádoljátok ez embert?
John.18.30 | Felelének és mondának néki: Ha e gonosztévő ember nem volna, nem adtuk volna őtet kezedbe.
John.18.31 | Monda azért nékik Pilátus: Vigyétek el ti őtet, és a ti törvénytek szerint itéljétek meg őtet. Mondának azért néki a Zsidók: Nékünk nem szabad senkit megölnünk.
John.18.32 | Hogy a Jézusnak beszéde bételnék, mellyet mondott vala, jelentvén azt, micsoda halállal kellene néki meghalni.
John.18.33 | Béméne azért Pilátus viszont a törvényházba, és szólitá Jézust, és monda néki: Te vagy-é a Zsidóknak ama Királyok?
John.18.34 | Felele néki Jézus: Te magadtól mondod-é ezt, vagy egyebek mondották néked én felőlem?
John.18.35 | Felele Pilátus: Nemde Zsidó vagyok-é én? A te néped és a Papifejedelmek adtak téged az én kezembe: Mit cselekedtél?
John.18.36 | Felele Jézus: Az én országom nem e világból való; ha e világból való volna az én országom, az én szolgáim vitézkednénke, hogy ne adatnám a Zsidóknak: most pedig, az én országom nincsen innét.
John.18.37 | Monda azért néki Pilátus: Király vagyok-é azért te? Felele Jézus: Te mondod, hogy én Király vagyok: én azért születtem, és azért jöttem e világra, hogy bizonyságot tégyek az igazságról. Valaki az igazságtól vagyon, hallgatja az én beszédemet.
John.18.38 | Monda néki Pilátus: Micsoda az igazság? És mikor ezt mondotta volna, ismét kiméne a Zsidókhoz, és monda nékik: Én ő benne semi bűnt nem találok.
John.18.39 | Néktek pedig szokástok, hogy egy foglyot kibocsássak néktek a Husvét Innepében, akarjátok-é azért, hogy elbocsássam néktek a Zsidóknak ama Királyokat?
John.18.40 | Kiáltának azért viszontag mindnyájan, mondván: Nem ezt, hanem Barabbást. Az a Barabbás pedig val tolvaj.

John.19.1 | Akkor azért Pilátus Jézust elő fogván, megostorozá.
John.19.2 | És a vitézek tövisből fonván koronát, tevék az ő fejébe, és bársony köntösbe öltözteték őtet.
John.19.3 | És mondának vala: Egésséggel Zsidóknak Királyok! És arczúl csapdossák vala őtet.
John.19.4 | Kiméne azért ismét Pilátus, és monda nékik: Ímé kihozom őtet néktek, hogy meglássátok hogy én semmi bűnt nem találok ő benne.
John.19.5 | Kiméne azért Jézus, hordozván a tövis koronát és a bársony köntöst, és monda nékik Pilátus: Ímhol az ember!
John.19.6 | Mikor azért látták volna őtet a Papifejedelmek, és a szolgák, kiáltnak vala, ezt mondván: Feszitsd meg! feszitsd meg! Monda nékik Pilátus: Vigyétek el ti őtet és feszitsétek meg: mert én nem találok ő benne bűnt.
John.19.7 | Felelének a Zsidók: Nékünk törvényünk vagyon, és a mi törvényünk szerint meg kell halnia; mert Isten Fijává tett magát.
John.19.8 | Mikor azért a beszédet hallotta volna Pilátus, inkább megrémüle.
John.19.9 | De ismét béméne a törvényházba, és monda Jézusnak: Honnét való vagy te? Jézus pedig nem felele néki.
John.19.10 | Monda azért néki Pilátus: Nékem nem szólasz-é? nem tudod-é hogy hatalmam vagyon arra, hogy megfeszitselek, és hatalmam vagyon arra, hogy elbocsássalak?
John.19.11 | Felele Jézus: Semmi hatalmad nem volna én ellenem, ha néked onnét felül nem adatott volna: annakokáért nagyobb büne vagyon annak, a ki engemet a te kezedbe adott.
John.19.12 | Attól fogva igekezik vala Pilátus őtet elszabaditani; a Zsidók pedig kiáltnak vala, mondván: Ha ezt elbocsátod, nem lészesz barátja a Császárnak: Valaki magát Királlyá teszi, ellene mond a Császárnak.
John.19.13 | Pilátus azért mikor hallotta volna e beszédet: kihozá Jézust és üle a törvénytevő székbe, a helyen, mely Lithóstrotosnak mondatik, zsidóul pedig Gabbathának.
John.19.14 | Vala pedig Husvétra való készüleetnek napja: mintegy hat óra pedig: akkor monda a Zsidóknak: Ímhol a ti Királyotok!
John.19.15 | Azok pedig kiáltnak vala: Vidd el, vidd el, feszitsd meg őtet. Monda nékik Pilátus: A ti Királyotokat feszitsem-é meg? Felelének a Papifejedelmek: Nincsen Királyunk, hanem Császárunk.
John.19.16 | Akkor azért adá nékik őtet, hogy megfeszittetnék. Vevék azért Jézust, és elvivék.
John.19.17 | És hordozván az ő keresztfáját, juta a helyre, mely Koponya helyének mondatik, zsidóul pedig Golgothának.
John.19.18 | Hol megfesziték őtet, és ő vele együtt más két embert, egyiket egy felől, másikat más felől, középben pedig Jézust.
John.19.19 | Megirá pedig Pilátus a titulust is, a keresztfára feltevé. E vala pedig az irás: NÁZÁRETBELI JÉZUS, A ZSIDÓKNAK AMA KIRÁLYOK.
John.19.20 | A titulust azért sokan olvasák a Zsidók közzűl: mert a város mellett vala a hely, a hol megfeszittetett vala Jézus. Iratott vala pedig zsidóul, görögűl és deákul.
John.19.21 | Mondnak vala azért Pilátusnak a Zsidók Papifejedelmei: Ne írd ezt: zsidóknak ama Királyok: hanem hogy ő mondotta: Zsidóknak Királyok vagyok.
John.19.22 | Felele Pilátus: A mit megirtam, megirtam.
John.19.23 | A vitézek azért, mikor megfeszitették volna Jézust, vevék az ő ruháit (és négy részre oszták, mindenik vitéznek egy részt) az ő köntösét is. Vala pedig az ő köntöse varrás nélkűl való, felitől fogva mindenestől szőtt.
John.19.24 | Mondának azért magokban: Ne hasogassuk ezt el, hanem vessünk sorsot reá kié legyen, hogy az Írás bételnék, melly ezt mondja: Megoszták ő köztök az én ruháimat, és az én köntösömre sorsot vetének. A vitézek azért ezeket mivelék.
John.19.25 | Állának vala pedig a Jézus keresztfája mellett az ő annya és az ő annyának nénnye. Mária Kleópé és Mária Magdaléna.
John.19.26 | Mikor azért látta volna Jézus az ő annyát, és a tanitványt, a kit szeret vala, ott állani, monda az ő annyának: Asszony, imhol a te fiad.
John.19.27 | Annakutánna monda a tanitványnak: Imhol a te anyád. És az órától fogva a tanitvány az asszonyt házába fogadá.
John.19.28 | Azután, tudván Jézus hogy immár mindenek elvégeztettek, hogy az Irás bételnék, monda: Szomjúhozom.
John.19.29 | Vala azért ott letéve egy edény eczettel teli: azok pedig spongyiát megtöltének eczettel, és iszóppal megrakván, az ő szájához vivék.
John.19.30 | Mikor azért elvette volna Jézus az eczetet, monda: Elvégeztetett minden. És lehajtván fejét, kibocsátá lelkét.
John.19.31 | A Zsidók annakokáért, hogy ne maradnának a keresztván a testek Szombaton, mivelhogy Innep esti vala, (mert annak a Szombatnak napja nagy Innep vala,) kérék Pilátust, hogy azoknak száraik megtöretnének, és levétetnének.
John.19.32 | Eljövének azért a vitézek, és az első latornak megtörék szárait, és a másiknak is, a ki megfeszittetett vala Jézussal.
John.19.33 | Jézusra pedig mikor jutottak volna, mikor látták volna, hogy ő megholt immár, nem törék meg az ő szárait.
John.19.34 | Hanem egy a vitézek közzűl dárdával megöklelé az ő oldalát, és mindjárt jöve ki belőle vér és viz.
John.19.35 | És a ki látta, bizonyságot tészen róla és igaz az ő tanubizonysága, az tudja hogy ő igazat mond, hogy ti is hidjetek;
John.19.36 | Mert ezek lettek azért, hogy az Irás bételjesednék: Egy is az ő tetemei közzűl úgymond meg ne rontassék.
John.19.37 | És imést más Irás ezt mondja: Meglátják azt, a kit általszegeztek.
John.19.38 | Ezek után pedig kéré Pilátust az Arimathiabeli József (ki a Jézus tanitványa vala: de titkon vala a Zsidóktól való félelem miatt) hogy a Jézus testét levenné, melyet megengede Pilátus. Elméne azért, és levevé a Jézus testét.
John.19.39 | Eljöve pedig Nikodémus is, (az a ki Jézushoz ment vala éjjel először), hozván mirhából és áloesből csináltatott drága kenetet, mintegy száz fontot.
John.19.40 | Vevék azért a Jézus testét, és bétakarák azt lepedőkkel, drága kenetekkel egybe, a mint szokások a Zsidóknak temetni.
John.19.41 | Azon a helyen pedig, a hol megfeszittetett vala Jézus, vala egy kert, és a kertben új koporsó, melyben senki még nem helyheztetett vala.
John.19.42 | Annakokáért, a Zsidóknak Innepjek estvéjéért, mivelhogy az a koporsó közel vala, abbe helyhezteték Jézust.

John.20.1 | A hétnek pedig első napján Mária Magdaléna elméne reggel, mikor még setét volna, a koporsóhoz; és látá, hogy a kő elvétetett volna a koporsóról.
John.20.2 | Elfuta azért és elméne Simon Péterhez, és ama másik tanitványhoz, a kit Jézus szeret vala, és monda nékik: Elvitték az Urat a koporsóból, és nem tudjuk hová tették őtet.
John.20.3 | Kiméne azért Péter, és ama másik tanitvány, és menének a koporsóhoz.
John.20.4 | Futnak vala pedig mindketten együtt; de ama másik tanitvány a futásban eleit vevé Péternek, és elébb juta a koporsóhoz.
John.20.5 | És lehajolván látá ott lenni a lepedőket, de nem méne bé.
John.20.6 | Elérkezék azért Simon Péter is őtet követvén, és béméne a koporsóba, és látá ott lenni a lepedőket.
John.20.7 | És a keszkenőt, melly az ő fején vala, nem a lepedőkkel letéve, hanem külön helyen egybetakarva.
John.20.8 | Akkor azért bémeéne ama másik tanitvány is, a ki előbb jutott vala a koporsóhoz, és látá és hitt;
John.20.9 | Mert nem tudják vala még az Irást, hogy fel kellene néki támadni a halálból.
John.20.10 | Megtérének azért a tanitványok az övéikhez.
John.20.11 | Mária pedig sirván áll vala a koporsón kivűl. Mikor azért sirna, lehajlá a koporsóba.
John.20.12 | És látá két Angyalokat fehér ruhában, kik közzűl egyik feje felől, a másik lábai felől ül vala, a hol a Jézus teste feküdt vala.
John.20.13 | Kik mondának néki: Asszony mit sirsz? Monda nékik: Elvitték az én Uramat, és nem tudom hová tették őtet.
John.20.14 | És mikor ezeket mondotta volna, hátrafordula, és látá Jézust állani, és nem tudja vala hogy Jézus volna.
John.20.15 | Monda néki Jézus: Asszony mit sirsz! Kit keressz? Amaz azt állitván, hogy a kertész volna, monda néki: Uram! ha te vitted el őtet, mond meg nékem, hová tetted és én elviszem őtet.
John.20.16 | Monda néki Jézus: Mária! Amaz hátrafordulván, monda néki: Rabbóni! azaz, Mester!
John.20.17 | Mond néki Jézus: Ne illess engemet: mert nem mentem még fel az én Atyámhoz; de menj el az én atyámfiaihoz, és mond meg nékik: Felmegyek az én Atyámhoz és a ti Atyátokhoz, az én Istenemhez és a ti Istentekhez.
John.20.18 | Elméne Mária Magdaléna hirdetvén a tanitványoknak, hogy ő látta az Urat, és hogy azokat mondotta volna néki.
John.20.19 | Mikor azért estve volna a hétnek azon első napján, és az ajtók bézárolva volnának, a hol a tanitványok egybegyültek vala a Zsidóktól való féltekben, eljöve Jézus, és megálla középben, és monda nékik: békesség néktek!
John.20.20 | És mikor ezeket mondotta volna, megmutatá nékik az ő kezeit és oldalát: Örvendezének azért a tanitványok, hogy látták volna az Urat.
John.20.21 | Monda azért ismét nékik: Békesség néktek! Miképen elbosátott engemet az Atya, a képen én is elbocsátlak titeket.
John.20.22 | És mikor ezeket mondotta volna, reájok lehelle, és monda nékik: Végyetek Szent Lelket!
John.20.23 | Valakiknek megbocsátjátok bűneiket, megbocsáttatnak nékik; a kiknek megtartjátok, megtartatnak.
John.20.24 | Tamás pedig egy a tizenkét tanitványok közzűl, ki mondatik Kettősnek, nem vala ő velek, mikor Jézus eljött vala.
John.20.25 | Mondának azért néki a több tanitványok: Látánk az Urat! Ő pedig monda nékik: Hanemha látándom az ő kezein a szegeknek helyeit, és bocsátándom az én ujjomat a szegek helyébe; és bocsátándom az én kezemet az ő oldalába, semmiképen nem hiszem!
John.20.26 | Azután azért nyolczadnappal ismét valának az ő tanitványai a házban ben, és Tamás is ő velek; eljöve Jézus ajtó bézárolva, és megálla középben, és monda: Békesség néktek!
John.20.27 | Azután monda Tamásnak: Hozd ide a te újjodat, és lásd az én kezeimet, és hozd ide a te kezedet, és bocsásd az én oldalamba, és ne légy hitetlen, hanem hivő.
John.20.28 | És felele Tamás, és monda néki: Én Uram! és én Istenem!
John.20.29 | Monda néki Jézus: Mivelhogy láttál engemet, Tamás, és hittél: boldogok a kik nem láttak és hittek.
John.20.30 | Sok több jelekeet is tett Jézus az ő tanitványai előtt, melyek e könyvben nem irattattak meg.
John.20.31 | Ezek pedig megirattattak, hogy hidjétek, hogy a Jézus Krisztus Istennek Fija, és hogy azt hivén, örök életet végyetek az ő neve által.

John.21.1 | Azután megjelentette magát ismét Jézus a tanitványoknak a Tibériás tengerénél; illyen módon jelentette pedig meg.
John.21.2 | Valának együtt Simon Péter, és Tamás, ki mondatik Kettősnek, és Nátánael, ki Galilea városából, Kánából való vala; és a Zebedeus fijai, és mások az ő tanitványai közzűl ketten.
John.21.3 | Monda nékik Simon Péter: Elmegyek halászni. Mondának néki: Mi is elmegyünk veled. Elmenének azért, és azonnal hajóba ülének, és azon az éjszakán semmit nem fogának.
John.21.4 | Mikor immár reggel volna, megálla Jézus a parton; mindazáltal nem esmérék meg a tanitványok, hogy Jézus volna.
John.21.5 | Monda azért nékik Jézus: Fiaim! vagyon-é valami ennetek való? Felelének néki: Nincsen.
John.21.6 | És ő monda nékik: Vessétek a hálót a hajón jobb felől, és találtok. Oda veték azért, és azt ki nem vonhatják vala a halaknak sokaságok miatt.
John.21.7 | Monda azért ama tanitvány, a kit Jézus szeret vala, Péternek: Az Úr ez! Simon Péter azért mikor hallotta volna, hogy az Úr volna, az ingét magára övedzé, (mert mezitelen vala) és bocsátá magát a tengerbe.
John.21.8 | A több tanitványok pedig hajón menének, (mert nem messze valának a földtől: hanem mintegy kétszáz singnyire) és vonszák vala a hálót halakkal tele.
John.21.9 | Minekutánna azért a földre szállának, láták, hogy szén volna, és a szénen felül hal, és kenyér.
John.21.10 | Monda nékik Jézus: Hozzatok elő a halakból, a mellyeket most fogtatok.
John.21.11 | Kijöve Simon Péter, és a hálót kivoná a földre, melly teli vala száz ötvenhárom nagy halakkal; és noha ennyi vala, mindazáltal nem szakadoza el a háló.
John.21.12 | Monda nékik Jézus: Jöjjetek el, ebédeljetek. A tanitványok közzűl pedig egy is nem meré őtet megkérdeni, ki vagy te? mivelhogy tudnák, hogy az Úr volna.
John.21.13 | Eljöve azért Jézus, és vevé a kenyeret, és adá nékik, és a halat hasonlatosképen.
