Mark.1.1 | Jézus Krisztusnak, az Isten Fijának Evangyéliomának kezdete.
Mark.15.4 | Pilátus pedig ismét megkérdé őtet, mondván: Nem felelsz-é semmit? Im melly sokat szólnak ellened.
Mark.15.5 | Jézus pedig semmit nem szóla többet, annyira, hogy Pilátus álmélkodnék rajta.
Mark.15.6 | Az innepen pedig szokott vala nékik egyet a foglyok közzűl elbocsátani, valamellyet akartak.
Mark.15.7 | Vala pedig egy Barabbás nevü, ki a háboruságtámasztókkal együtt megfogatott vala, kik a háboruságtámasztásban gyilkosságot cselekedtek vala.
Mark.15.8 | És a sokaság kiáltván, kezdé kérni Pilátust, hogy ugy cselekednék mint az előtt mindenkor szokott volna cselekedni nékik.
Mark.15.9 | Pilátus pedig felele nékik, mondván: Akarjátok-é, hogy elbocsássam néktek a Zsidóknak ama Királyokat?
Mark.15.10 | (Mert tudja vala, hogy irigységből adták volna kézbe őtet a Papifejedelmek.)
Mark.15.11 | A Papifejedelmek pedig felinditják a községet, hogy Barabbást bocsátaná el inkább nékik.
Mark.15.12 | És Pilátus ismét felelvén, monda nékik: Mit akartok tehát hogy cselekdjem ezzel, kit mondotok Zsidók Királyának.
Mark.15.13 | Azok pedig ismét felkiáltának: Feszitsd meg őtet!
Mark.15.14 | Pilátus pedig ezt mondja vala nékik Micsoda gonosz cselekdett? Azok pdig annál inkább kiáltanak vala! Feszitsd meg őtet!
Mark.15.15 | Pilátus pedig akarván a községnek kedvét keresni, elbocsátá nékik Barabbást, és Jézust mgostoroztatván, kézbe adá, hogy megfeszittetnék.
Mark.15.16 | A vitézek pedig bevivék őtet a palotába, melly a törvénytevő ház vala, és mind az egész sereget egybegyüjték.
Mark.15.17 | És bársonyba öltözteték őtet, és az ő fejébe tevének tövisből font koronát:
Mark.15.18 | És kezdék őtet köszönteni, mondván: Egésséggel Zsidóknak Királyok!
Mark.15.19 | És verik vala az ő fejét nádszállal, és pökdösik vala őtet és térdeket meghajtván, tisztelik vala őtet.
Mark.15.20 | És mikor eléggé csufolták volna őtet, levetkezteték a bársonyruhából, és felöltözteté a maga ruháiba: és kivivék, hogy megfeszitenék őtet.
Mark.15.21 | És kénszeriték a mellettek elmenő czireneus Simont (ki a mezőről jő vala, és Alexándernek és Rúfusnak attyok vala,) hogy elvinné a Jézus keresztfáját.
Mark.15.22 | És vivék őtet a Golgotának helyére, melly annyit tészen megmagyarázva, mint Kaponyának helye.
Mark.15.23 | És adának néki inni mirhával csináltatott bort; ő pedig nem ivék.
Mark.15.24 | És mikor megfeszitették volna őtet, megfoszták az ő ruháit, sorsot vetvén azokra, ki mennyi részt venne abban.
Mark.15.25 | Vala pedig három órakor, mikor megfesziték őtet.
Mark.15.26 | És az ő kárhoztatásának oka megiratott vala ilyen módon: EZ A ZSIDÓKNAK AMA KIRÁLYOK.
Mark.15.27 | Megfeszitének pedig ő vele két latrokat is, egyiket jobbkeze felől, a másikat balkeze felől.
Mark.15.28 | És bételék az Irás, mely ezt ondja: És a latrok közzé számláltaték.
Mark.15.29 | És a kik azon elmennek vala, shzidalmazzák vala őtet, az ő fejeket hajtogatván, és ezt mondván: Vah! ki elrontod a templomot és harmadnapra megépited.
Mark.15.30 | Tartsd meg magadat, és szállj le a keresztfáról.
Mark.15.31 | Hasonlatosképen pedig a Papifejedelmek is csufolván, ezt mondják vala egyik a másiknak, az Irástudókkal egybe: Egyebeket megtartott, magát nem tarthatja meg.
Mark.15.32 | Ama Krisztus az Izráelnek Királya szálljon le most a keresztfáról, hogy lássuk és hidjük. A kik megfeszittettek vala is ő vele, azok is szidalommal illetik vala őtet.
Mark.15.33 | És mikor eljöt volna a hat óra, setétség lőn az egész tartományban, mind kilencz órakorig.
Mark.15.34 | És kilencz órakor kiálta Jézus nagy felszóval, ondván: Eloi, Eloi, Lamma Sabaktani! melly annyit tészen megmagyarázva, mint: Én Istenem, én Istenem, miért hagyál el engemet?
Mark.15.35 | Némellyek pedig az ott állók közzűl, mikor hallották volna az ő szavát mondának: Ímé Illyést hivja.
Mark.15.36 | Oda futamodék pedig egy ember, és spongyiát megtöltvén eczettel, és azt nádszálra függesztvén inni ada néki, mondván: Hagyjatok békét néki: lássuk ha eljő-é Illyés, hogy őtet levegye:
Mark.15.37 | Jézus pedig nagy felszóval kiálván, meghala.
Mark.15.38 | És a templom kárpitja két felé hasada a felitől fogva mind az alsó részéig.
Mark.15.39 | És mikor látta volna a Százados, ki néki ellenében áll vala, hogy ő felszóval kiáltva holt volna meg, monda: Bizony, ez ember Istennek Fija vala.
Mark.15.40 | Valának pedig asszonyok is kik távol nézik vala őtet, kik között vala Mária Magdaléna, és Mária a kissebb Jakabnak, és Jósénak annyok, és Salómé.
Mark.15.41 | Kik követték vala őtet és szolgáltak vala néki, még mikor Galileában volna is, és más asszonyok, kik vele felmentek vala Jérusálembe.
Mark.15.42 | És mikor immár estve vala, (mivelhogy Innep esti vala, azaz Szombat előtt való nap.)
Mark.15.43 | Az Arimathiából való József ki tisztességes és Tanácsbeli ember vala, ki is Istennek országát várja vala, eljövén nagy bátorsággal béméne Pilátushoz, és megkéré Jézusnak testét.
Mark.15.44 | Pilátus pedig csudálkozék rajta, ha már megholt volna: és a Századost előszólitván, megkérdé, ha régen holt volna é meg?
Mark.15.45 | És megértvén a dolgot a Századostól Józsefnek megadá a Jézus testét.
Mark.15.46 | József pedig vőn gyolcsot és levévén Jézust a fáról, bétakará a gyolcsba és helyhezteté a koporsóba, melly kősziklából vágattatot vala; és nagy követ tőn a koporsónak szájára.
Mark.15.47 | Mária Magdaléna pedig, és Mária Josénak annya nézik vala a hová tétetnék.

Mark.16.1 | És mikor elmult volna a Szombat, Mária Magdaléna és a Jakab annya Mária és Salómé, vőnek drága keneteket, hogy elmenvén megkennék őtet.
Mark.16.2 | Annakokáért nagy reggel a hétnek első napján manének a koporsóhoz, mikor immár a nap felkölt volna.
Mark.16.3 | És mondanak vala magok közt: Kicsoda veszi el nékünk a követ a koporsó szájáról?
Mark.16.4 | És oda tekintvén, láták hogy a kö elvétetett volna: mert felette igen nagy vala.
Mark.16.5 | Bémenvén azért a koporsóba, látának egy ifjat ülni jobbfelől: ki fejér ruhába öltöztetett vala: és megrémülének.
Mark.16.6 | És az monda nékik: Ne féljetek: Ama Názáretbeli Jézust keresitek, a ki megfeszittetee vala; feltámadott, nincsen itt; imhol a hely, a hol helyhezteték vala őtet.
Mark.16.7 | De menjetek el, és mondjátok meg az ő tanitványinal és Péternek, hogy ő előttetek megyen Galileába, ott őtet meglátjátok, a mint megmondotta néktek.
Mark.16.8 | És nagy hamar elmenvén, elfutának a kporsótól: mert a félelem és álmélkodás elfogta vala őket, és senkinek semmit nem szólnak vala: mert félnek vala.
Mark.16.9 | És mikor feltámadott volna Jézus, reggel, a hétnek első napján, megjelenék először Mária Magdalénának, kiből hét ördögöt úzött vala ki.
Mark.16.10 | És az elmenvén, tudtokra adá azoknak, a kik Jézussal voltak, mikor csak kesergenének és sirnának.
Mark.16.11 | Azok pedig mikor hallották volna hogy ő élne, és láttatott volna ő tőle, nem hivék:
Mark.16.12 | Azután pedig, idegen ábrázatban megjelenék kettőnek ő közzűlök, mikor útra indulván mezőre mennének.
Mark.16.13 | Azok is elmenének, és tudtokra adák a többinek, kik azoknak is nem hivének
Mark.16.14 | Utolszor mikor ők tizenegyen együtt ülnének, megjelenté magát nékik és az ő hitetlenségeket és sziveknek keménységet szemekre hányá, hogy akik látták volna őtet feltámadottnak lenni, azoknak nem hittek volna.
Mark.16.15 | És monda nékik: Elmenvén mind e széles világra, prédikáljatok az Evangyéliomot minden minden teremtett állatnak.
Mark.16.16 | A ki héjend és megkeresztelkedéndik, idvezül, a ki pedig nem hijend, elkárhozik.
Mark.16.17 | Azokat pedig, a kik héjendenek, illyen jelek követik: Az én nevem által ördögöket üznek; uj nyelveken szólnak.
Mark.16.18 | Kigyókat vesznek fel: és ha valami mérges állatot isznak meg; nékik nem árt: betegekre vetik kezeiket, és meggyógyulnak.
Mark.16.19 | Az Úr annakokáért minekutánna szólott volna nékik, felviteték mennybe, és üle az Istennek jobbjára.
Mark.16.20 | Azok pedig kimenvén, prédikálnak mindenütt, az Úr együtt cselekedvén ő velek, és az ő beszédeket erősitvén a jelek által, mellyek azokat követik vala.
