Exod.1.1 | Ezek pedig az Izráel fiainak nevei, a kik Jákóbbal Égyiptomba menének; kiki az ő házanépével méne:
Exod.21.15 | A ki megveri az ő atyját vagy anyját, halállal lakoljon.
Exod.21.16 | A ki embert lop, és eladja azt, vagy kezében kapják, halállal lakoljon.
Exod.21.17 | A ki szidalmazza az ő atyját vagy anyját, halállal lakoljon.
Exod.21.18 | És ha férfiak összevesznek, és megüti valaki az ő felebarátját kővel vagy öklével, és nem hal meg, hanem ágyba esik:
Exod.21.19 | Ha felkél, és mankóján kinn jár: ne legyen büntetve az, a ki megütötte; csupán fekvéséért fizessen és gyógyíttassa meg.
Exod.21.20 | Ha pedig valaki úgy üti meg szolgáját vagy szolgálóját bottal, hogy az meghal keze alatt, büntettessék meg.
Exod.21.21 | De ha egy vagy két nap életben marad, ne büntettessék meg, mert pénze [ára] az.
Exod.21.22 | Ha férfiak veszekednek és meglöknek valamely terhes asszonyt, úgy hogy idő előtt szűl, de [egyéb] veszedelem nem történik: bírságot fizessen a szerint, a mint az asszony férje azt reá kiveti, de bírák előtt fizessen.
Exod.21.23 | De ha veszedelem történik: akkor életért életet adj.
Exod.21.24 | Szemet szemért, fogat fogért, kezet kézért, lábat lábért;
Exod.21.25 | Égetést égetésért, sebet sebért, kéket kékért.
Exod.21.26 | Ha valaki az ő szolgájának szemét, vagy szolgálójának szemét úgy üti meg, hogy elpusztul, bocsássa azt szabadon az ő szeméért.
Exod.21.27 | Ha pedig szolgájának fogát, vagy szolgálójának fogát üti ki, bocsássa azt szabadon az ő fogáért.
Exod.21.28 | Ha férfit vagy asszonyt öklel meg egy ökör, úgy hogy meghal: kővel köveztessék meg az ökör, és húsát meg ne egyék; de az ökörnek ura ártatlan.
Exod.21.29 | De ha az ökör azelőtt is öklelős volt, és annak urát megintették, és még sem őrizte azt, és férfit vagy asszonyt ölt meg: az ökör köveztessék meg, és az ura is halállal lakoljon.
Exod.21.30 | Ha pénzváltságot vetnek reá, fizessen lelke váltságáért annyit, a mennyit reá kivetnek.
Exod.21.31 | Akár fiút ökleljen meg, akár leányt ökleljen meg: e szerint a rendelet szerint kell cselekedni.
Exod.21.32 | Ha szolgát öklel meg az ökör vagy szolgálót: adassék azok urának harmincz ezüst siklus, az ökör pedig köveztessék meg.
Exod.21.33 | Ha pedig valaki vermet nyit meg, vagy ha valaki vermet ás, és nem fedi azt be, és ökör vagy szamár esik bele:
Exod.21.34 | A verem ura fizessen; pénzül térítse meg azok urának, a hulla pedig legyen az övé.
Exod.21.35 | És ha valakinek ökre megdöfi az ő felebarátja ökrét, úgy hogy az elpusztul: adják el az eleven ökröt, és az árát osszák meg, és a hullát is osszák el.
Exod.21.36 | Vagy ha tudták, hogy az ökör már azelőtt öklelős volt, és nem őrizte azt annak ura: fizessen ökröt az ökörért, a hulla pedig az övé legyen.

Exod.22.1 | Ha valaki ökröt vagy bárányt lop, és levágja vagy eladja azt: öt barmot fizessen egy ökörért, és négy juhot egy bárányért.
Exod.22.2 | Ha ház-fölverésen kapják a tolvajt, és [úgy] megverik, hogy meghal, nincs vérbűn miatta.
Exod.22.3 | Ha reá sütött a nap, vérbűn van miatta: fizessen; ha nincs néki: adassék el tolvajságáért.
Exod.22.4 | Ha elevenen kapják kezében a lopott jószágot, akár ökör, akár szamár, akár juh: két annyit fizessen érette.
Exod.22.5 | Ha valaki mezőt vagy szőlőt étet le, úgy hogy barmát elereszti, és az a más mezején legel: mezejének javából és szőlőjének javából fizesse meg a kárt.
Exod.22.6 | Ha tűz támad, és tövisbe kap, és megég az asztag, vagy a lábon álló gabona, vagy a mező: fizesse meg a kárt, a ki a tüzet gyujtotta.
Exod.22.7 | Ha valaki pénzt vagy edényeket ád felebarátjának megőrzés végett, és ellopják annak a férfiúnak házából: ha megtalálják a tolvajt, fizessen kétannyit.
Exod.22.8 | Ha nem találják meg a tolvajt, a ház urát vigyék a bírák eleibe: hogy nem nyújtotta-é ki kezét az ő felebarátja vagyonára.
Exod.22.9 | Akármi bűn dolgában, akár ökör, akár szamár, akár juh, akár ruha, akármi elveszett jószág az, a miről azt mondja: ez az; mindkettőjük ügye a bírák eleibe menjen, és a kit a bírák bűnösnek mondanak, fizessen két annyit az ő felebarátjának.
Exod.22.10 | Ha valaki szamarat, vagy ökröt, vagy bárányt, vagy akármiféle barmot ád az ő felebarátja gondviselése alá, és az elhull, vagy megsérül, vagy elhajtatik, úgy hogy senki sem látta:
Exod.22.11 | Az Úrra való esküvés legyen kettejök közt, hogy nem nyújtotta-é ki kezét felebarátja vagyonára; és ezt fogadja el annak ura, és az semmit se fizessen.
Exod.22.12 | Ha pedig ellopták tőle: megfizesse az urának.
Exod.22.13 | Ha széttépetett, hozza el azt bizonyságul; a széttépettet nem fizeti meg.
Exod.22.14 | Ha pedig valaki kölcsön kér az ő felebarátjától, és az megsérül vagy elhull urának távollétében: fizesse meg a kárt.
Exod.22.15 | Ha ura vele van, nem fizet; ha bérbe adatott, bérébe megy.
Exod.22.16 | Ha valaki hajadont csábít el, a ki nincs eljegyezve, és vele hál: jegyajándékkal jegyezze azt el magának feleségül.
Exod.22.17 | Ha annak atyja nem akarja azt néki adni: annyi pénzt adjon, a mennyi a hajadonok jegyajándéka.
Exod.22.18 | Varázsló asszonyt ne hagyj életben.
Exod.22.19 | A ki barommal közösül, halállal lakoljon.
Exod.22.20 | A ki isteneknek áldozik, nem csupán az Úrnak, megölettessék.
Exod.22.21 | A jövevényen ne hatalmaskodjál, és ne nyomorgasd azt, mert jövevények voltatok Égyiptom földén.
Exod.22.22 | Egy özvegyet vagy árvát se nyomorítsatok meg.
Exod.22.23 | Ha nyomorgatod azt, és hozzám kiált, meghallgatom az ő kiáltását.
Exod.22.24 | És felgerjed haragom, és megöllek titeket fegyverrel, és a ti feleségeitek özvegyekké lésznek, a ti fiaitok pedig árvákká.
Exod.22.25 | Ha pénzt adsz kölcsön az én népemnek, a szegénynek a ki veled van; ne légy hozzá olyan, mint a hitelező; ne vessetek reá uzsorát.
Exod.22.26 | Ha zálogba veszed a te felebarátod felső ruháját: naplemente előtt visszaadd azt néki:
Exod.22.27 | Mert egyetlen takarója, testének ruhája az: miben háljon? Bizony, ha én hozzám kiált, meghallgatom; mert én irgalmas vagyok.
Exod.22.28 | A bírákat ne szidalmazd, és néped fejedelmét ne átkozd.
Exod.22.29 | Gabonáddal és boroddal ne késlekedjél; fiaid elsőszülöttét nékem add.
Exod.22.30 | Hasonlóképen cselekedjél ökröddel, juhoddal; hét napig legyen az ő anyjával, a nyolczadik napon nékem add azt.
Exod.22.31 | És szent emberek legyetek én előttem; a mezőn széttépett húst meg ne egyétek; az ebnek vessétek azt.

Exod.23.1 | Hazug hírt ne hordj; ne fogj kezet a gonoszszal, hogy hamis tanú [ne] légy.
Exod.23.2 | Ne indulj a sokaság után a gonoszra, és peres ügyben ne vallj a sokasággal tartva, annak elfordítására.
Exod.23.3 | Szegénynek se kedvezz az ő peres ügyében.
Exod.23.4 | Ha előltalálod ellenséged eltévedt ökrét vagy szamarát: hajtsd vissza néki.
Exod.23.5 | Ha látod, hogy annak a szamara, a ki téged gyűlöl, a teher alatt fekszik, vigyázz, rajta ne hagyd; oldd le azt ő vele együtt.
Exod.23.6 | A te szegényednek igazságát el ne fordítsd az ő perében.
Exod.23.7 | A hazug beszédtől távol tartsd magad, és az ártatlant s az igazat meg ne öld; mert én nem adok igazat a gonosznak.
Exod.23.8 | Ajándékot el ne végy: mert az ajándék megvakítja a szemeseket, és elfordítja az igazak ügyét.
Exod.23.9 | A jövevényt ne nyomorgasd; hiszen ti ismeritek a jövevény életét, mivelhogy jövevények voltatok Égyiptom földén.
Exod.23.10 | Hat esztendeig vesd be a te földedet és takard be annak termését;
Exod.23.11 | A hetedikben pedig pihentesd azt, és hagyd úgy, hogy egyék meg a te néped szegényei; a mi pedig ezektől megmarad, egye meg a mezei vad. E képen cselekedjél szőlőddel és olajfáddal is.
Exod.23.12 | Hat napon át végezd dolgaidat, a hetedik napon pedig nyúgodjál, hogy nyúgodjék a te ökröd és szamarad, és megpihenjen a te szolgálód fia és a jövevény.
Exod.23.13 | Mindazt, a mit néktek mondtam, megtartsátok, és idegen istenek nevét ne emlegessétek; ne hallassék az a te szádból.
Exod.23.14 | Háromszor szentelj nékem innepet esztendőnként.
Exod.23.15 | A kovásztalan kenyér innepét tartsd meg; hét nap egyél kovásztalan kenyeret, a mint megparancsoltam néked, az Abib hónap ideje alatt; mert akkor jöttél ki Égyiptomból: és üres [kézzel senki] se jelenjék meg színem előtt.
Exod.23.16 | És az aratás innepét, munkád zsengéjét, a melyet elvetettél a mezőn; és a takarodás innepét az esztendő végén, a mikor termésedet betakarítod a mezőről.
Exod.23.17 | Esztendőnként háromszor jelenjék meg minden férfiad az Úr Isten színe előtt.
Exod.23.18 | Ne ontsd ki az én áldozatom vérét kovászos kenyér mellett, és ünnepi [áldozatom] kövére meg ne maradjon reggelig.
Exod.23.19 | A te földed zsengéjének elsejét vidd el a te Uradnak Istenednek házába. Ne főzd meg a gödölyét az ő anyjának tejében.
Exod.23.20 | Ímé én Angyalt bocsátok el te előtted, hogy megőrízzen téged az útban, és bevigyen téged arra a helyre, a melyet elkészítettem.
Exod.23.21 | Vigyázz magadra előtte, és hallgass az ő szavára; meg ne bosszantsd őt, mert nem szenvedi el a ti gonoszságaitokat; mert az én nevem van ő benne.
Exod.23.22 | Mert ha hallgatándasz az ő szavára; és mindazt megcselekedénded, a mit mondok: akkor ellensége lészek a te ellenségeidnek, és szorongatom a te szorongatóidat.
Exod.23.23 | Mert az én Angyalom te előtted megyen és beviszen téged az Emoreusok, Khitteusok, Perizeusok, Kananeusok, Khivveusok és Jebuzeusok közé, és kiirtom azokat.
Exod.23.24 | Ne imádd azoknak isteneit és ne tiszteld azokat, és ne cselekedjél az ő cselekedeteik szerint; hanem inkább döntögesd le azokat és tördeld össze bálványaikat.
Exod.23.25 | És szolgáljátok az Urat a ti Istenteket, akkor megáldja a te kenyeredet és vizedet; és eltávolítom ti közűletek a nyavalyát.
Exod.23.26 | El sem vetél, meddő sem lesz a te földeden [semmi]; napjaid számát teljessé teszem.
Exod.23.27 | Az én rettentésemet bocsátom el előtted, és minden népet megrettentek, a mely közé mégy, és minden ellenségedet elfutamtatom előtted.
Exod.23.28 | Darazsat is bocsátok el előtted, és kiűzi előled a Khivveust, Kananeust és Khitteust.
Exod.23.29 | De nem egy esztendőben űzöm őt ki előled, hogy a föld pusztává ne legyen, és meg ne sokasodjék ellened a mezei vad.
Exod.23.30 | Lassan-lassan űzöm őt ki előled, míg megszaporodol és bírhatod a földet.
Exod.23.31 | És határodat a veres tengertől a Filiszteusok tengeréig vetem, és a pusztától fogva a folyóvízig: mert kezeitekbe adom annak a földnek lakosait, és kiűzöd azokat előled.
Exod.23.32 | Ne köss szövetséget se azokkal, se az ő isteneikkel.
Exod.23.33 | Ne lakjanak a te földeden, hogy bűnbe ne ejtsenek téged ellenem: mert ha az ő isteneiket szolgálnád, vesztedre lenne az néked.

Exod.24.1 | És monda Mózesnek: Jőjj fel az Úrhoz te és Áron, Nádáb és Abihu, és az Izráel vénei közül hetvenen, és hajtsátok meg magatokat [előtte] távolról.
Exod.24.2 | És csak Mózes közeledjék az Úrhoz, amazok pedig ne közeledjenek, és a nép se jőjjön fel vele.
Exod.24.3 | Elméne azért Mózes, és elbeszélé a népnek az Úr minden beszédét és minden rendelését; az egész nép pedig egyező szóval felele, mondván: Mindazokat a dolgokat, a melyeket az Úr parancsolt, megcselekeszszük.
Exod.24.4 | Mózes pedig felírá az Úrnak minden beszédét, és felkele reggel és oltárt építe a hegy alatt, és tizenkét oszlopot, az Izráel tizenkét nemzetsége szerint.
Exod.24.5 | Azután elküldé az Izráel fiainak ifjait, és áldozának égő áldozatokat, és hálaáldozatul tulkokat ölének az Úrnak.
Exod.24.6 | Mózes pedig vevé a vérnek felét, és tölté a medenczékbe: a vérnek másik felét pedig az oltárra hinté.
Exod.24.7 | Azután vevé a szövetség könyvét, és elolvasá a nép hallatára; azok pedig mondának: Mindent megteszünk, a mit az Úr parancsolt, és engedelmeskedünk.
Exod.24.8 | Mózes pedig vevé a vért, és ráhinté a népre, és monda: Ímé a szövetségnek vére, melyet az Úr kötött ti veletek, mindama beszédek szerint.
Exod.24.9 | Azután felméne Mózes és Áron, Nádáb és Abihu, és az Izráel vénei közül hetvenen;
Exod.24.10 | És láták az Izráel Istenét, és annak lábai alatt valami zafir fényű tárgy vala, és olyan tiszta, mint maga az ég.
Exod.24.11 | És Izráel fiainak [e] választottjaira nem bocsátá kezét: jóllehet látták az Istent, mindazáltal ettek és ittak is.
Exod.24.12 | És szóla az Úr Mózesnek: Jőjj fel én hozzám a hegyre és maradj ott. És átadom néked a kőtáblákat, és a törvényt és a parancsolatot, a melyeket írtam, hogy azokra megtaníttassanak.
Exod.24.13 | Felkele azért Mózes és az ő szolgája Józsué, és felméne Mózes az Isten hegyére.
Exod.24.14 | A véneknek pedig monda: Várjatok itt reánk, míg visszatérünk hozzátok: Ímé Áron és Húr veletek [vannak]; a kinek valami ügye van, ő hozzájok menjen.
Exod.24.15 | Akkor felméne Mózes a hegyre; és felhő borítá el a hegyet.
Exod.24.16 | És az Úr dicsősége szálla alá a Sinai hegyre, és felhő borítá azt hat napon át; a hetedik napon pedig szólítá Mózest a felhő közepéből.
Exod.24.17 | Az Úr dicsőségének jelensége pedig olyan vala az Izráel fiainak szeme előtt, mint emésztő tűz, a hegy tetején.
Exod.24.18 | És beméne Mózes a felhő közepébe, és felméne a hegyre, és negyven nap és negyven éjjel vala Mózes a hegyen.

Exod.25.1 | És szóla az Úr Mózeshez, mondván:
Exod.25.2 | Szólj az Izráel fiainak, hogy szedjenek nékem ajándékokat; minden embertől, a kit szíve hajt arra, szedjetek nékem ajándékokat.
Exod.25.3 | Ez pedig az az ajándék, a mit tőlök szedjetek: arany és ezüst és réz.
Exod.25.4 | És kék, és bíborpiros, és karmazsinszinű [fonal], meg len [fonal,] és kecskeszőr.
Exod.25.5 | És veresre festett kosbőrök, és borzbőrök, és sittim-fa.
Exod.25.6 | Mécsbe való olaj, kenet-olajhoz való arómák, és füstöléshez való fűszerek.
Exod.25.7 | Ónix-kövek és foglalni való kövek, az efódhoz és a hósenhez.
Exod.25.8 | És készítsenek nékem szent hajlékot, hogy ő közöttök lakozzam.
Exod.25.9 | Mindenestől úgy csináljátok, a mint én megmutatom néked a hajléknak formáját, és annak minden edényeinek formáját.
Exod.25.10 | És csináljanak egy ládát sittim-fából; harmadfél sing hosszút, másfél sing széleset, és másfél sing magasat.
Exod.25.11 | Borítsd meg azt tiszta aranynyal, belől is kivül is megborítsd azt, és csinálj reá köröskörűl arany pártázatot.
Exod.25.12 | És önts ahhoz négy arany karikát, és illeszd [azokat] a négy szegeletére; egyik oldalára is két karikát, a másik oldalára is két karikát.
Exod.25.13 | Csinálj rúdakat is sittim-fából, és azokat is megborítsd arannyal.
Exod.25.14 | És a rúdakat dugd a láda oldalain levő karikákba, hogy azokon hordozzák a ládát.
Exod.25.15 | A rúdak álljanak a láda karikáiban; ne vegyék ki azokból.
Exod.25.16 | És a bizonyságot, a melyet néked adok, tedd a ládába.
Exod.25.17 | Csinálj fedelet is tiszta aranyból: harmadfél sing hosszút, és másfél sing széleset.
Exod.25.18 | Csinálj két Kérubot is aranyból, vert [arany]ból csináld azokat a fedélnek két végére.
Exod.25.19 | Az egyik Kérubot csináld az egyik végére innen, a másik Kérubot a másik végére onnan: a fedélből csináljátok ki a Kérubokat annak két végén.
Exod.25.20 | A Kérubok pedig terjeszszék ki szárnyaikat fölfelé, betakarva szárnyaikkal a fedelet; arczaik egymásfelé legyenek; a Kérubok arczai a fedél felé forduljanak.
Exod.25.21 | A fedelet pedig helyezd a ládára felül, a ládába pedig tedd a bizonyságot, a melyet adok néked.
Exod.25.22 | Ott jelenek meg néked, és szólok hozzád a fedél tetejéről, a két Kérub közül, melyek a bizonyság ládája felett vannak, mindazokról, a miket általad parancsolok az Izráel fiainak.
Exod.25.23 | Csinálj asztalt is sittim-fából, két sing hosszút, egy sing széleset, és másfél sing magasat.
Exod.25.24 | És borítsd be azt tiszta aranynyal, és csinálj reá köröskörül arany pártázatot.
Exod.25.25 | Csinálj reá köröskörűl egy tenyérnyi karájt, karajára pedig csinálj köröskörűl arany pártázatot.
Exod.25.26 | Négy arany karikát is csinálj hozzá, és illeszd a karikákat a négy lábának négy szegletére.
Exod.25.27 | A karáj mellett legyenek a karikák rúdtartókul, hogy hordozhassák az asztalt.
Exod.25.28 | Azokat a rúdakat is sittim-fából csináld és aranynyal borítsd be, és azokon hordozzák az asztalt.
Exod.25.29 | Készítsd el tálait is, csészéit is, kancsóit is, kelyheit is, a melyekkel italáldozatot áldoznak; tiszta aranyból csináld azokat.
Exod.25.30 | És tégy az asztalra szent kenyeret, [mely] mindenkor előttem [legyen].
Exod.25.31 | Csinálj gyertyatartót is tiszta aranyból; vert [arany]ból készüljön a gyertyatartó; annak szára, ága csészéi, gombjai és virágai ugyanabból legyenek.
Exod.25.32 | Hat ág jőjjön ki oldalaiból; három gyertyatartó-ág az egyik oldalból, és három gyertyatartó-ág a másik oldalból.
Exod.25.33 | Mandolavirág formájú három csésze az egyik ágon, gombbal és virággal; és mandolavirág formájú három csésze a másik ágon is, gombbal és virággal; így legyen a gyertyatartóból kijövő mind a hat ágon.
Exod.25.34 | A gyertyatartón pedig négy mandolavirág formájú csésze legyen, gombjaival és virágaival.
Exod.25.35 | Gomb legyen a belőle [kijövő] két ág alatt; ismét gomb a belőle [kijövő] két ág alatt, és ismét gomb a belőle [kijövő] két ág alatt: [így] a gyertyatartóból kijövő [mind] a hat ág alatt.
Exod.25.36 | Gombjaik és ágaik magából legyenek; egy darab tiszta aranyból legyen verve az egész.
Exod.25.37 | Csinálj hozzá hét mécset is, és úgy rakják fel mécseit, hogy előre világítsanak.
Exod.25.38 | Hamvvevői és hamutartói is tiszta aranyból legyenek.
Exod.25.39 | Egy tálentom tiszta aranyból csinálják azt, mindezeket az eszközöket.
Exod.25.40 | Vigyázz, hogy arra a formára csináld, a mely a hegyen mutattatott néked.

Exod.26.1 | A hajlékot pedig tíz kárpitból csináld: sodrott lenből, és kék, és bíborpiros, és karmazsin színűből, Kérubokkal, mestermunkával készítsd azokat.
Exod.26.2 | Egy-egy kárpit hossza huszonnyolcz sing legyen, egy-egy kárpit szélessége pedig négy sing; egy mértéke legyen mindenik kárpitnak.
Exod.26.3 | Öt kárpit legyen egymással egybefoglalva, ismét öt kárpit egymással egybefoglalva.
Exod.26.4 | És csinálj hurkokat kék lenből az egyik kárpit szélén, a mely az egybefoglaltak között szélről van; ugyanezt csináld a szélső kárpit szélével a másik egybefoglalásban is.
Exod.26.5 | Ötven hurkot csinálj az egyik kárpiton; ötven hurkot csinálj ama kárpit szélén is, a mely a másik egybefoglalásban van; egyik hurok a másiknak általellenében legyen.
Exod.26.6 | Csinálj ötven arany horgocskát is, és e horgocskákkal foglald össze egyik kárpitot a másikkal, hogy a hajlék egygyé legyen.
Exod.26.7 | Ezután csinálj kecskeszőr kárpitokat sátorul a hajlék fölé; tizenegy kárpitot csinálj ilyet.
Exod.26.8 | Egy kárpit hossza harmincz sing legyen, szélessége pedig egy kárpitnak négy sing; egy mértéke legyen a tizenegy kárpitnak.
Exod.26.9 | És foglald egybe az öt kárpitot külön, és a hat kárpitot külön; a hatodik kárpitot pedig kétrét hajtsd a sátor elejére.
Exod.26.10 | És csinálj ötven hurkot az egyik kárpit szélén, a mely az egybefoglaltak között szélről van; és ötven hurkot a kárpit szélén a másik egybefoglalásban is.
Exod.26.11 | Csinálj ötven rézhorgocskát is, és akaszd a horgocskákat a hurkokba, és foglald egybe a sátort, hogy egygyé legyen.
Exod.26.12 | A sátor kárpitjának fölösleges része, a fölösleges kárpitnak fele csüggjön alá a hajlék hátulján.
Exod.26.13 | Egy singnyi pedig egyfelől, és egy singnyi másfelől, abból, a mi a sátor kárpitjainak hosszában fölösleges, bocsáttassék alá a hajlék oldalain egyfelől is, másfelől is, hogy befedje azt.
Exod.26.14 | Csinálj a sátornak takarót is veresre festett kosbőrökből, és e fölé is egy takarót borzbőrökből.
Exod.26.15 | Csinálj a hajlékhoz deszkákat is sittim-fából, felállogatva.
Exod.26.16 | A deszka hossza tíz sing legyen; egy-egy deszka szélessége pedig másfél sing.
Exod.26.17 | Egy-egy deszkának két csapja legyen, egyik a másiknak megfelelő; így csináld a hajlék minden deszkáját.
Exod.26.18 | A deszkákat pedig így csináld a hajlékhoz: húsz deszkát a déli oldalra, délfelé.
Exod.26.19 | A húsz deszka alá pedig negyven ezüst talpat csinálj, két talpat egy-egy deszka alá, annak két csapjához képest; megint két talpat egy-egy deszka alá, a két csapjához képest.
Exod.26.20 | A hajlék másik oldalául is, észak felől húsz deszkát.
Exod.26.21 | És azokhoz is negyven ezüst talpat; két talpat egy deszka alá, megint két talpat egy deszka alá.
Exod.26.22 | A hajlék nyugoti oldalául pedig csinálj hat deszkát.
Exod.26.23 | A hajlék szegleteiül is csinálj két deszkát a két oldalon.
Exod.26.24 | Kettősen legyenek alólról kezdve, felül pedig együtt legyenek egy karikába foglalva; ilyen legyen mindkettő; a két szeglet számára legyenek.
Exod.26.25 | Legyen azért nyolcz deszka, és azokhoz tizenhat ezüst talp; két talp egy deszka alatt, megint két talp egy deszka alatt.
Exod.26.26 | Csinálj reteszrúdakat is sittim-fából; ötöt a hajlék egyik oldalának deszkáihoz.
Exod.26.27 | És öt reteszrúdat a hajlék másik oldalának deszkáihoz; és a hajlék nyugoti oldalának deszkáihoz is öt reteszrúdat hátulról.
Exod.26.28 | A középső reteszrúd pedig a deszkák közepén az egyik végtől a másik végig érjen.
Exod.26.29 | A deszkákat pedig borítsd meg aranynyal, és karikákat is aranyból csinálj azokhoz a reteszrúdak tartói gyanánt; a reteszrúdakat is megborítsd aranynyal.
Exod.26.30 | A hajlékot pedig azon a módon állítsd fel, a mint néked a hegyen mutattatott.
Exod.26.31 | És csinálj függönyt, kék, és bíborpiros, és karmazsinszínű, és sodrott lenből; Kérubokkal, mestermunkával készítsék azt.
Exod.26.32 | És tedd azt sittim-fából való, aranynyal borított négy oszlopra, a melyeknek horgai aranyból legyenek, négy ezüst talpon.
Exod.26.33 | És tedd a függönyt a horgok alá, és vidd oda a függöny mögé a bizonyság ládáját és az a függöny válaszsza el néktek a szent helyet a szentek szentjétől.
Exod.26.34 | Azután tedd rá a fedelet a bizonyság ládájára a szentek szentjébe.
Exod.26.35 | Az asztalt pedig helyezd a függönyön kívül, és a gyertyatartót az asztal ellenébe, a hajlék déli oldalába; az asztalt pedig tedd az északi oldalba.
Exod.26.36 | És csinálj leplet a sátor nyilására is, kék, és bíborpiros, és karmazsinszínű, és sodrott lenből, hímzőmunkával.
Exod.26.37 | A lepelhez pedig csinálj öt oszlopot sittim-fából, és borítsd meg azokat aranynyal; azoknak horgai aranyból [legyenek], és önts azokhoz öt réztalpat.

Exod.27.1 | És csináld az oltárt sittim-fából, öt sing a hossza, és öt sing a szélessége; négyszegű legyen az oltár, és magassága három sing.
Exod.27.2 | Szarvakat is csinálj a négy szegletére, szarvai magából legyenek, és borítsd meg azt rézzel.
Exod.27.3 | Csinálj ahhoz fazekakat is a hamujának, hozzá való lapátokat, medenczéket, villákat és serpenyőket; minden hozzá való edényt rézből csinálj.
Exod.27.4 | Csinálj ahhoz háló forma rostélyt is rézből, és csinálj a hálóra négy rézkarikát, a négy szegletére.
Exod.27.5 | És tedd azt az oltár párkányzata alá alulról, úgy hogy a háló az oltár közepéig érjen.
Exod.27.6 | Csinálj az oltárhoz rúdakat is, sittim-fa rúdakat, és borítsd meg azokat rézzel.
Exod.27.7 | És dugják a rúdakat a karikákba, és legyenek azok a rúdak az oltár két oldalán, mikor azt hordozzák.
Exod.27.8 | Üresre csináld azt, deszkákból; a mint néked a hegyen mutattatott, úgy csinálják.
Exod.27.9 | Pitvart is csinálj a hajléknak; a déli oldalon a pitvarhoz szőnyegeket, sodrott lenből; száz sing legyen a hossza egy oldalnak.
Exod.27.10 | Ahhoz húsz oszlopot, húsz réz talpat, és az oszlopok horgait és átalkötőit ezüstből.
Exod.27.11 | Épen úgy az északi oldalon, hoszszában, száz sing hosszú szőnyeget; ahhoz húsz oszlopot, ezekhez húsz réztalpat, és az oszlopok horgait és átalkötőit ezüstből.
Exod.27.12 | A pitvar szélességéhez pedig nyugot felől ötven sing szőnyeget; ahhoz tíz oszlopot és ezekhez tíz talpat.
Exod.27.13 | A pitvarnak szélessége kelet felől is ötven sing.
Exod.27.14 | És tizenöt sing szőnyeg legyen egyik oldalról, ehhez három oszlop, ezekhez pedig három talp.
Exod.27.15 | A másik oldalról is tizenöt sing szőnyeg, ehhez három oszlop és ezekhez három talp.
Exod.27.16 | A pitvar kapuján pedig húsz sing lepel legyen, kék, és bíborpiros, és karmazsinszínű és sodrott lenből, himzőmunkával; ehhez négy oszlop, ezekhez pedig négy talp.
Exod.27.17 | A pitvar minden oszlopát ezüst átalkötők vegyék körűl, horgaik ezüstből, talpaik pedig rézből legyenek.
Exod.27.18 | A pitvar hossza száz sing, és szélessége ötven-ötven, magassága pedig öt sing; [leplei] sodrott lenből, talpai pedig rézből legyenek.
Exod.27.19 | A hajlék minden edénye, az ahhoz való mindennemű szolgálatban, és minden szege, és a pitvarnak is minden szege rézből legyen.
Exod.27.20 | Te pedig parancsold meg az Izráel fiainak, hogy hozzanak néked tiszta faolajat, a melyet a világításhoz sajtoltak, hogy szünet nélkül égő lámpát gyujthassanak.
Exod.27.21 | A gyülekezet sátorában a függönyön kivül, a mely a bizonyság előtt van, készítsék el azt Áron és az ő fiai, estvétől fogva reggelig az Úr előtt. Örök rendtartás [legyen] [ez] az ő nemzetségöknél Izráel fiai között.

Exod.28.1 | Te pedig hívasd magadhoz a te atyádfiát Áront, és az ő fiait ő vele az Izráel fiai közűl, hogy papjaim legyenek: Áron, Nádáb, Abihu, Eleázár, Ithamár, Áronnak fiai.
Exod.28.2 | És csinálj szent ruhákat Áronnak a te atyádfiának, dicsőségére és ékességére.
Exod.28.3 | És szólj minden bölcs szívűeknek, a kiket betöltöttem a bölcseség lelkével, hogy csinálják meg az Áron ruháit, az ő felszentelésére, hogy papom legyen.
Exod.28.4 | Ezek pedig a ruhák, a melyeket készítsenek: hósen, efód, palást, koczkás köntös, süveg és öv. És csináljanak szent ruhákat Áronnak a te atyádfiának, és az ő fiainak, hogy papjaim legyenek.
Exod.28.5 | Vegyék hát ők elő az aranyat, és a kék, és a bíborpiros, és a karmazsinszínű [fonalat] és a len[fonalat.]
Exod.28.6 | És csinálják az efódot aranyból, kék és bíborpiros, karmazsinszínű és sodrott lenből, mestermunkával.
Exod.28.7 | Két vállkötő is legyen hozzá kapcsolva a két végéhez, hogy összekapcsoltathassék.
Exod.28.8 | Átkötő öve pedig, a mely rajta van, ugyanolyan mívű és abból való legyen; aranyból, kék, és bíborpiros, és karmazsinszinű, és sodrott lenből.
Exod.28.9 | Annakutána végy két ónix-követ, és mesd fel azokra az Izráel fiainak neveit.
Exod.28.10 | Hatnak nevét az egyik kőre, a másik hatnak nevét pedig a másik kőre, az ő születésök szerint.
Exod.28.11 | Kőmetsző munkával, a mint a pecsétet metszik, [úgy] metszesd e két követ az Izráel fiainak neveire; köröskörűl arany boglárokba csináld azokat.
Exod.28.12 | És tedd e két követ az efód vállkötőire, az Izráel fiaira való emlékeztetés kövei gyanánt, hogy emlékeztetőül hordozza Áron azoknak neveit az ő két vállán az Úr előtt.
Exod.28.13 | Csinálj annakokáért arany boglárokat,
