Acts.1.1 | Első könyvemet írtam, Theofilus, mindazokról, a miket kezdett Jézus cselekedni és tanítani,
Acts.16.40 | Kijövén pedig a tömlöczből, bemenének Lidiához; és mikor látták az atyafiakat, vígasztalák őket, és eltávozának.

Acts.17.1 | Miután pedig általmentek Ámfipolison és Apollónián, Thessalonikába érkeztek, a hol volt a zsidóknak zsinagógájok.
Acts.17.2 | Pál pedig, a mint szokása vala, beméne hozzájok, és három szombaton át vetekedék velök az írásokból,
Acts.17.3 | Megmagyarázva és kimutatva, hogy a Krisztusnak szükség volt szenvedni és feltámadni a halálból; és hogy ez a Jézus a Krisztus, a kit én hirdetek néktek.
Acts.17.4 | És némelyek azok közül hivének és csatlakozának Pálhoz és Siláshoz; úgyszintén az istenfélő görögök közül nagy sokaság, és az előkelő asszonyok közül nem kevesen.
Acts.17.5 | De a zsidók, kik nem hisznek vala, írigységtől felindíttatván, és magok mellé vévén a piaczi népségből némely gonosz férfiakat, és csődületet támasztván, felháboríták a várost; és a Jáson házát megostromolván, igyekeztek őket kihozni a nép közé.
Acts.17.6 | Mikor pedig őket nem találák, Jásont és némely atyafiakat vonszolák a város előljárói elé, kiáltozva, hogy ezek az országháborítók itt is megjelentek;
Acts.17.7 | Kiket Jáson házába fogadott: pedig ezek mindnyájan a császár parancsolatai ellen cselekesznek, mivelhogy mást tartanak királynak, Jézust.
Acts.17.8 | Fel is indíták a sokaságot és a város előljáróit, kik hallják vala ezeket.
Acts.17.9 | De mikor kezességet nyertek Jáson és a többiek részéről, elbocsáták őket.
Acts.17.10 | Az atyafiak pedig azonnal, azon éjszakán elküldék Pált Silással egyetemben Béreába; kik mikor odamentek, elmenének a zsidóknak zsinagógájába.
Acts.17.11 | Ezek pedig nemesb lelkűek valának a Thessalonikabelieknél, úgymint kik bevevék az ígét teljes készséggel, naponként tudakozva az írásokat, ha úgy vannak-é ezek.
Acts.17.12 | Sokan hivének azért ő közülök; sőt az előkelő görög asszonyok és férfiak közül is nem kevesen.
Acts.17.13 | Mikor azonban tudtokra esett a Thessalonikából való zsidóknak, hogy Béreában is prédikálta Pál az Istennek ígéjét, elmenének, és a sokaságot ott is felháboríták.
Acts.17.14 | De akkor mindjárt kibocsáták az atyafiak Pált, hogy utazzék a tenger felé; Silás és Timótheus azonban ott maradának.
Acts.17.15 | A kik pedig elkísérték Pált, elvivék őt egész Athénig; és parancsát vévén Siláshoz és Timótheushoz, hogy minél hamarább menjenek ő hozzá, elmenének.
Acts.17.16 | Athénben pedig, mikor azokat várá Pál, lelke háborog vala ő benne, látván, hogy a város bálványokkal van tele.
Acts.17.17 | Vetekedik vala azért a zsinagógában a zsidókkal és az istenfélő emberekkel, és a piaczon mindennap azokkal, a kiket előtalált.
Acts.17.18 | Némelyek pedig az epikureus és stoikus filozófusok közül összeakadtak ő vele. És némelyek mondának: Mit akarhat ez a csacsogó mondani? Mások meg: Idegen istenségek hirdetőjének látszik. Mivelhogy a Jézust és a feltámadást hirdeti vala nékik.
Acts.17.19 | És megragadván őt, az Areopágusra vivék, ezt mondván: Vajjon megérthetjük-é mi az az új tudomány, melyet te hirdetsz?
Acts.17.20 | Mert valami idegen dolgokat beszélsz a mi füleinknek: meg akarjuk azért érteni, mik lehetnek ezek.
Acts.17.21 | Az athéniek pedig mindnyájan és az ott lakó jövevények semmi másban nem valának foglalatosok, mint valami újságnak beszélésében és hallgatásában.
Acts.17.22 | Előállván pedig Pál az Areopágusnak közepette, monda: Athéni férfiak, minden tekintetben nagyon istenfélőknek látlak titeket.
Acts.17.23 | Mert mikor bejárám és szemlélém a ti szentélyeiteket, találkozám egy oltárral is, melyre ez vala ráírva: Ismeretlen Istennek. A kit azért ti nem ismerve tiszteltek, azt hirdetem én néktek.
Acts.17.24 | Az Isten, a ki teremtette a világot és mindazt, a mi abban van, mivelhogy ő mennynek és földnek ura, kézzel csinált templomokban nem lakik.
Acts.17.25 | Sem embereknek kezeitől nem tiszteltetik, mintha valami nélkül szűkölködnék, holott ő ád mindeneknek életet, leheletet és mindent;
Acts.17.26 | És az egész emberi nemzetséget egy vérből teremtette, hogy lakozzanak a földnek egész színén, meghatározván eleve rendelt idejöket és lakásuknak határait;
Acts.17.27 | Hogy keressék az Urat, ha talán kitapogathatnák őt és megtalálhatnák, jóllehet bizony nincs messze egyikőnktől sem:
Acts.17.28 | Mert ő benne élünk, mozgunk és vagyunk; miképen a költőitek közül is mondották némelyek: Mert az ő nemzetsége is vagyunk.
Acts.17.29 | Mivelhogy azért az Istennek nemzetsége vagyunk, nem kell azt gondolnunk, hogy aranyhoz, vagy ezüsthöz, vagy kőhöz, emberi mesterség és kitalálás faragványához hasonlatos az istenség.
Acts.17.30 | E tudatlanságnak idejét azért elnézvén az Isten, mostan parancsolja az embereknek, mindenkinek mindenütt, hogy megtérjenek:
Acts.17.31 | Mivelhogy rendelt egy napot, melyen megítéli majd a föld kerekségét igazságban egy férfiú által, kit arra rendelt; bizonyságot tévén mindenkinek, az által, hogy feltámasztá őt halottaiból.
Acts.17.32 | Mikor pedig a halottak feltámadásáról hallottak, némelyek gúnyolódtak; mások pedig mondának: Majd még meghallgatunk téged e felől.
Acts.17.33 | És ilyen módon Pál kiméne azok közül.
Acts.17.34 | Némely férfiak azonban csatlakozván ő hozzá, hivének; ezek között az areopágita Dienes is, és egy Damaris nevű asszony, és mások ő velök.

Acts.18.1 | Ezekután Pál Athénből eltávozván, méne Korinthusba.
Acts.18.2 | És mikor egy Akvila nevű, pontusi származású zsidóra talált, ki nem régen jött Itáliából, és feleségére Prisczillára (mivelhogy Klaudius megparancsolta vala, hogy a zsidók mind távozzanak Rómából): hozzájuk csatlakozék.
Acts.18.3 | És mivelhogy azonféle míves vala, náluk marada és dolgozik vala. Mesterségökre nézve ugyanis sátorcsinálók valának.
Acts.18.4 | Vetekedék pedig minden szombaton a zsinagógában, és igyekezék mind zsidókat, mind görögöket meggyőzni.
Acts.18.5 | Mikor pedig megérkeztek Maczedóniából Silás és Timótheus, szorongatá a lélek Pált, és bizonyságot tőn a zsidóknak, hogy Jézus a Krisztus.
Acts.18.6 | Mikor pedig azok ellenszegülének és káromlásokat szólának, ruháit megrázva monda nékik: Véretek a fejetekre; én tiszta vagyok: mostantól fogva a pogányokhoz megyek.
Acts.18.7 | És általmenvén onnét, méne egy Justus nevű, istenfélő ember házához, kinek háza szomszédos vala a zsinagógával.
Acts.18.8 | Krispus pedig, a zsinagógának feje hűn az Úrban egész házanépével egybe; a Korinthusbeliek közül is sokan hallván, hisznek vala, és megkeresztelkednek vala.
Acts.18.9 | Monda pedig az Úr látás által éjszaka Pálnak: Ne félj, hanem szólj és ne hallgass:
Acts.18.10 | Mert én veled vagyok és senki sem támad reád, hogy néked ártson; mert nékem sok népem van ebben a városban.
Acts.18.11 | És ott lakozék egy esztendeig és hat hónapig, tanítva köztük az Isten ígéjét.
Acts.18.12 | Mikor pedig Gallió volt Akhája tiszttartója, reátámadának a zsidók egyakarattal Pálra, és vivék őt a törvényszék elébe,
Acts.18.13 | Mondván: Ez a törvény ellen való istentiszteletre csábítja az embereket.
Acts.18.14 | Mikor pedig Pál meg akará nyitni száját, monda Gallió a zsidóknak: Ha valóban valami bosszútételről, vagy gonosz cselekedetről volna szó, zsidók, igazság szerint meghallgatnálak benneteket:
Acts.18.15 | De ha tanításról, nevekről és a ti törvénytekről van kérdés, ti magatok lássátok; mert én ezekben bíró nem akarok lenni.
Acts.18.16 | És elűzé őket a törvényszék elől.
Acts.18.17 | A görögök pedig mindnyájan Sosthenest, a zsinagógának fejét megragadván, verik vala a törvényszék előtt; de Gallió velök semmit sem gondola.
Acts.18.18 | Pál pedig, miután még több napig ott marada, az atyafiaktól elbúcsúzván, Siriába hajózék, és vele együtt Prisczilla és Akvila, minekutána fejét megnyírta Kenkreában; mert fogadása vala.
Acts.18.19 | Juta pedig Efézusba, és azokat ott hagyá; ő maga pedig bemenvén a zsinagógába, vetekedék a zsidókkal.
Acts.18.20 | Mikor pedig azok kérék, hogy több ideig maradjon nálok, nem álla reá;
Acts.18.21 | Hanem búcsút vőn tőlük, mondván: Mindenesetre Jeruzsálemben kell nékem a következő ünnepet töltenem; de ismét megjövök hozzátok, ha Isten akarja. És elhajózék Efézusból.
Acts.18.22 | És miután Czézáreába érkezék, felmenvén [Jeruzsálembe] és köszöntvén a gyülekezetet, leméne Antiókhiába.
Acts.18.23 | És miután [ott] bizonyos időt eltöltött, elméne, eljárván renddel Galácia tartományát és Frigiát, erősítve a tanítványokat mind.
Acts.18.24 | Érkezék pedig Efézusba egy Apollós nevű zsidó, alekszandriai származású, ékesenszóló férfiú, ki az írásokban tudós vala.
Acts.18.25 | Ez meg volt tanítva az Úrnak útára; és lélekben buzgó lévén, szólja és tanítja vala nagy szorgalmatosan az Úrra tartozó dolgokat, jóllehet csak a János keresztségét tudja vala.
Acts.18.26 | És ez kezde nagy bátorsággal szólni a zsinagógában. Mikor pedig meghallgatta őt Akvila és Prisczilla, magok mellé vevék []őt, és nyilvábban kifejtették előtte az Istennek útát.
Acts.18.27 | Mikor pedig Akhájába akara átmenni, buzdítván [őt] az atyafiak, írának a tanítványoknak, hogy fogadják be őt. Ki mikor odajutott, sokat használa azoknak, kik hittek vala a kegyelem által:
Acts.18.28 | Mert hatalmasan meggyőzi vala a zsidókat nyilvánosan, bebizonyítva az írásokból, hogy Jézus a Krisztus.

Acts.19.1 | Lőn pedig azonközben, míg Apollós Korinthusban volt, hogy Pál, eljárván a felsőbb tartományokat, Efézusba érkezék: és mikor némely tanítványokra talált,
Acts.19.2 | Monda nékik: Vajjon vettetek-é Szent Lelket, minekutána hivőkké lettetek? Azok pedig mondának néki: Sőt inkább azt sem hallottuk, hogy ha vagyon-é Szent Lélek.
Acts.19.3 | És monda nékik: Mire keresztelkedtetek meg tehát? Azok pedig mondának: A János keresztségére.
Acts.19.4 | Monda pedig Pál: János megtérésnek keresztségével keresztelt, azt mondván a népnek, hogy a ki ő utána jövendő, abban higyjenek, tudniillik a Krisztus Jézusban.
Acts.19.5 | Mikor pedig [ezt] hallák, megkeresztelkedének az Úr Jézusnak nevére.
Acts.19.6 | És mikor Pál reájok vetette kezét, szálla a Szent Lélek ő reájok; és szólnak vala nyelveken, és prófétálnak vala.
Acts.19.7 | Valának pedig a férfiak összesen mintegy tizenketten.
Acts.19.8 | Bemenvén pedig a zsinagógába, bátorsággal szól vala, három hónapon át vetekedvén és igyekezvén meggyőzni az Isten országára tartozó dolgokról.
Acts.19.9 | Mikor pedig némelyek megkeményíték magokat és nem hivének, gonoszul szólván az [Úrnak] útáról a sokaság előtt, azoktól eltávozván, elszakasztá a tanítványokat, mindennap egy bizonyos Tirannus oskolájában prédikálván.
Acts.19.10 | Ez pedig lőn két esztendeig; úgyannyira, hogy mindazok, kik lakoznak vala Ázsiában, mind zsidók, mind görögök, hallgaták az Úr Jézusnak ígéjét.
Acts.19.11 | És nem közönséges csodákat cselekszik vala az Isten Pál keze által:
Acts.19.12 | Annyira, hogy a betegekhez is elvivék az ő testéről a keszkenőket, vagy kötényeket, és eltávozának azoktól a betegségek, és a gonosz lelkek kimenének belőlök.
Acts.19.13 | Elkezdték pedig némelyek a lézengő zsidó ördögűzők közül az Úr Jézus nevét hívni azokra, a kikben gonosz lelkek valának, mondván: Kényszerítünk titeket a Jézusra, kit Pál prédikál.
Acts.19.14 | Valának pedig némelyek Skévának, egy zsidó főpapnak fiai heten, a kik ezt mívelik vala.
Acts.19.15 | Felelvén pedig a gonosz lélek, monda: A Jézust ismerem, Pálról is tudok; de ti kicsodák vagytok?
Acts.19.16 | És reájok ugorván az az ember, a kiben a gonosz lélek vala, és legyőzvén őket, hatalmat vőn rajtuk annyira, hogy mezítelenen és megsebesülve szaladának ki abból a házból.
Acts.19.17 | Ez pedig tudtokra lőn mindeneknek, mind zsidóknak, mind görögöknek, kik Efézusban laknak vala, és félelem szálla mindnyájokra, és magasztaltatik vala az Úr Jézusnak neve.
Acts.19.18 | És sokan a hívők közül eljőnek vala, megvallván és megjelentvén cselekedeteiket.
Acts.19.19 | Sokan pedig azok közül, kik ördögi mesterségeket gyakoroltak, könyveiket összehordva, mindeneknek láttára megégetik vala. És összeszámlálák azoknak árát, és találák ötvenezer ezüstpénznek.
Acts.19.20 | Ekképen az Úrnak ígéje erősen nevekedik és hatalmat vesz vala.
Acts.19.21 | Midőn pedig ezek elteltek, elvégezé Pál magában, hogy Maczedóniát és Akháját eljárván, Jeruzsálembe megy, mondván: Ott létem után Rómát is meg kell nékem látnom.
Acts.19.22 | Elküldvén pedig Maczedóniába kettőt azok közül, kik néki szolgálnak vala, Timótheust és Erástust, ő maga egy ideig Ázsiában marada.
Acts.19.23 | Támada azonban azon időtájban nem csekély háborúság az [Úrnak] útjáért.
Acts.19.24 | Mert egy Demeter nevű ötvös, ezüstből Diána templomokat csinálván, a mesterembereknek nem csekély nyereséget ád vala;
Acts.19.25 | Kiket egybegyűjtvén az ilyenfélékkel foglalkozó mívesekkel egybe, monda: Férfiak, tudjátok, hogy ebből a mesterségből van a mi jóllétünk.
Acts.19.26 | Látjátok pedig és halljátok, hogy ez a Pál nemcsak Efézusnak, hanem közel az egész Ázsiának sok népét eláltatván, elfordította, mivelhogy azt mondja, hogy nem istenek azok, a melyek kézzel csináltatnak.
Acts.19.27 | Nemcsak az a veszély fenyeget pedig bennünket, hogy ez a mesterség tönkre jut, hanem hogy a nagy istenasszonynak, Diánának temploma is semmibe vétetik, és el is vész az ő nagysága, kit az egész Ázsia és a világ tisztel.
Acts.19.28 | Mikor pedig [ezeket] hallották és haraggal megtelének, kiáltnak vala, mondván: Nagy az efézusi Diána!
Acts.19.29 | És betelék az egész város háborúsággal; és egyakarattal a színházba rohanának, megfogván Gájust és Aristárkhust, kik Maczedóniából valók és Pálnak útitársai valának.
Acts.19.30 | Pál pedig mikor a nép közé akara menni, nem ereszték őt a tanítványok.
Acts.19.31 | És az ázsiai főpapok közül is némelyek, kik barátai valának néki, küldvén ő hozzá, kérék, hogy ne menjen a színházba.
Acts.19.32 | Már most ki egyet, ki mást kiáltoz vala, mert a népgyűlés összezavarodott volt, és a többség nem tudta, miért gyűltek össze.
Acts.19.33 | A sokaság közül pedig előállaták Alekszándert, minthogy előre tuszkolták őt a zsidók. Alekszánder pedig kezével intvén, védekezni akara a nép előtt.
Acts.19.34 | Megismervén azonban, hogy zsidó, egy kiáltás tört ki mindnyájokból, mintegy két óra hosszáig kiáltozván: Nagy az efézusi Diána!
Acts.19.35 | Miután pedig a városi jegyző lecsendesítette a sokaságot, monda: Efézusbeli férfiak, ugyan kicsoda az az ember, a ki ne tudná, hogy Efézus városa a nagy Diána istenasszonynak és a Jupitertől esett képnek templomőrzője?
Acts.19.36 | Mivelhogy azért ezeknek senki ellene nem szólhat, szükség, hogy megcsendesedjetek, és semmi vakmerő dolgot ne cselekedjetek.
Acts.19.37 | Mert ide hoztátok ez embereket, kik sem nem szentségrontók, sem a ti istenasszonyotok ellen káromlást nem szóltak.
Acts.19.38 | Ha tehát Demeternek és a hozzátartozó mesterembereknek valaki ellen panaszuk van, törvényszékek vannak, és tiszttartók vannak: pereljenek egymással.
Acts.19.39 | Ha pedig egyéb dolgok felől van valami panasztok, a törvényes népgyűlésen majd elintéztetik.
Acts.19.40 | Mert félő, hogy lázadással vádoltatunk a mai napért, mivelhogy semmi ok sincs, a melylyel számot tudnánk adni ezért a csődületért. És ezeket mondván, feloszlatá a gyűlést.

Acts.20.1 | Minekutána pedig megszűnt a háborúság, magához híván Pál a tanítványokat és tőlük búcsút vévén, elindula, hogy Maczedóniába menjen.
Acts.20.2 | Miután pedig azokat a tartományokat eljárta, és intette őket bő beszéddel, Görögországba méne.
Acts.20.3 | És ott töltött három hónapot. És mivelhogy a zsidók lest hánytak néki, a mint Siriába készült hajózni, úgy végezé, hogy Maczedónián át tér vissza.
Acts.20.4 | Kíséré pedig őt Ázsiáig a béreai Sopater, a Thessalonikabeliek közül pedig Aristárkhus és Sekundus, és a derbei Gájus és Timótheus; Ázsiabeliek pedig Tikhikus és Trofimus.
Acts.20.5 | Ezek előremenvén, megvárának minket Troásban.
Acts.20.6 | Mi pedig a kovásztalan kenyerek napjai után kievezénk Filippiből, és menénk ő hozzájok Troásba öt nap alatt; hol hét napot tölténk.
Acts.20.7 | A hétnek első napján pedig a tanítványok egybegyűlvén a kenyér megszegésére, Pál prédikál vala nékik, mivelhogy másnap el akara menni; és a tanítást megnyújtá éjfélig.
Acts.20.8 | Vala pedig elegendő szövétnek abban a felházban, a hol egybe valának gyülekezve.
Acts.20.9 | Egy Eutikhus nevű ifjú pedig ül vala az ablakban, mély álomba merülve: és mivelhogy Pál sok ideig prédikála, elnyomatván az álom által, aláesék a harmadik rend házból, és halva véteték föl.
Acts.20.10 | Pál pedig alámenvén, reá borula, és magához ölelve monda: Ne háborogjatok; mert a lelke benne van.
Acts.20.11 | Azután fölméne, és megszegé a kenyeret és evék, és sokáig, mind virradatig beszélgetvén, úgy indula el.
Acts.20.12 | Felhozák pedig az ifjat elevenen, és felette igen megvigasztalódának.
Acts.20.13 | Mi pedig előremenvén a hajóra, Assusba evezénk, ott akarván fölvenni Pált; mert így rendelkezett, ő maga gyalog akarván jőni.
Acts.20.14 | Mikor pedig Assusban összetalálkozott velünk, felvévén őt, menénk Mitilénébe.
Acts.20.15 | És onnét elevezvén, másnap eljutánk Khius ellenébe; a következőn pedig áthajózánk Sámusba; és Trogilliumban megszállván, másnap mentünk Milétusba.
Acts.20.16 | Mert elvégezé Pál, hogy Efézus mellett elhajózik, hogy ne kelljen néki időt múlatni Ázsiában; mert siet vala, hogy ha lehetne néki, pünkösd napjára Jeruzsálemben legyen.
Acts.20.17 | Milétusból azonban küldvén Efézusba, magához hívatá a gyülekezet véneit.
Acts.20.18 | Mikor pedig hozzá mentek, monda nékik: Ti tudjátok, hogy az első naptól fogva, melyen Ázsiába jöttem, mint viseltem magamat ti köztetek az egész idő alatt,
Acts.20.19 | Szolgálván az Úrnak teljes alázatossággal és sok könnyhullatás és kisértetek közt, melyek én rajtam a zsidóknak utánam való leselkedése miatt estek;
Acts.20.20 | Hogy semmitől sem vonogattam magamat, a mi hasznos, hogy hirdessem néktek, és tanítsalak titeket nyilvánosan és házanként,
Acts.20.21 | Bizonyságot tévén mind zsidóknak, mind görögöknek az Istenhez való megtérés, és a mi Urunk Jézus Krisztusban való hit felől.
Acts.20.22 | És most ímé én a Lélektől kényszerítve megyek Jeruzsálembe, nem tudván, mik következnek ott én reám.
Acts.20.23 | Kivéve, hogy a Szent Lélek városonként bizonyságot tesz, mondván, hogy én reám fogság és nyomorúság következik.
Acts.20.24 | De semmivel sem gondolok, még az én életem sem drága nékem, csakhogy elvégezhessem az én futásomat örömmel, és azt a szolgálatot, melyet vettem az Úr Jézustól, hogy bizonyságot tegyek az Isten kegyelmének evangyéliomáról.
Acts.20.25 | És most íme én tudom, hogy nem látjátok többé az én orczámat ti mindnyájan, kik között általmentem, prédikálván az Istennek országát.
Acts.20.26 | Azért bizonyságot teszek előttetek a mai napon, hogy én mindeneknek vérétől tiszta vagyok.
Acts.20.27 | Mert nem vonogattam magamat, hogy hirdessem néktek az Istennek teljes akaratát.
Acts.20.28 | Viseljetek gondot azért magatokra és az egész nyájra, melyben a Szent Lélek titeket vigyázókká tett, az Isten anyaszentegyházának legeltetésére, melyet tulajdon vérével szerzett.
Acts.20.29 | Mert én tudom azt, hogy az én eltávozásom után jőnek ti közétek gonosz farkasok, kik nem kedveznek a nyájnak.
Acts.20.30 | Sőt ti magatok közül is támadnak férfiak, kik fonák dolgokat beszélnek, hogy a tanítványokat magok után vonják.
Acts.20.31 | Azért vigyázzatok, megemlékezvén arról, hogy én három esztendeig éjjel és nappal meg nem szüntem könnyhullatással inteni mindenkit.
Acts.20.32 | És most, atyámfiai, ajánlak titeket az Istennek és az ő kegyelmessége ígéjének, a ki felépíthet és adhat néktek örökséget minden megszenteltek közt.
Acts.20.33 | Senkinek ezüstjét, vagy aranyát, vagy ruháját nem kívántam:
Acts.20.34 | Sőt magatok tudjátok, hogy a magam szükségeiről és a velem valókról ezek a kezek gondoskodtak.
Acts.20.35 | Mindenestől megmutattam néktek, hogy ily módon munkálkodva kell az erőtlenekről gondot viselni, és megemlékezni az Úr Jézus szavairól, mert ő mondá: Jobb adni, mint venni.
Acts.20.36 | És mikor ezeket mondotta, térdre esve imádkozék mindazokkal egybe.
Acts.20.37 | Mindnyájan pedig nagy sírásra fakadtak; és Pálnak nyakába borulva csókolgaták őt.
Acts.20.38 | Keseregve kiváltképen azon a szaván, a melyet mondott, hogy többé az ő orczáját nem fogják látni. Aztán elkísérték őt a hajóra.

Acts.21.1 | A mint pedig, ő tőlük elszakadván, elindultunk, egyenesen haladva Kóusba érkezénk, másnap pedig Rhodusba, és onnét Patarába.
Acts.21.2 | És mikor találtunk egy hajót, mely Fenicziába méne által, abba beülvén, elhajózánk.
Acts.21.3 | És miután megláttuk Cziprust és elhagytuk azt balkézre, evezénk Siriába, és Tirusban köténk ki: mert a hajó ott rakja vala ki a terhét.
Acts.21.4 | És ott maradánk hét napig, miután feltaláltuk a tanítványokat, kik Pálnak mondják vala a Lélek által, hogy ne menjen fel Jeruzsálembe.
Acts.21.5 | Mikor pedig eltöltöttük azokat a napokat, kimenvén, elutazánk; kikísérvén bennünket mindnyájan feleségestől, gyermekestől egészen a városon kívülre. És a tenger partján térdre esve imádkozánk.
Acts.21.6 | És egymástól elbúcsúzván, beülénk a hajóba, azok pedig megtérének az övéikhez.
Acts.21.7 | Mi pedig a hajózást bevégezvén, Tirusból eljutánk Ptolemaisba; és köszöntvén az atyafiakat, nálok maradánk egy napig.
Acts.21.8 | Másnap pedig elmenvén Pál és mi, kik ő vele valánk, érkezénk Czezáreába; és bemenvén a Filep evangyélista házába, ki ama hét közül való vala, ő nála maradánk.
Acts.21.9 | Ennek pedig vala négy szűz leánya, a kik prófétálnak vala.
Acts.21.10 | Mialatt pedig mi több napig ott maradánk, alájöve egy Júdeából való próféta, névszerint Agabus.
Acts.21.11 | És mikor hozzánk jött, vevé Pálnak az övét, és megkötözvén a maga kezeit és lábait, monda: Ezt mondja a Szent Lélek: A férfiút, a kié ez az öv, ekképen kötözik meg a zsidók Jeruzsálemben, és adják a pogányoknak kezébe.
Acts.21.12 | Mikor pedig ezeket hallottuk, kérők, mind mi, mind az oda valók, hogy ne menjen fel Jeruzsálembe.
Acts.21.13 | De Pál felele: Mit míveltek sírván és az én szívemet kesergetvén? mert én nemcsak megkötöztetni, hanem meghalni is kész vagyok Jeruzsálemben az Úr Jézusnak nevéért.
Acts.21.14 | Mikor azért nem engedett, megnyugodtunk, mondván: Legyen meg az Úrnak akaratja.
Acts.21.15 | E napok után pedig felkészülődvén, felmenénk Jeruzsálembe.
Acts.21.16 | Jövének pedig mi velünk együtt a tanítványok közül is Czézáreából, kik elvezetének bizonyos cziprusi Mnásonhoz, egy régi tanítványhoz, hogy ott legyen szállásunk.
Acts.21.17 | Mikor azért Jeruzsálembe jutottunk, örömmel fogadának minket az atyafiak.
Acts.21.18 | Másnap pedig beméne Pál velünk együtt Jakabhoz; és a vének mindnyájan ott valának.
Acts.21.19 | És köszöntvén őket, elbeszélé egyenként, a miket az Isten a pogányok között az ő szolgálata által cselekedett.
Acts.21.20 | Azok pedig [ezt] hallván, dicsőíték az Urat; és mondának néki: Látod, atyámfia, mely sok ezeren vannak zsidók, kik hívőkké lettek; és mindnyájan buzognak a törvény mellett:
Acts.21.21 | Felőled pedig azt hallották, hogy te mindazokat a zsidókat, kik a pogányok között vannak, Mózestől való elszakadásra tanítod, azt mondván, hogy ne metéljék körül fiaikat, se a [zsidó] szokások szerint ne járjanak.
Acts.21.22 | Micsoda annakokáért? Mindenesetre össze kell gyülekezni a sokaságnak; mert meghallják, hogy ide jöttél.
Acts.21.23 | Ezt míveld azért, a mit néked mondunk: Van mi köztünk négy férfiú, kik fogadalmat vettek magokra;
Acts.21.24 | Ezeket magad mellé vévén, tisztulj meg velök, és költs rájok, hogy megnyíressék fejöket: és megtudják mindenek, hogy semmi sincs azokban, a miket te felőled hallottak; hanem te magad is úgy jársz, hogy a törvényt megtartod.
Acts.21.25 | A pogányokból lett hívők felől pedig mi írtunk, azt végezvén, hogy ők semmi ilyenfélét ne tartsanak meg, hanem csak oltalmazzák meg magokat mind a bálványoknak áldozott hústól, mind a vértől, mind a fúlvaholt állattól, mind a paráznaságtól.
Acts.21.26 | Akkor Pál maga mellé véve azokat a férfiakat, másnap ő velök megtisztulván, beméne a templomba, bejelentvén a tisztulás napjainak eltelését, a míg mindegyikökért elvégeztetik az áldozat.
Acts.21.27 | Mikor pedig a hét nap immár eltelőben volt, az Ázsiából való zsidók, meglátván őt a templomban, felindíták az egész sokaságot, és reá veték kezöket,
Acts.21.28 | Kiáltván: Izraelita férfiak, legyetek segítségül: ez az az ember, ki e nép ellen, a törvény ellen és e hely ellen tanít mindenkit mindenütt; ezen felül még görögöket is hozott be a templomba, és megfertéztette ezt a szent helyet.
Acts.21.29 | Mert látták vala annakelőtte az efézusi Trofimust ő vele a városban, kiről azt vélék, hogy Pál bevitte a templomba.
Acts.21.30 | Megmozdula azért az egész város, és a nép összecsődüle: és Pált megragadván, vonszolják vala ki őt a templomból: és mindjárt bezáratának az ajtók.
Acts.21.31 | Mikor pedig meg akarák őt ölni, feljuta a hír a sereg ezredeséhez, hogy az egész Jeruzsálem felzendült.
Acts.21.32 | Ki azonnal vitézeket és századosokat vévén maga mellé, lefutott hozzájok. Azok pedig mikor meglátták az ezredest és a vitézeket, megszűnének Pált verni.
Acts.21.33 | Akkor odaérvén az ezredes, elfogatá őt, és parancsolá, hogy kötözzék meg két lánczczal; és tudakozá, hogy kicsoda és mit cselekedett.
Acts.21.34 | De ki egyet, ki mást kiált vala a sokaság között; és mikor nem értheté meg a bizonyos valóságot a zajongás miatt, parancsolá, hogy vigyék el őt a várba.
Acts.21.35 | Mikor pedig a lépcsőkhöz jutott, lőn, hogy úgy vivék őt a vitézek a néptömeg erőszaktétele miatt;
Acts.21.36 | Mert követi vala a népnek sokasága, kiáltozva: Öld meg őt!
Acts.21.37 | És mikor immár a várba akarák bevinni Pált, monda az ezredesnek: Vajjon szabad-e nékem valamit szólanom te hozzád? Az pedig monda: Tudsz görögül?
Acts.21.38 | Hát nem te vagy az az egyiptomi, ki e napoknak előtte fellázította és kivitte a pusztába azt a négyezer orgyilkos férfiút?
Acts.21.39 | Monda pedig Pál: Én ugyan tárzusi zsidó ember vagyok, Cziliczia nem ismeretlen városának polgára; de kérlek téged, engedd meg nékem, hogy szóljak a néphez.
Acts.21.40 | Mikor aztán az megengedte, Pál a lépcsőkön állva intett kezével a népnek: és mikor nagy csendesség lőn, megszólala zsidó nyelven, mondván:

Acts.22.1 | Atyámfiai, férfiak és atyák, hallgassátok meg az én beszédemet, a melylyel most magamat előttetek mentem.
Acts.22.2 | Mikor pedig hallották, hogy zsidó nyelven szól hozzájok, még inkább nyugalmat tanusítottak. És monda:
Acts.22.3 | Én zsidó ember vagyok, születtem a czilicziai Tárzusban, fölneveltettem pedig ebben a városban a Gamáliel lábainál, taníttattam az atyák törvényének pontossága szerint, buzgó lévén az Istenhez, miként ti mindnyájan vagytok ma:
Acts.22.4 | És ezt a tudományt üldöztem mind halálig, megkötözvén és tömlöczbe vetvén mind férfiakat, mind asszonyokat.
Acts.22.5 | Miképen a főpap is bizonyságom nékem, és a véneknek egész tanácsa; kiktől leveleket is vévén az atyafiakhoz, Damaskusba menék, hogy az odavalókat is fogva hozzam Jeruzsálembe, hogy bűnhődjenek.
