Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről való könyv.
Matt.19.16 | És ímé hozzá jövén egy ember, monda néki: Jó mester, mi jót cselekedjem, hogy örök életet nyerjek?
Matt.19.17 | Ő pedig monda néki: Miért mondasz engem jónak? Senki sem jó, csak egy, az Isten. Ha pedig be akarsz menni az életre, tartsd meg a parancsolatokat.
Matt.19.18 | Monda néki: Melyeket? Jézus pedig monda: Ezeket: Ne ölj; ne paráználkodjál; ne lopj; hamis tanubizonyságot ne tégy;
Matt.19.19 | Tiszteld atyádat és anyádat; és: Szeresd felebarátodat, mint temagadat.
Matt.19.20 | Monda néki az ifjú: Mindezeket megtartottam ifjúságomtól fogva; mi fogyatkozás van még bennem?
Matt.19.21 | Monda néki Jézus: Ha tökéletes akarsz lenni, eredj, add el vagyonodat, és oszd ki a szegényeknek; és kincsed lesz mennyben; és jer és kövess engem.
Matt.19.22 | Az ifjú pedig e beszédet hallván, elméne megszomorodva; mert sok jószága vala.
Matt.19.23 | Jézus pedig monda az ő tanítványainak: Bizony mondom néktek, hogy a gazdag nehezen megy be a mennyeknek országába.
Matt.19.24 | Ismét mondom pedig néktek: Könnyebb a tevének a tű fokán átmenni, hogynem a gazdagnak az Isten országába bejutni.
Matt.19.25 | A tanítványok pedig ezeket hallván, felettébb álmélkodnak vala, mondván: Kicsoda üdvözülhet tehát?
Matt.19.26 | Jézus pedig rájuk tekintvén, monda nékik: Embereknél ez lehetetlen, de Istennél minden lehetséges.
Matt.19.27 | Akkor felelvén Péter, monda néki: Ímé, mi elhagytunk mindent és követtünk téged: mink lesz hát minékünk?
Matt.19.28 | Jézus pedig monda nékik: Bizony mondom néktek, hogy ti, a kik követtetek engem, az újjá születéskor, a mikor az embernek Fia beül az ő dicsőségének királyi székébe, ti is beültök majd tizenkét királyi székbe, és ítélitek az Izráel tizenkét nemzetségét.
Matt.19.29 | És a ki elhagyta házait, vagy fitestvéreit, vagy nőtestvéreit, vagy atyját, vagy anyját, vagy feleségét, vagy gyermekeit, vagy szántóföldjeit az én nevemért, mindaz száz annyit vészen, és örökség szerint nyer örök életet.
Matt.19.30 | Sok elsők pedig lesznek utolsók, és sok utolsók elsők.

Matt.20.1 | Mert hasonlatos a mennyeknek országa a gazdaemberhez, a ki jó reggel kiméne, hogy munkásokat fogadjon az ő szőlejébe.
Matt.20.2 | Megszerződvén pedig a munkásokkal napi tíz pénzben, elküldé őket az ő szőlejébe.
Matt.20.3 | És kimenvén három óra tájban, láta másokat, a kik hivalkodván a piaczon álltak vala.
Matt.20.4 | És monda nékik: Menjetek el ti is a szőlőbe, és a mi igazságos, megadom néktek.
Matt.20.5 | Azok pedig elmenének. Hat és kilencz óra tájban ismét kimenvén, ugyanazon képen cselekedék.
Matt.20.6 | Tizenegy óra tájban is kimenvén, talála másokat, a kik hivalkodva állottak vala, és monda nékik: Miért álltok itt egész napon át, hivalkodván?
Matt.20.7 | Mondának néki: Mert senki sem fogadott meg minket. Monda nékik: Menjetek el ti is a szőlőbe, és a mi igazságos, megkapjátok.
Matt.20.8 | Mikor pedig beestveledék, monda a szőlőnek ura az ő vinczellérjének: Hívd elő a munkásokat, és add ki nékik a bért, az utolsóktól kezdve mind az elsőkig.
Matt.20.9 | És jövén a tizenegyórásak, fejenként tíz-tíz pénzt vőnek.
Matt.20.10 | Jövén azután az elsők, azt gondolják vala, hogy ők többet kapnak: de ők is tíz-tíz pénzt vőnek fejenként.
Matt.20.11 | A mint pedig fölvevék, zúgolódnak vala a házigazda ellen,
Matt.20.12 | Mondván: Azok az utolsók egyetlen óráig munkálkodtak és egyenlőkké tetted azokat velünk, a kik a napnak terhét és hőségét szenvedtük.
Matt.20.13 | Ő pedig felelvén, monda azok közül egynek: Barátom, nem cselekszem igazságtalanul veled; avagy nem tíz pénzben szerződtél-é meg velem?
Matt.20.14 | Vedd, a mi a tiéd, és menj el. Én pedig ennek az utolsónak is annyit akarok adni, mint néked.
Matt.20.15 | Avagy nem szabad-é nékem a magaméval azt tennem, amit akarok? avagy a te szemed azért gonosz, mert én jó vagyok?
Matt.20.16 | Ekképen lesznek az utolsók elsők és az elsők utolsók; mert sokan vannak a hivatalosok, de kevesen a választottak.
Matt.20.17 | És mikor felmegy vala Jézus Jeruzsálembe, útközben csupán a tizenkét tanítványt vévén magához, monda nékik:
Matt.20.18 | Ímé, felmegyünk Jeruzsálembe, és az embernek Fia átadatik a főpapoknak és írástudóknak; és halálra kárhoztatják őt,
Matt.20.19 | És a pogányok kezébe adják őt, hogy megcsúfolják és megostorozzák és keresztre feszítsék; de harmadnap feltámad.
Matt.20.20 | Ekkor hozzá méne a Zebedeus fiainak anyja az ő fiaival együtt, leborulván és kérvén ő tőle valamit.
Matt.20.21 | Ő pedig monda néki: Mit akarsz? Monda néki: Mondd, hogy ez az én két fiam üljön a te országodban egyik jobb kezed felől, a másik bal kezed felől.
Matt.20.22 | Jézus pedig felelvén, monda: Nem tudjátok, mit kértek. Megihatjátok-é a pohárt, a melyet én megiszom? és megkeresztelkedhettek-é azzal a keresztséggel, a melylyel én megkeresztelkedem? Mondának néki: Meg.
Matt.20.23 | És monda nékik: Az én poharamat megiszszátok ugyan, és a keresztséggel, a melylyel én megkeresztelkedem, megkeresztelkedtek; de az én jobb és balkezem felől való ülést nem az én dolgom megadni, hanem azoké lesz az, a kiknek az én Atyám elkészítette.
Matt.20.24 | És hallva ezt a tíz, megboszankodék a két testvérre.
Matt.20.25 | Jézus pedig előszólítván őket, monda: Tudjátok, hogy a pogányok fejedelmei uralkodnak azokon, és a nagyok hatalmaskodnak rajtok.
Matt.20.26 | De ne így legyen közöttetek; hanem a ki közöttetek nagy akar lenni, legyen a ti szolgátok;
Matt.20.27 | És a ki közöttetek első akar lenni, legyen a ti szolgátok.
Matt.20.28 | Valamint az embernek Fia nem azért jött, hogy néki szolgáljanak, hanem hogy ő szolgáljon, és adja az ő életét váltságul sokakért.
Matt.20.29 | És mikor Jerikóból távozának, nagy sokaság követé őt.
Matt.20.30 | És ímé, két vak, a ki az út mellett ül vala, meghallván, hogy Jézus arra megy el, kiált vala, mondván: Uram, Dávidnak Fia, könyörülj rajtunk!
Matt.20.31 | A sokaság pedig dorgálja vala őket, hogy hallgassanak; de azok annál jobban kiáltnak vala, mondván: Uram, Dávidnak Fia, könyörülj rajtunk!
Matt.20.32 | És megállván Jézus, megszólítá őket és monda: Mit akartok, hogy cselekedjem veletek?
Matt.20.33 | Mondának néki: Azt, Uram, hogy megnyíljanak a mi szemeink.
Matt.20.34 | Jézus pedig megszánván őket, illeté az ő szemeiket; és szemeik azonnal megnyíltak; és követék őt.

Matt.21.1 | És mikor közeledtek Jeruzsálemhez, és Bethfagéba, az olajfák hegyéhez jutottak vala, akkor elkülde Jézus két tanítványt,
Matt.21.2 | És monda nékik: Menjetek ebbe a faluba, a mely előttetek van, és legott találtok egy megkötött szamarat és vele együtt az ő vemhét; oldjátok el és hozzátok ide nékem.
Matt.21.3 | És ha valaki valamit szól néktek, mondjátok, hogy az Úrnak van szüksége rájuk: és legott el fogja bocsátani őket.
Matt.21.4 | Mindez pedig azért lett, hogy beteljesedjék a próféta mondása, a ki így szólott:
Matt.21.5 | Mondjátok meg Sion leányának: Ímhol jő néked a te királyod, alázatosan és szamáron ülve, és teherhordozó szamárnak vemhén.
Matt.21.6 | A tanítványok pedig elmenvén és úgy cselekedvén, a mint Jézus parancsolta vala nékik,
Matt.21.7 | Elhozák a szamarat és annak vemhét, és felső ruháikat rájuk teríték, és ráüle azokra.
Matt.21.8 | A sokaság legnagyobb része pedig felső ruháit az útra teríté; mások pedig a fákról galyakat vagdalnak és hintenek vala az útra.
Matt.21.9 | Az előtte és utána menő sokaság pedig kiált vala, mondván: Hozsánna a Dávid fiának! Áldott, a ki jő az Úrnak nevében! Hozsánna a magasságban!
Matt.21.10 | És a mikor bemegy vala Jeruzsálembe, felháborodék az egész város, mondván: Kicsoda ez?
Matt.21.11 | A sokaság pedig monda: Ez Jézus, a galileai Názáretből való próféta.
Matt.21.12 | És beméne Jézus az Isten templomába, és kiűzé mindazokat, a kik árulnak és vásárolnak vala a templomban; és a pénzváltók asztalait és a galambárusok székeit felforgatá.
Matt.21.13 | És monda nékik: Meg van írva: Az én házam imádság házának mondatik. Ti pedig azt latroknak barlangjává tettétek.
Matt.21.14 | És menének hozzá vakok és sánták a templomban; és meggyógyítá őket.
Matt.21.15 | A főpapok és írástudók pedig, látván a csodákat, a melyeket cselekedett vala, és a gyermekeket, a kik kiáltottak vala a templomban, és ezt mondták vala: Hozsánna a Dávid fiának; haragra gerjedének,
Matt.21.16 | És mondának néki: Hallod, mit mondanak ezek? Jézus pedig monda nékik: Hallom. Sohasem olvastátok-é: A gyermekek és csecsemők szája által szereztél dicsőséget?
Matt.21.17 | És ott hagyván őket, kiméne a városból Bethániába, és ott marada éjjel.
Matt.21.18 | Reggel pedig, a városba visszajövet, megéhezék.
Matt.21.19 | És meglátva egy fügefát az út mellett, oda méne hozzá, és nem talála azon semmit, hanem csak levelet; és monda annak: Gyümölcs te rajtad ezután soha örökké ne teremjen. És a fügefa azonnal elszárada.
Matt.21.20 | És látván ezt a tanítványok, elcsodálkozának, mondván: Hogyan száradt el a fügefa oly hirtelen?
Matt.21.21 | Jézus pedig felelvén, monda nékik: Bizony mondom néktek, ha van hitetek és nem kételkedtek, nemcsak azt cselekszitek, a mi e fügefán esett, hanem ha azt mondjátok e hegynek: Kelj fel és zuhanj a tengerbe, az is meglészen;
Matt.21.22 | És a mit könyörgéstekben kértek, mindazt meg is kapjátok, ha hisztek.
Matt.21.23 | És mikor bement vala a templomba, hozzámenének a főpapok és a nép vénei, a mint tanít vala, mondván: Micsoda hatalommal cselekszed ezeket? és ki adta néked ezt a hatalmat?
Matt.21.24 | Jézus pedig felelvén, monda nékik: Én is kérdek egy dolgot tőletek, a mire ha megfeleltek nékem, én is megmondom néktek, micsoda hatalommal cselekszem ezeket.
Matt.21.25 | A János keresztsége honnan vala? Mennyből-é, vagy emberektől? Azok pedig tanakodnak vala magukban, mondván: Ha azt mondjuk: mennyből, azt mondja majd nékünk: Miért nem hittetek tehát néki?
Matt.21.26 | Ha pedig azt mondjuk: emberektől; félünk a sokaságtól; mert Jánost mindnyájan prófétának tartják.
Matt.21.27 | És felelvén Jézusnak, mondának: Nem tudjuk. Monda nékik ő is: Én sem mondom meg néktek, micsoda hatalommal cselekszem ezeket.
Matt.21.28 | De mit gondoltok ti? Vala egy embernek két fia, és odamenvén az elsőhöz, monda: Eredj fiam, munkálkodjál ma az én szőlőmben.
Matt.21.29 | Az pedig felelvén, monda: Nem megyek; de azután meggondolván magát, elméne.
Matt.21.30 | A másikhoz is odamenvén, hasonlóképen szóla. Az pedig felelvén, monda: Én elmegyek, uram; de nem méne el.
Matt.21.31 | E kettő közül melyik teljesítette az atya akaratát? Mondának néki: Az első. Monda nékik Jézus: Bizony mondom néktek: A vámszedők és a parázna nők megelőznek titeket az Isten országában.
Matt.21.32 | Mert eljött hozzátok János, az igazság útján, és nem hittetek néki, a vámszedők és a parázna nők pedig hittek néki; ti pedig, a kik ezt láttátok, azután sem tértetek meg, hogy hittetek volna néki.
Matt.21.33 | Más példázatot halljatok: Vala egy házigazda, a ki szőlőt plántála, és azt gyepűvel körülvevé, sajtót ása le benne, és tornyot építe, és kiadá azt munkásoknak, és elutazék.
Matt.21.34 | Mikor pedig a gyümölcs ideje elérkezett vala, elküldé szolgáit a munkásokhoz, hogy vegyék át az ő gyümölcsét.
Matt.21.35 | És a munkások megfogván az ő szolgáit, az egyiket megverék, a másikat megölék, a harmadikat pedig megkövezék.
Matt.21.36 | Ismét külde más szolgákat, többet mint előbb; és azokkal is úgy cselekedének.
Matt.21.37 | Utoljára pedig elküldé azokhoz a maga fiát, ezt mondván: A fiamat meg fogják becsülni.
Matt.21.38 | De a munkások, meglátván a fiút, mondának magok közt: Ez az örökös; jertek, öljük meg őt, és foglaljuk el az ő örökségét.
Matt.21.39 | És megfogván őt, kiveték a szőlőn kívül és megölék.
Matt.21.40 | Mikor azért megjő a szőlőnek ura, mit cselekszik ezekkel a munkásokkal?
Matt.21.41 | Mondának néki: Mint gonoszokat gonoszul elveszti őket; a szőlőt pedig kiadja más munkásoknak, a kik beadják majd néki a gyümölcsöt annak idejében.
Matt.21.42 | Monda nékik Jézus: Sohasem olvastátok-é az írásokban: A mely követ az építők megvetettek, az lett a szegletnek feje; az Úrtól lett ez, és csodálatos a mi szemeink előtt.
Matt.21.43 | Annakokáért mondom néktek, hogy elvétetik tőletek az Istennek országa, és oly népnek adatik, a mely megtermi annak gyümölcsét.
Matt.21.44 | És a ki e kőre esik, szétzúzatik; a kire pedig ez esik reá, szétmorzsolja azt.
Matt.21.45 | És a főpapok és farizeusok hallván az ő példázatait, megértették, hogy róluk szól.
Matt.21.46 | És mikor meg akarák őt fogni, megfélemlének a sokaságtól, mivelhogy úgy tartják vala őt mint prófétát.

Matt.22.1 | És megszólalván Jézus, ismét példázatokban beszél vala nékik, mondván:
Matt.22.2 | Hasonlatos a mennyeknek országa a királyhoz, a ki az ő fiának menyegzőt szerze.
Matt.22.3 | És elküldé szolgáit, hogy meghívják azokat, a kik a menyegzőre hivatalosak valának; de nem akarnak vala eljőni.
Matt.22.4 | Ismét külde más szolgákat, mondván: Mondjátok meg a hivatalosoknak: Ímé, ebédemet elkészítettem, tulkaim és hízlalt állataim levágva vannak, és kész minden; jertek el a menyegzőre.
Matt.22.5 | De azok nem törődvén vele, elmenének, az egyik a maga szántóföldjére, a másik a maga kereskedésébe;
Matt.22.6 | A többiek pedig megfogván az ő szolgáit, bántalmazák és megölék őket.
Matt.22.7 | Meghallván pedig ezt a király, megharaguvék, és elküldvén hadait, azokat a gyilkosokat elveszté, és azoknak városait fölégeté.
Matt.22.8 | Akkor monda az ő szolgáinak: A menyegző ugyan készen van, de a hivatalosok nem valának méltók.
Matt.22.9 | Menjetek azért a keresztútakra, és a kiket csak találtok, hívjátok be a menyegzőbe.
Matt.22.10 | És kimenvén azok a szolgák az útakra, begyűjték mind a kiket csak találtak vala, jókat és gonoszokat egyaránt. És megtelék a menyegző vendégekkel.
Matt.22.11 | Bemenvén pedig a király, hogy megtekintse a vendégeket, láta ott egy embert, a kinek nem vala menyegzői ruhája.
Matt.22.12 | És monda néki: Barátom, mi módon jöttél ide, holott nincsen menyegzői ruhád? Az pedig hallgata.
Matt.22.13 | Akkor monda a király a szolgáknak: Kötözzétek meg a lábait és kezeit, és vigyétek és vessétek őt a külső sötétségre; ott lészen sírás és fogcsikorgatás.
Matt.22.14 | Mert sokan vannak a hivatalosok, de kevesen a választottak.
Matt.22.15 | Ekkor a farizeusok elmenvén, tanácsot tartának, hogy szóval ejtsék őt tőrbe.
Matt.22.16 | És elküldék hozzá tanítványaikat a Heródes pártiakkal, a kik ezt mondják vala: Mester, tudjuk, hogy igaz vagy és az Isten útját igazán tanítod, és nem törődöl senkivel, mert embereknek személyére nem nézel.
Matt.22.17 | Mondd meg azért nékünk, mit gondolsz: Szabad-é a császárnak adót fizetnünk, vagy nem?
Matt.22.18 | Jézus pedig ismervén az ő álnokságukat, monda: Mit kisértgettek engem, képmutatók?
Matt.22.19 | Mutassátok nékem az adópénzt. Azok pedig oda vivének néki egy dénárt.
Matt.22.20 | És monda nékik: Kié ez a kép, és a felírás?
Matt.22.21 | Mondának néki: A császáré. Akkor monda nékik: Adjátok meg azért a mi a császáré a császárnak; és a mi az Istené, az Istennek.
Matt.22.22 | És ezt hallván, elcsodálkozának; és ott hagyván őt, elmenének.
Matt.22.23 | Ugyanazon a napon menének hozzá a sadduczeusok, a kik a feltámadást tagadják, és megkérdezék őt,
Matt.22.24 | Mondván: Mester, Mózes azt mondotta: Ha valaki magzatok nélkül hal meg, annak testvére vegye el annak feleségét, és támaszszon magot testvérének.
Matt.22.25 | Vala pedig minálunk hét testvér: és az első feleséget vevén, meghala; és mivelhogy nem vala magzata, feleségét a testvérére hagyá;
Matt.22.26 | Hasonlóképen a második is, a harmadik is, mind hetediglen.
Matt.22.27 | Legutoljára pedig az asszony is meghala.
Matt.22.28 | A feltámadáskor azért a hét közül melyiké lesz az asszony? Mert mindeniké vala.
Matt.22.29 | Jézus pedig felelvén, monda nékik: Tévelyegtek, mivelhogy nem ismeritek sem az írásokat, sem az Istennek hatalmát.
Matt.22.30 | Mert a feltámadáskor sem nem házasodnak, sem férjhez nem mennek, hanem olyanok lesznek, mint az Isten angyalai a mennyben.
Matt.22.31 | A halottak feltámadása felől pedig nem olvastátok-é, a mit az Isten mondott néktek, így szólván:
Matt.22.32 | Én vagyok az Ábrahám Istene, és az Izsák Istene, és a Jákób Istene; az Isten nem holtaknak, hanem élőknek Istene.
Matt.22.33 | És a sokaság ezt hallván, csodálkozék az ő tudományán.
Matt.22.34 | A farizeusok pedig, hallván, hogy a sadduczeusokat elnémította vala, egybegyűlének;
Matt.22.35 | És megkérdé őt közülök egy törvénytudó, kisértvén őt, és mondván:
Matt.22.36 | Mester, melyik a nagy parancsolat a törvényben?
Matt.22.37 | Jézus pedig monda néki: Szeresd az Urat, a te Istenedet teljes szívedből, teljes lelkedből és teljes elmédből.
Matt.22.38 | Ez az első és nagy parancsolat.
Matt.22.39 | A második pedig hasonlatos ehhez: Szeresd felebarátodat, mint magadat.
Matt.22.40 | E két parancsolattól függ az egész törvény és a próféták.
Matt.22.41 | Mikor pedig a farizeusok összegyülekezének, kérdezé őket Jézus,
Matt.22.42 | Mondván: Miképen vélekedtek ti a Krisztus felől? kinek a fia? Mondának néki: A Dávidé.
Matt.22.43 | Monda nékik: Miképen hívja tehát őt Dávid lélekben Urának, ezt mondván:
Matt.22.44 | Monda az Úr az én Uramnak: Ülj az én jobb kezem felől, míglen vetem a te ellenségeidet a te lábaid alá zsámolyul.
Matt.22.45 | Ha tehát Dávid Urának hívja őt, mi módon fia?
Matt.22.46 | És senki egy szót sem felelhet vala néki; sem pedig nem meri vala őt e naptól fogva többé senki megkérdezni.

Matt.23.1 | Akkor szóla Jézus a sokaságnak és az ő tanítványainak,
Matt.23.2 | Mondván: Az írástudók és a farizeusok a Mózes székében ülnek:
Matt.23.3 | Annakokáért a mit parancsolnak néktek, mindazt megtartsátok és megcselekedjétek; de az ő cselekedeteik szerint ne cselekedjetek. Mert ők mondják, de nem cselekszik.
Matt.23.4 | Mert ők nehéz és elhordozhatatlan terheket kötöznek egybe, és az emberek vállaira vetik; de ők az ujjokkal sem akarják azokat illetni.
Matt.23.5 | Minden ő dolgaikat pedig csak azért cselekszik, hogy lássák őket az emberek: mert megszélesítik az ő homlokszíjjaikat; és megnagyobbítják az ő köntöseik peremét;
Matt.23.6 | És szeretik a lakomákon a főhelyet, és a gyülekezetekben az elölűlést.
Matt.23.7 | És a piaczokon való köszöntéseket, és hogy az emberek így hívják őket: Mester, Mester!
Matt.23.8 | Ti pedig ne hivassátok magatokat Mesternek, mert egy a ti Mesteretek, a Krisztus; ti pedig mindnyájan testvérek vagytok.
Matt.23.9 | Atyátoknak se hívjatok senkit e földön; mert egy a ti Atyátok, a ki a mennyben van.
Matt.23.10 | Doktoroknak se hivassátok magatokat, mert egy a ti Doktorotok, a Krisztus.
Matt.23.11 | Hanem a ki a nagyobb közöttetek, legyen a ti szolgátok.
Matt.23.12 | Mert a ki magát felmagasztalja, megaláztatik; és a ki magát megalázza, felmagasztaltatik.
Matt.23.13 | De jaj néktek képmutató írástudók és farizeusok, mert a mennyeknek országát bezárjátok az emberek előtt; mivelhogy ti nem mentek be, a kik be akarnának menni, azokat sem bocsátjátok be.
Matt.23.14 | Jaj néktek képmutató írástudók és farizeusok, mert felemésztitek az özvegyek házát, és színből hosszan imádkoztok; ezért annál súlyosabb lesz a ti büntetéstek.
Matt.23.15 | Jaj néktek képmutató írástudók és farizeusok! mert megkerülitek a tengert és a földet, hogy egy pogányt zsidóvá tegyetek; és ha azzá lett, a gyehenna fiává teszitek őt, kétszerte inkább magatoknál.
Matt.23.16 | Jaj néktek vak vezérek, a kik ezt mondjátok: Ha valaki a templomra esküszik, semmi az; de ha valaki a templom aranyára esküszik, tartozik az.
Matt.23.17 | Bolondok és vakok: mert melyik nagyobb, az arany-é, vagy a templom, a mely szentté teszi az aranyat?
Matt.23.18 | És: Ha valaki az oltárra esküszik, semmi az; de ha valaki a rajta levő ajándékra esküszik, tartozik az.
Matt.23.19 | Bolondok és vakok: mert melyik nagyobb, az ajándék-é vagy az oltár, a mely szentté teszi az ajándékot?
Matt.23.20 | A ki azért az oltárra esküszik, esküszik arra és mindazokra, a mik azon vannak.
Matt.23.21 | És a ki a templomra esküszik, esküszik arra és Arra, a ki abban lakozik.
Matt.23.22 | És a ki az égre esküszik, esküszik az Isten királyiszékére és arra, ki abban ül.
Matt.23.23 | Jaj néktek képmutató írástudók és farizeusok! mert megdézsmáljátok a mentát, a kaprot és a köményt, és elhagyjátok a mik nehezebbek a törvényben, az ítéletet, az irgalmasságot és a hívséget: pedig ezeket kellene cselekedni, és amazokat sem elhagyni.
Matt.23.24 | Vak vezérek, a kik megszűritek a szúnyogot, a tevét pedig elnyelitek.
Matt.23.25 | Jaj néktek képmutató írástudók és farizeusok! mert megtisztítjátok a pohárnak és tálnak külsejét, belől pedig rakvák azok ragadománynyal és mértékletlenséggel.
Matt.23.26 | Vak farizeus, tisztítsd meg előbb a pohár és tál belsejét, hogy külsejük is tiszta legyen.
Matt.23.27 | Jaj néktek képmutató írástudók és farizeusok, mert hasonlatosak vagytok a meszelt sírokhoz, a melyek kívülről szépeknek tetszenek, belől pedig holtaknak csontjaival és minden undoksággal rakvák.
Matt.23.28 | Épen így ti is, kívülről igazaknak látszotok ugyan az emberek előtt, de belől rakva vagytok képmutatással és törvénytelenséggel.
Matt.23.29 | Jaj néktek képmutató írástudók és farizeusok! mert építitek a próféták sírjait és ékesgetitek az igazak síremlékeit.
Matt.23.30 | És ezt mondjátok: Ha mi atyáink korában éltünk volna, nem lettünk volna az ő bűntársaik a próféták vérében.
Matt.23.31 | Így hát magatok ellen tesztek bizonyságot, hogy fiai vagytok azoknak, a kik megölték a prófétákat.
Matt.23.32 | Töltsétek be ti is a ti atyáitoknak mértékét!
Matt.23.33 | Kígyók, mérges kígyóknak fajzatai, miképen kerülitek ki a gyehennának büntetését?
Matt.23.34 | Annakokáért ímé prófétákat, bölcseket és írástudókat küldök én hozzátok: és azok közül némelyeket megöltök, és megfeszítetek, másokat azok közül a ti zsinagógáitokban megostoroztok és városról- városra üldöztök.
Matt.23.35 | Hogy reátok szálljon minden igaz vér, a mely kiömlött a földön, az igaz Ábelnek vérétől Zakariásnak, a Barakiás fiának véréig, a kit a templom és az oltár között megöltetek.
Matt.23.36 | Bizony mondom néktek, mindezek reá következnek erre a nemzetségre.
Matt.23.37 | Jeruzsálem, Jeruzsálem! Ki megölöd a prófétákat és megkövezed azokat, a kik te hozzád küldettek, hányszor akartam egybegyűjteni a te fiaidat, miképen a tyúk egybegyűjti kis csirkéit szárnya alá; és te nem akartad.
Matt.23.38 | Ímé, pusztán hagyatik néktek a ti házatok.
Matt.23.39 | Mert mondom néktek: Mostantól fogva nem láttok engem mindaddig, mígnem ezt mondjátok: Áldott, a ki jő az Úrnak nevében!

Matt.24.1 | És kijővén Jézus a templomból, tovább méne; és hozzámenének az ő tanítványai, hogy mutogassák néki a templom épületeit.
Matt.24.2 | Jézus pedig monda nékik: Nem látjátok-é mind ezeket? Bizony mondom néktek: Nem marad itt kő kövön, mely le nem romboltatik.
Matt.24.3 | Mikor pedig az olajfák hegyén ül vala, hozzá menének a tanítványok magukban mondván: Mondd meg nékünk, mikor lesznek meg ezek? és micsoda jele lesz a te eljövetelednek, és a világ végének?
Matt.24.4 | És Jézus felelvén, monda nékik: Meglássátok, hogy valaki el ne hitessen titeket,
Matt.24.5 | Mert sokan jőnek majd az én nevemben, a kik ezt mondják: Én vagyok a Krisztus; és sokakat elhitetnek.
Matt.24.6 | Hallanotok kell majd háborúkról és háborúk híreiről: meglássátok, hogy meg ne rémüljetek; mert mindezeknek meg kell lenniök. De még ez nem itt a vég.
Matt.24.7 | Mert nemzet támad nemzet ellen, és ország ország ellen; és lésznek éhségek és döghalálok, és földindulások mindenfelé.
Matt.24.8 | Mind ez pedig a sok nyomorúságnak kezdete.
Matt.24.9 | Akkor nyomorúságra adnak majd benneteket, és megölnek titeket; és gyűlöletesek lesztek minden nép előtt az én nevemért.
Matt.24.10 | És akkor sokan megbotránkoznak, és elárulják egymást, és gyűlölik egymást.
Matt.24.11 | És sok hamis próféta támad, a kik sokakat elhitetnek.
Matt.24.12 | És mivelhogy a gonoszság megsokasodik, a szeretet sokakban meghidegül.
Matt.24.13 | De a ki mindvégig állhatatos marad, az idvezül.
Matt.24.14 | És az Isten országának ez az evangyélioma hirdettetik majd az egész világon, bizonyságul minden népnek; és akkor jő el a vég.
Matt.24.15 | Mikor azért látjátok majd, hogy az a pusztító utálatosság, a melyről Dániel próféta szólott, ott áll a szent helyen (a ki olvassa, értse meg):
Matt.24.16 | Akkor, a kik Júdeában lesznek, fussanak a hegyekre;
Matt.24.17 | A ház tetején levő ne szálljon alá, hogy házából valamit kivigyen;
Matt.24.18 | És a mezőn levő ne térjen vissza, hogy az ő ruháját elvigye.
Matt.24.19 | Jaj pedig a terhes és szoptató asszonyoknak azokon a napokon.
Matt.24.20 | Imádkozzatok pedig, hogy a ti futástok ne télen legyen, se szombatnapon:
Matt.24.21 | Mert akkor nagy nyomorúság lesz, a milyen nem volt a világ kezdete óta mind ez ideig, és nem is lesz soha.
Matt.24.22 | És ha azok a napok meg nem rövidíttetnének, egyetlen ember sem menekülhetne meg; de a választottakért megrövidíttetnek majd azok a napok.
Matt.24.23 | Ha valaki ezt mondja akkor néktek: Ímé, itt a Krisztus, vagy amott; ne higyjétek.
Matt.24.24 | Mert hamis Krisztusok és hamis próféták támadnak, és nagy jeleket és csodákat tesznek, annyira, hogy elhitessék, ha lehet, a választottakat is.
Matt.24.25 | Ímé eleve megmondottam néktek.
Matt.24.26 | Azért ha azt mondják majd néktek: Ímé a pusztában van; ne menjetek ki. Ímé a belső szobákban; ne higyjétek.
Matt.24.27 | Mert a miképen a villámlás napkeletről támad és ellátszik egész napnyugtáig, úgy lesz az ember Fiának eljövetele is.
Matt.24.28 | Mert a hol a dög, oda gyűlnek a keselyűk.
Matt.24.29 | Mindjárt pedig ama napok nyomorúságai után a nap elsötétedik, és a hold nem fénylik, és a csillagok az égről lehullanak, és az egeknek erősségei megrendülnek.
Matt.24.30 | És akkor feltetszik az ember Fiának jele az égen. És akkor sír a föld minden nemzetsége, és meglátják az embernek Fiát eljőni az ég felhőiben nagy hatalommal és dicsőséggel.
Matt.24.31 | És elküldi az ő angyalait nagy trombitaszóval, és egybegyűjtik az ő választottait a négy szelek felől, az ég egyik végétől a másik végéig.
Matt.24.32 | A fügefáról vegyétek pedig a példát: mikor az ága már zsendül, és levelet hajt, tudjátok, hogy közel van a nyár:
Matt.24.33 | Azonképen ti is, mikor mindezeket látjátok, tudjátok meg, hogy közel van, az ajtó előtt.
Matt.24.34 | Bizony mondom néktek, el nem múlik ez a nemzetség, mígnem mindezek meglesznek.
Matt.24.35 | Az ég és a föld elmúlnak, de az én beszédeim semmiképen el nem múlnak.
Matt.24.36 | Arról a napról és óráról pedig senki sem tud, az ég angyalai sem, hanem csak az én Atyám egyedül.
Matt.24.37 | A miképen pedig a Noé napjaiban vala, akképen lesz az ember Fiának eljövetele is.
Matt.24.38 | Mert a miképen az özönvíz előtt való napokban esznek és isznak vala, házasodnak és férjhez mennek vala, mind ama napig, a melyen Noé a bárkába méne.
